Time,J01_9007_1,J01_9007_1,J01_9007_1
1/15/2023 0:00,54.3,2.69,0.764
1/16/2023 0:00,54.3,2.69,0.695
1/17/2023 0:00,55.6,1.4,0.145
1/18/2023 0:00,56,0.99,0.055
1/19/2023 0:00,56,0.97,0.057
1/20/2023 0:00,56.2,0.83,0.038
1/21/2023 0:00,56.3,0.71,0.027
1/22/2023 0:00,56.3,0.69,0.025
1/23/2023 0:00,56.3,0.71,0.028
1/24/2023 0:00,56.3,0.66,0.024
1/25/2023 0:00,56.4,0.63,0.022
1/26/2023 0:00,56.3,0.71,0.027
1/27/2023 0:00,56.4,0.61,0.02
1/28/2023 0:00,56.2,0.74,0.029
1/29/2023 0:00,56,0.97,0.071
1/30/2023 0:00,55.2,1.76,0.278
1/31/2023 0:00,56.3,0.68,0.025
2/1/2023 0:00,56.4,0.63,0.021
2/2/2023 0:00,56.3,0.69,0.025
2/3/2023 0:00,56.3,0.64,0.021
2/4/2023 0:00,56.3,0.67,0.024
2/5/2023 0:00,56.2,0.74,0.029
2/6/2023 0:00,56.3,0.68,0.024
2/7/2023 0:00,56.4,0.61,0.02
2/8/2023 0:00,56.4,0.61,0.02
2/9/2023 0:00,56.3,0.7,0.027
2/10/2023 0:00,56.3,0.68,0.025
2/11/2023 0:00,56.3,0.71,0.027
2/12/2023 0:00,56.3,0.69,0.025
2/13/2023 0:00,56.2,0.78,0.033
2/14/2023 0:00,56.2,0.81,0.037
2/15/2023 0:00,56.4,0.62,0.021
2/16/2023 0:00,56.4,0.62,0.02
2/17/2023 0:00,56.4,0.57,0.017
2/18/2023 0:00,56.4,0.61,0.02
2/19/2023 0:00,56.4,0.62,0.02
2/20/2023 0:00,56.3,0.66,0.023
2/21/2023 0:00,56.2,0.84,0.044
2/22/2023 0:00,56.2,0.8,0.034
2/23/2023 0:00,56,1,0.084
2/24/2023 0:00,55.1,1.86,0.423
2/25/2023 0:00,52.2,4.77,2.38
2/26/2023 0:00,55.4,1.57,0.205
2/27/2023 0:00,55.7,1.32,0.149
2/28/2023 0:00,55.5,1.49,0.258
3/1/2023 0:00,55,1.99,0.431
3/2/2023 0:00,56.1,0.85,0.04
3/3/2023 0:00,56.3,0.73,0.029
3/4/2023 0:00,56.2,0.75,0.029
3/5/2023 0:00,56.2,0.8,0.035
3/6/2023 0:00,56.2,0.77,0.032
3/7/2023 0:00,56.3,0.71,0.027
3/8/2023 0:00,56.3,0.7,0.026
3/9/2023 0:00,56.3,0.66,0.024
3/10/2023 0:00,54.6,2.38,0.785
3/11/2023 0:00,55.3,1.64,0.22
3/12/2023 0:00,56.1,0.92,0.048
3/13/2023 0:00,56.2,0.81,0.036
3/14/2023 0:00,54.6,2.42,0.747
3/15/2023 0:00,53.5,3.48,1.1
3/16/2023 0:00,55.6,1.34,0.109
3/17/2023 0:00,56,0.99,0.056
3/18/2023 0:00,56.2,0.8,0.035
3/19/2023 0:00,56.2,0.82,0.04
3/20/2023 0:00,55.7,1.27,0.116
3/21/2023 0:00,53.5,3.51,1.13
3/22/2023 0:00,55.5,1.5,0.163
3/23/2023 0:00,55.6,1.39,0.151
3/24/2023 0:00,56.1,0.88,0.043
3/25/2023 0:00,56.2,0.77,0.032
3/26/2023 0:00,56.3,0.73,0.028
3/27/2023 0:00,56.3,0.66,0.024
3/28/2023 0:00,56.4,0.64,0.022
3/29/2023 0:00,55.1,1.92,0.508
3/30/2023 0:00,55.7,1.32,0.139
3/31/2023 0:00,56.2,0.8,0.034
4/1/2023 0:00,56.3,0.67,0.024
4/2/2023 0:00,56.2,0.74,0.029
4/3/2023 0:00,56.3,0.72,0.027
4/4/2023 0:00,56.3,0.68,0.025
4/5/2023 0:00,56.4,0.57,0.017
4/6/2023 0:00,56.4,0.55,0.016
4/7/2023 0:00,56.4,0.55,0.016
4/8/2023 0:00,56.4,0.58,0.017
4/9/2023 0:00,56.4,0.57,0.017
4/10/2023 0:00,56.3,0.64,0.022
4/11/2023 0:00,56.4,0.64,0.021
4/12/2023 0:00,56.3,0.7,0.027
4/13/2023 0:00,56.2,0.83,0.041
4/14/2023 0:00,56.3,0.64,0.022
4/15/2023 0:00,56.4,0.58,0.018
4/16/2023 0:00,56.4,0.63,0.021
4/17/2023 0:00,56.3,0.68,0.024
4/18/2023 0:00,56.4,0.64,0.021
4/19/2023 0:00,56.4,0.59,0.018
4/20/2023 0:00,56.3,0.67,0.024
4/21/2023 0:00,56.3,0.72,0.028
4/22/2023 0:00,56.3,0.69,0.026
4/23/2023 0:00,56.3,0.71,0.027
4/24/2023 0:00,56.3,0.66,0.023
4/25/2023 0:00,56.3,0.64,0.022
4/26/2023 0:00,56.4,0.6,0.019
4/27/2023 0:00,56.4,0.62,0.022
4/28/2023 0:00,56.3,0.66,0.023
4/29/2023 0:00,56.4,0.58,0.019
4/30/2023 0:00,56.3,0.69,0.025
5/1/2023 0:00,56.3,0.72,0.028
5/2/2023 0:00,56.3,0.65,0.023
5/3/2023 0:00,56.4,0.63,0.021
5/4/2023 0:00,55.7,1.27,0.265
5/5/2023 0:00,56.4,0.61,0.019
5/6/2023 0:00,56.4,0.57,0.017
5/7/2023 0:00,56.4,0.57,0.017
5/8/2023 0:00,56.4,0.58,0.018
5/9/2023 0:00,56.3,0.65,0.022
5/10/2023 0:00,56.4,0.63,0.021
5/11/2023 0:00,56.4,0.63,0.021
5/12/2023 0:00,56.4,0.63,0.021
5/13/2023 0:00,56.3,0.66,0.023
5/14/2023 0:00,56.4,0.63,0.021
5/15/2023 0:00,56.3,0.68,0.024
5/16/2023 0:00,56.4,0.61,0.019
5/17/2023 0:00,56.3,0.66,0.024
5/18/2023 0:00,56.3,0.68,0.025
5/19/2023 0:00,56.3,0.69,0.026
5/20/2023 0:00,56.3,0.69,0.025
5/21/2023 0:00,56.3,0.67,0.024
5/22/2023 0:00,56.3,0.71,0.027
5/23/2023 0:00,56.2,0.79,0.035
5/24/2023 0:00,56.3,0.71,0.028
5/25/2023 0:00,56.3,0.66,0.023
5/26/2023 0:00,56.4,0.63,0.021
5/27/2023 0:00,56.3,0.7,0.026
5/28/2023 0:00,56.3,0.67,0.024
5/29/2023 0:00,56.2,0.75,0.031
5/30/2023 0:00,56.2,0.82,0.046
5/31/2023 0:00,56.3,0.7,0.026
6/1/2023 0:00,56.3,0.73,0.03
6/2/2023 0:00,56.3,0.7,0.027
6/3/2023 0:00,56.3,0.71,0.027
6/4/2023 0:00,56.3,0.69,0.026
6/5/2023 0:00,56.3,0.68,0.025
6/6/2023 0:00,56.3,0.66,0.023
6/7/2023 0:00,56.3,0.68,0.025
6/8/2023 0:00,56.3,0.68,0.025
6/9/2023 0:00,56.3,0.73,0.029
6/10/2023 0:00,56.2,0.77,0.033
6/11/2023 0:00,56.2,0.77,0.042
6/12/2023 0:00,56.3,0.68,0.025
6/13/2023 0:00,56.3,0.68,0.025
6/14/2023 0:00,56.3,0.73,0.029
6/15/2023 0:00,56.2,0.78,0.033
6/16/2023 0:00,56.3,0.7,0.027
6/17/2023 0:00,56.3,0.72,0.03
6/18/2023 0:00,56.2,0.75,0.031
6/19/2023 0:00,56.3,0.71,0.028
6/20/2023 0:00,56.4,0.57,0.02
6/21/2023 0:00,56.4,0.57,0.019
6/22/2023 0:00,56.3,0.68,0.026
6/23/2023 0:00,56.3,0.65,0.023
6/24/2023 0:00,56.2,0.8,0.036
6/25/2023 0:00,56.3,0.73,0.031
6/26/2023 0:00,56.2,0.8,0.035
6/27/2023 0:00,56.1,0.86,0.042
6/28/2023 0:00,56.1,0.89,0.044
6/29/2023 0:00,56.1,0.85,0.042
6/30/2023 0:00,56.3,0.74,0.031
7/1/2023 0:00,56.2,0.77,0.034
7/2/2023 0:00,56.3,0.68,0.026
7/3/2023 0:00,56.4,0.63,0.024
7/4/2023 0:00,56.3,0.66,0.025
7/5/2023 0:00,56.3,0.71,0.029
7/6/2023 0:00,56.2,0.78,0.034
7/7/2023 0:00,56.3,0.69,0.025
7/8/2023 0:00,56.2,0.75,0.03
7/9/2023 0:00,56.3,0.69,0.025
7/10/2023 0:00,56.3,0.69,0.025
7/11/2023 0:00,56.3,0.74,0.029
7/12/2023 0:00,56.2,0.82,0.036
7/13/2023 0:00,56.2,0.75,0.032
7/14/2023 0:00,56.3,0.68,0.025
7/15/2023 0:00,56.3,0.67,0.025
7/16/2023 0:00,56.4,0.63,0.022
7/17/2023 0:00,56.3,0.7,0.026
7/18/2023 0:00,56.3,0.71,0.027
7/19/2023 0:00,56.3,0.69,0.026
7/20/2023 0:00,56.3,0.72,0.027
7/21/2023 0:00,56.3,0.64,0.022
7/22/2023 0:00,56.3,0.69,0.025
7/23/2023 0:00,56.3,0.67,0.023
7/24/2023 0:00,56.3,0.68,0.025
7/25/2023 0:00,56.2,0.75,0.031
7/26/2023 0:00,56.3,0.67,0.024
7/27/2023 0:00,56.3,0.69,0.025
7/28/2023 0:00,56.3,0.69,0.026
7/29/2023 0:00,56.4,0.62,0.02
7/30/2023 0:00,56.4,0.64,0.021
7/31/2023 0:00,56.3,0.7,0.025
8/1/2023 0:00,56.4,0.63,0.02
8/2/2023 0:00,56.4,0.61,0.02
8/3/2023 0:00,56.4,0.61,0.019
8/4/2023 0:00,56.5,0.53,0.016
8/5/2023 0:00,56.4,0.61,0.019
8/6/2023 0:00,56.3,0.68,0.024
8/7/2023 0:00,56.4,0.59,0.019
8/8/2023 0:00,56.4,0.6,0.018
8/9/2023 0:00,56.3,0.65,0.022
8/10/2023 0:00,56.3,0.69,0.025
8/11/2023 0:00,56.3,0.64,0.021
8/12/2023 0:00,56.4,0.55,0.017
8/13/2023 0:00,56.4,0.54,0.015
8/14/2023 0:00,56.4,0.56,0.018
8/15/2023 0:00,56.4,0.63,0.02
8/16/2023 0:00,56.3,0.65,0.022
8/17/2023 0:00,56.4,0.59,0.018
8/18/2023 0:00,56.4,0.6,0.018
8/19/2023 0:00,56.4,0.59,0.017
8/20/2023 0:00,53.1,3.85,1.44
8/21/2023 0:00,55.5,1.46,0.173
8/22/2023 0:00,56.3,0.68,0.024
8/23/2023 0:00,56.4,0.56,0.015
8/24/2023 0:00,56.4,0.56,0.015
8/25/2023 0:00,56.4,0.54,0.015
8/26/2023 0:00,56.4,0.58,0.016
8/27/2023 0:00,56.2,0.77,0.032
8/28/2023 0:00,56.4,0.64,0.02
8/29/2023 0:00,56.4,0.63,0.021
8/30/2023 0:00,56.4,0.58,0.016
8/31/2023 0:00,56.4,0.63,0.02
9/1/2023 0:00,56.4,0.58,0.016
9/2/2023 0:00,56.4,0.58,0.018
9/3/2023 0:00,56.4,0.58,0.016
9/4/2023 0:00,56.4,0.57,0.016
9/5/2023 0:00,56.3,0.64,0.02
9/6/2023 0:00,56.4,0.6,0.017
9/7/2023 0:00,56.4,0.55,0.014
9/8/2023 0:00,56.4,0.62,0.019
9/9/2023 0:00,56.4,0.64,0.02
9/10/2023 0:00,56.3,0.7,0.035
9/11/2023 0:00,56.3,0.64,0.02
9/12/2023 0:00,56.4,0.59,0.017
9/13/2023 0:00,56.4,0.59,0.017
9/14/2023 0:00,56.4,0.62,0.018
9/15/2023 0:00,56.3,0.64,0.02
9/16/2023 0:00,56.3,0.68,0.023
9/17/2023 0:00,56.3,0.73,0.027
9/18/2023 0:00,56.3,0.66,0.021
9/19/2023 0:00,56.4,0.59,0.017
9/20/2023 0:00,56.3,0.64,0.02
9/21/2023 0:00,56.3,0.68,0.023
9/22/2023 0:00,56.2,0.81,0.034
9/23/2023 0:00,56.2,0.79,0.033
9/24/2023 0:00,56.3,0.72,0.027
9/25/2023 0:00,56.2,0.82,0.036
9/26/2023 0:00,56.3,0.68,0.025
9/27/2023 0:00,56.3,0.7,0.026
9/28/2023 0:00,56.2,0.83,0.037
9/29/2023 0:00,56.1,0.88,0.04
9/30/2023 0:00,56.1,0.92,0.046
10/1/2023 0:00,56.2,0.75,0.029
