Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
10/29/2022 0:00,,,,68.3,0.42,0.017,0.676,1.42
10/30/2022 0:00,,,,68.3,0.4,0.015,0.669,1.36
10/31/2022 0:00,,,,68.2,0.48,0.021,0.688,1.51
11/1/2022 0:00,,,,68.2,0.49,0.022,0.703,1.63
11/2/2022 0:00,,,,67.7,1.04,0.274,0.866,3.84
11/3/2022 0:00,,,,68.2,0.54,0.027,0.675,1.41
11/4/2022 0:00,,,,,,,0.659,1.29
11/5/2022 0:00,,,,,,,,
11/6/2022 0:00,,,,,,,0.619,1.01
11/7/2022 0:00,,,,,,,0.825,3.52
11/8/2022 0:00,,,,,,,1.74,29.9
11/9/2022 0:00,,,,,,,0.961,5.78
11/10/2022 0:00,,,,,,,0.677,1.43
11/11/2022 0:00,,,,,,,0.65,1.22
11/12/2022 0:00,,,,,,,0.664,1.33
11/13/2022 0:00,,,,,,,0.675,1.41
11/14/2022 0:00,,,,,,,0.686,1.5
11/15/2022 0:00,,,,,,,0.685,1.49
11/16/2022 0:00,,,,,,,0.676,1.42
11/17/2022 0:00,,,,,,,0.679,1.44
11/18/2022 0:00,,,,,,,0.685,1.49
11/19/2022 0:00,,,,,,,0.685,1.48
11/20/2022 0:00,,,,,,,0.675,1.41
11/21/2022 0:00,,,,,,,0.676,1.42
11/22/2022 0:00,,,,,,,0.678,1.43
11/23/2022 0:00,,,,,,,0.688,1.51
11/24/2022 0:00,,,,,,,0.701,1.61
11/25/2022 0:00,,,,,,,0.697,1.58
11/26/2022 0:00,,,,,,,0.689,1.52
11/27/2022 0:00,,,,,,,0.696,1.58
11/28/2022 0:00,,,,,,,0.713,1.72
11/29/2022 0:00,,,,,,,0.734,1.9
11/30/2022 0:00,,,,,,,0.716,1.74
12/1/2022 0:00,,,,,,,0.686,1.49
12/2/2022 0:00,,,,,,,0.726,1.83
12/3/2022 0:00,,,,,,,0.682,1.47
12/4/2022 0:00,,,,,,,0.683,1.47
12/5/2022 0:00,,,,,,,0.717,1.75
12/6/2022 0:00,,,,,,,0.697,1.58
12/7/2022 0:00,,,,,,,0.714,1.77
12/8/2022 0:00,,,,,,,0.665,1.34
12/9/2022 0:00,77.3,9.21,0.002,,,,0.664,1.32
12/10/2022 0:00,77.3,9.21,0.002,,,,0.637,1.13
12/11/2022 0:00,72.8,13.7,3.28,,,,1.26,16.2
12/12/2022 0:00,,,,,,,1.06,9.4
12/13/2022 0:00,,,,,,,0.664,1.4
12/14/2022 0:00,77.6,8.83,0,,,,0.704,1.64
12/15/2022 0:00,77.6,8.86,0,,,,0.712,1.71
12/16/2022 0:00,77.7,8.83,0,68.2,0.48,0.021,0.726,1.83
12/17/2022 0:00,77.7,8.81,0,,,,0.726,1.83
12/18/2022 0:00,77.6,8.84,0,,,,0.738,1.94
12/19/2022 0:00,77.6,8.88,0,,,,0.74,1.95
12/20/2022 0:00,77.7,8.82,0,,,,0.73,1.87
12/21/2022 0:00,77.6,8.87,0,,,,0.726,1.83
12/22/2022 0:00,77.6,8.85,0,,,,0.733,1.89
12/23/2022 0:00,77.6,8.87,0,,,,0.728,1.85
12/24/2022 0:00,77.6,8.88,0,,,,0.711,1.7
12/25/2022 0:00,77.6,8.89,0,,,,0.724,1.81
12/26/2022 0:00,77.6,8.91,0,,,,0.711,1.7
12/27/2022 0:00,75.9,10.5,0.926,,,,0.839,3.91
12/28/2022 0:00,76.1,10.3,0.782,,,,0.884,5.4
12/29/2022 0:00,77.5,9,0,,,,0.694,1.56
12/30/2022 0:00,,,,,,,0.712,1.71
12/31/2022 0:00,,,,,,,1.14,12.4
1/1/2023 0:00,,,,,,,1.18,12.7
1/2/2023 0:00,,,,,,,0.674,1.41
1/3/2023 0:00,,,,,,,1.04,6.31
1/4/2023 0:00,,,,,,,1.05,6.06
1/5/2023 0:00,,,,,,,,
1/6/2023 0:00,,,,,,,,
1/7/2023 0:00,,,,,,,,
1/8/2023 0:00,,,,,,,,
1/9/2023 0:00,,,,,,,,
1/10/2023 0:00,,,,,,,,
1/11/2023 0:00,,,,67.6,1.14,0.148,,
1/12/2023 0:00,,,,,,,,
1/13/2023 0:00,,,,,,,,
1/14/2023 0:00,,,,,,,,
1/15/2023 0:00,,,,,,,,
1/16/2023 0:00,,,,,,,,
1/17/2023 0:00,,,,,,,,
1/18/2023 0:00,,,,,,,,
1/19/2023 0:00,,,,,,,,
1/20/2023 0:00,76.9,9.59,0.014,,,,,
1/21/2023 0:00,,,,,,,,
1/22/2023 0:00,77.1,9.4,0.006,,,,,
1/23/2023 0:00,76.9,9.55,0.012,,,,,
1/24/2023 0:00,77.1,9.41,0.007,,,,,
1/25/2023 0:00,77.1,9.35,0.005,,,,,
1/26/2023 0:00,77.1,9.37,0.006,,,,,
1/27/2023 0:00,77.2,9.32,0.004,,,,,
1/28/2023 0:00,77.1,9.33,0.004,,,,,
1/29/2023 0:00,76.4,10.1,0.396,,,,,
1/30/2023 0:00,,,,,,,,
1/31/2023 0:00,,,,,,,,
2/1/2023 0:00,77.2,9.24,0.003,,,,,
2/2/2023 0:00,77.3,9.17,0.001,,,,,
2/3/2023 0:00,77.3,9.2,0.001,,,,,
2/4/2023 0:00,77.3,9.18,0.001,,,,,
2/5/2023 0:00,77.2,9.26,0.002,,,,,
2/6/2023 0:00,77.2,9.24,0.003,,,,,
2/7/2023 0:00,77.3,9.22,0.002,,,,,
2/8/2023 0:00,77.3,9.2,0.002,,,,,
2/9/2023 0:00,77.4,9.12,0.001,,,,,
2/10/2023 0:00,77.3,9.22,0.002,,,,,
2/11/2023 0:00,77.2,9.25,0.002,,,,,
2/12/2023 0:00,77.2,9.26,0.003,,,,,
2/13/2023 0:00,77.2,9.3,0.003,,,,,
2/14/2023 0:00,77.2,9.29,0.004,,,,,
2/15/2023 0:00,,,,,,,,
2/16/2023 0:00,77.3,9.14,0.001,,,,,
2/17/2023 0:00,77.3,9.21,0.002,,,,,
2/18/2023 0:00,77.3,9.13,0.001,,,,,
2/19/2023 0:00,77.3,9.16,0.001,68.2,0.48,0.022,,
2/20/2023 0:00,77.3,9.14,0.001,,,,,
2/21/2023 0:00,77.2,9.3,0.004,,,,,
2/22/2023 0:00,77.3,9.21,0.001,,,,,
2/23/2023 0:00,76.2,10.2,0.223,,,,,
2/24/2023 0:00,,,,,,,,
2/25/2023 0:00,,,,,,,,
2/26/2023 0:00,,,,,,,,
2/27/2023 0:00,,,,,,,,
2/28/2023 0:00,,,,,,,,
3/1/2023 0:00,73.3,13.2,1.94,,,,,
3/2/2023 0:00,76.7,9.76,0.025,,,,,
3/3/2023 0:00,76.9,9.59,0.013,,,,,
3/4/2023 0:00,77,9.48,0.009,,,,,
3/5/2023 0:00,77,9.47,0.008,,,,,
3/6/2023 0:00,77,9.43,0.008,,,,,
3/7/2023 0:00,77.1,9.36,0.005,,,,,
3/8/2023 0:00,77.1,9.37,0.005,,,,,
3/9/2023 0:00,77.1,9.38,0.005,,,,,
3/10/2023 0:00,,,,,,,,
3/11/2023 0:00,,,,,,,,
3/12/2023 0:00,,,,,,,,
3/13/2023 0:00,,,,,,,,
3/14/2023 0:00,,,,,,,,
3/15/2023 0:00,,,,,,,,
3/16/2023 0:00,,,,,,,,
3/17/2023 0:00,,,,,,,,
3/18/2023 0:00,76.6,9.85,0.028,,,,,
3/19/2023 0:00,76.5,9.97,0.041,,,,,
3/20/2023 0:00,,,,,,,,
3/21/2023 0:00,,,,,,,,
3/22/2023 0:00,,,,,,,,
3/23/2023 0:00,75.8,10.7,0.237,67.6,1.15,0.135,,
3/24/2023 0:00,76.5,10,0.04,,,,,
3/25/2023 0:00,76.6,9.91,0.032,67.9,0.8,0.062,,
3/26/2023 0:00,76.7,9.82,0.026,68,0.71,0.048,,
3/27/2023 0:00,76.7,9.77,0.023,68.1,0.66,0.042,,
3/28/2023 0:00,76.7,9.74,0.021,68.1,0.6,0.034,,
3/29/2023 0:00,73.6,12.9,2.22,66.5,2.22,1.36,,
3/30/2023 0:00,,,,67.5,1.2,0.209,,
3/31/2023 0:00,,,,68,0.69,0.046,,
4/1/2023 0:00,76.7,9.75,0.021,68.1,0.63,0.037,,
4/2/2023 0:00,76.7,9.73,0.02,68.1,0.66,0.04,,
4/3/2023 0:00,76.7,9.75,0.022,68.1,0.65,0.04,,
4/4/2023 0:00,76.8,9.7,0.023,68.1,0.59,0.031,,
4/5/2023 0:00,76.8,9.63,0.015,68.2,0.5,0.024,,
4/6/2023 0:00,76.9,9.6,0.014,68.2,0.54,0.027,,
4/7/2023 0:00,76.9,9.6,0.014,68.2,0.54,0.027,,
4/8/2023 0:00,76.9,9.58,0.013,68.2,0.51,0.024,,
4/9/2023 0:00,76.9,9.62,0.015,68.2,0.54,0.027,,
4/10/2023 0:00,76.8,9.66,0.017,68.2,0.57,0.03,,
4/11/2023 0:00,76.8,9.65,0.016,68.2,0.56,0.03,,
4/12/2023 0:00,76.9,9.62,0.015,68.1,0.63,0.038,,
4/13/2023 0:00,,,,68,0.77,0.06,,
4/14/2023 0:00,,,,,,,,
4/15/2023 0:00,,,,,,,,
4/16/2023 0:00,76.9,9.54,0.011,68.2,0.55,0.029,,
4/17/2023 0:00,,,,68.1,0.6,0.034,,
4/18/2023 0:00,,,,68.1,0.61,0.035,,
4/19/2023 0:00,76.9,9.54,0.012,68.2,0.52,0.027,,
4/20/2023 0:00,77,9.47,0.011,68.1,0.58,0.031,,
4/21/2023 0:00,77,9.47,0.01,68.1,0.64,0.038,,
4/22/2023 0:00,77,9.47,0.009,68.1,0.63,0.038,,
4/23/2023 0:00,76.9,9.53,0.011,68.1,0.64,0.041,,
4/24/2023 0:00,77,9.5,0.012,68.1,0.61,0.038,,
4/25/2023 0:00,,,,68.2,0.55,0.028,,
4/26/2023 0:00,,,,68.2,0.57,0.029,,
4/27/2023 0:00,77,9.48,0.009,68.2,0.55,0.028,,
4/28/2023 0:00,77,9.47,0.008,68.2,0.52,0.026,,
4/29/2023 0:00,76.9,9.54,0.014,68.2,0.54,0.027,,
4/30/2023 0:00,77,9.48,0.01,68.2,0.57,0.03,,
5/1/2023 0:00,77,9.49,0.009,68.1,0.59,0.032,,
5/2/2023 0:00,,,,68.2,0.55,0.028,,
5/3/2023 0:00,77,9.48,0.01,,,,,
5/4/2023 0:00,74.5,12,1.63,67.1,1.59,0.716,,
5/5/2023 0:00,76.5,9.97,0.186,67.9,0.79,0.088,,
5/6/2023 0:00,77.1,9.4,0.007,68.2,0.51,0.024,,
5/7/2023 0:00,77.1,9.37,0.005,68.2,0.49,0.022,,
5/8/2023 0:00,76.8,9.72,0.037,68.2,0.49,0.022,,
5/9/2023 0:00,77,9.44,0.007,68.2,0.54,0.028,,
5/10/2023 0:00,76.9,9.55,0.027,68.2,0.55,0.028,,
5/11/2023 0:00,77.1,9.41,0.007,68.2,0.53,0.026,,
5/12/2023 0:00,77.1,9.41,0.006,,,,,
5/13/2023 0:00,77,9.43,0.007,,,,,
5/14/2023 0:00,77.1,9.4,0.011,,,,,
5/15/2023 0:00,77,9.43,0.007,,,,,
5/16/2023 0:00,77.1,9.39,0.006,68.1,0.64,0.043,,
5/17/2023 0:00,77.1,9.39,0.006,68.1,0.64,0.044,,
5/18/2023 0:00,77.1,9.42,0.006,,,,,
5/19/2023 0:00,,,,,,,,
5/20/2023 0:00,,,,,,,,
5/21/2023 0:00,,,,,,,,
5/22/2023 0:00,,,,,,,,
5/23/2023 0:00,,,,,,,,
5/24/2023 0:00,,,,,,,,
5/25/2023 0:00,,,,,,,,
5/26/2023 0:00,,,,,,,,
5/27/2023 0:00,,,,,,,,
5/28/2023 0:00,,,,,,,,
5/29/2023 0:00,,,,,,,,
5/30/2023 0:00,,,,,,,,
5/31/2023 0:00,,,,,,,,
6/1/2023 0:00,,,,,,,,
6/2/2023 0:00,,,,,,,,
6/3/2023 0:00,,,,,,,,
6/4/2023 0:00,,,,,,,,
6/5/2023 0:00,,,,,,,,
6/6/2023 0:00,,,,,,,,
6/7/2023 0:00,,,,,,,,
6/8/2023 0:00,77.2,9.28,0.009,,,,,
6/9/2023 0:00,,,,,,,,
6/10/2023 0:00,,,,,,,,
6/11/2023 0:00,,,,,,,,
6/12/2023 0:00,,,,,,,,
6/13/2023 0:00,,,,,,,,
6/14/2023 0:00,,,,,,,,
6/15/2023 0:00,,,,,,,,
6/16/2023 0:00,,,,,,,,
6/17/2023 0:00,,,,,,,,
6/18/2023 0:00,77.3,9.23,0.005,,,,,
6/19/2023 0:00,,,,,,,,
6/20/2023 0:00,,,,,,,,
6/21/2023 0:00,77.3,9.16,0.003,,,,,
6/22/2023 0:00,77.2,9.23,0.006,,,,,
6/23/2023 0:00,77.3,9.18,0.002,,,,,
6/24/2023 0:00,77.3,9.17,0.001,,,,,
6/25/2023 0:00,77.3,9.19,0.003,,,,,
6/26/2023 0:00,77.3,9.16,0.001,,,,,
6/27/2023 0:00,77.2,9.25,0.006,,,,,
6/28/2023 0:00,77.2,9.24,0.005,,,,,
6/29/2023 0:00,77.3,9.2,0.001,,,,,
6/30/2023 0:00,77.3,9.17,0.001,,,,,
7/1/2023 0:00,77.2,9.24,0.006,,,,,
7/2/2023 0:00,77.3,9.2,0.002,,,,,
7/3/2023 0:00,77.3,9.22,0.007,,,,,
7/4/2023 0:00,77.2,9.25,0.006,,,,,
7/5/2023 0:00,77.2,9.24,0.003,,,,,
7/6/2023 0:00,77.2,9.27,0.004,,,,,
7/7/2023 0:00,77.2,9.29,0.006,,,,,
7/8/2023 0:00,77.2,9.28,0.007,,,,,
7/9/2023 0:00,77.2,9.24,0.003,,,,,
7/10/2023 0:00,77.2,9.23,0.003,,,,,
7/11/2023 0:00,77.2,9.28,0.005,,,,,
7/12/2023 0:00,77,9.43,0.018,,,,,
7/13/2023 0:00,77.2,9.27,0.004,,,,,
7/14/2023 0:00,77.2,9.31,0.007,,,,,
7/15/2023 0:00,77.1,9.39,0.007,,,,,
7/16/2023 0:00,77.1,9.34,0.007,,,,,
7/17/2023 0:00,77.1,9.37,0.01,,,,,
7/18/2023 0:00,77.1,9.35,0.014,68.1,0.62,0.039,,
7/19/2023 0:00,77.1,9.39,0.006,,,,,
7/20/2023 0:00,77.1,9.41,0.011,,,,,
7/21/2023 0:00,77.1,9.34,0.004,,,,,
7/22/2023 0:00,77.2,9.28,0.003,,,,,
7/23/2023 0:00,77.1,9.36,0.013,,,,,
7/24/2023 0:00,77.2,9.27,0.004,68,0.75,0.058,,
7/25/2023 0:00,77.1,9.38,0.006,,,,,
7/26/2023 0:00,77.1,9.4,0.01,,,,,
7/27/2023 0:00,77.1,9.35,0.007,,,,,
7/28/2023 0:00,77.2,9.31,0.004,68.2,0.55,0.032,,
7/29/2023 0:00,77.2,9.3,0.007,68.1,0.63,0.037,,
7/30/2023 0:00,77.2,9.31,0.01,,,,,
7/31/2023 0:00,77.2,9.24,0.002,68.2,0.57,0.031,,
8/1/2023 0:00,77.3,9.2,0.003,,,,,
8/2/2023 0:00,77.3,9.22,0.002,68.2,0.57,0.031,,
8/3/2023 0:00,77.1,9.35,0.007,68.2,0.56,0.03,,
8/4/2023 0:00,77.2,9.26,0.003,68.2,0.56,0.032,,
8/5/2023 0:00,77.2,9.3,0.004,68.1,0.58,0.032,,
8/6/2023 0:00,77.2,9.29,0.004,68.2,0.5,0.025,,
8/7/2023 0:00,77.2,9.28,0.004,68.2,0.55,0.029,,
8/8/2023 0:00,77.3,9.19,0.002,68.2,0.57,0.04,,
8/9/2023 0:00,77.1,9.38,0.01,68.1,0.59,0.035,,
8/10/2023 0:00,77.1,9.36,0.006,68.2,0.5,0.025,,
8/11/2023 0:00,77.1,9.34,0.006,68.3,0.44,0.02,,
8/12/2023 0:00,77.2,9.3,0.005,68.3,0.47,0.023,,
8/13/2023 0:00,77.1,9.37,0.008,68.3,0.46,0.02,,
8/14/2023 0:00,77.1,9.37,0.005,68.2,0.52,0.026,,
8/15/2023 0:00,77.2,9.32,0.004,68.2,0.54,0.027,,
8/16/2023 0:00,77.1,9.37,0.005,68.1,0.67,0.052,,
8/17/2023 0:00,77.1,9.36,0.006,68.2,0.54,0.028,,
8/18/2023 0:00,77.1,9.35,0.005,68.2,0.54,0.028,,
8/19/2023 0:00,77.2,9.26,0.003,68.3,0.45,0.021,,
8/20/2023 0:00,67.2,19.3,8.02,,,,,
8/21/2023 0:00,,,,,,,,
8/22/2023 0:00,77.1,9.33,0.02,68.1,0.59,0.034,,
8/23/2023 0:00,77.3,9.18,0.001,68.2,0.5,0.024,,
8/24/2023 0:00,77.3,9.22,0.004,68.3,0.47,0.02,,
8/25/2023 0:00,77.3,9.19,0.001,68.1,0.6,0.04,,
8/26/2023 0:00,77.2,9.24,0.002,68.1,0.66,0.048,,
8/27/2023 0:00,77.3,9.22,0.003,68.2,0.56,0.029,,
8/28/2023 0:00,77.2,9.24,0.004,68.2,0.55,0.028,,
8/29/2023 0:00,77.2,9.24,0.002,68.1,0.58,0.032,,
8/30/2023 0:00,77.3,9.16,0.002,68.2,0.53,0.027,,
8/31/2023 0:00,77.3,9.2,0.002,68.2,0.52,0.027,,
9/1/2023 0:00,77.3,9.23,0.002,68.2,0.48,0.023,,
9/2/2023 0:00,77.2,9.23,0.004,68.2,0.51,0.029,,
9/3/2023 0:00,77.3,9.14,0.001,68.3,0.42,0.016,,
9/4/2023 0:00,77.4,9.13,0,68.3,0.47,0.022,,
9/5/2023 0:00,77.3,9.22,0.003,,,,,
9/6/2023 0:00,,,,,,,,
9/7/2023 0:00,77.4,9.11,0.001,68.2,0.54,0.031,,
9/8/2023 0:00,77.3,9.19,0.002,68.1,0.59,0.032,,
9/9/2023 0:00,77.3,9.22,0.004,68.2,0.53,0.025,,
9/10/2023 0:00,77.2,9.24,0.004,68.2,0.56,0.034,,
9/11/2023 0:00,77.3,9.2,0.002,68.2,0.55,0.028,,
9/12/2023 0:00,77.2,9.3,0.004,,,,,
9/13/2023 0:00,77.2,9.32,0.005,68.2,0.5,0.024,,
9/14/2023 0:00,77.2,9.25,0.002,68.2,0.5,0.024,,
9/15/2023 0:00,77.2,9.31,0.005,68.2,0.5,0.024,,
9/16/2023 0:00,,,,,,,,
9/17/2023 0:00,,,,,,,,
9/18/2023 0:00,,,,,,,,
9/19/2023 0:00,77.2,9.29,0.003,,,,,
9/20/2023 0:00,77.2,9.24,0.002,68.2,0.52,0.025,,
9/21/2023 0:00,77.3,9.15,0.001,68.2,0.48,0.021,,
9/22/2023 0:00,77.3,9.14,0.001,68.3,0.46,0.021,,
9/23/2023 0:00,77.3,9.17,0.002,68.3,0.44,0.019,,
9/24/2023 0:00,77.2,9.24,0.002,68.3,0.45,0.018,,
9/25/2023 0:00,77.2,9.25,0.003,68.2,0.49,0.025,,
9/26/2023 0:00,77.1,9.4,0.079,68.3,0.47,0.021,,
9/27/2023 0:00,77.4,9.08,0.001,68.2,0.5,0.024,,
9/28/2023 0:00,77.3,9.19,0.003,68.2,0.49,0.023,,
9/29/2023 0:00,77.4,9.11,0,68.2,0.51,0.024,,
9/30/2023 0:00,,,,,,,,
10/1/2023 0:00,,,,,,,,
