Station,medianTMcfs,MY,medianRcfs,medianOFPcfs,medianTM,medianOCFS2021cfs,medianDFM2023cfs,medianSWN2023cfs
L01-728-3 (L01S02),NA,MY2018-19,NA,0.030157040216167767,NA,NA,NA,NA
L01-766-2 (L01S06),NA,MY2018-19,NA,0.034913814890625006,NA,NA,NA,NA
L03-073-3,NA,MY2018-19,NA,0.04261488939919075,NA,NA,NA,NA
L03-074-1 (L03B01),NA,MY2018-19,NA,0.168145371375,NA,NA,NA,NA
L03-214-2 (L03P18),NA,MY2018-19,NA,0.40524605960069443,NA,NA,NA,NA
L03-316-3 (L03P12),NA,MY2018-19,NA,0.3271125483957928,NA,NA,NA,NA
L03-418-8,NA,MY2018-19,NA,0.04486474409235848,NA,NA,NA,NA
L05-489-3,NA,MY2018-19,NA,0.6531883517708332,NA,NA,NA,NA
M01-050-4 (M01@CGV),NA,MY2018-19,NA,0.04192496960590278,NA,NA,NA,NA
K01-12177-1 (K01P07),NA,MY2019-20,NA,0.35064829731423613,NA,NA,NA,NA
L01-728-3 (L01S02),NA,MY2019-20,NA,0.032533325527171295,NA,NA,NA,NA
L01-766-2 (L01S06),NA,MY2019-20,NA,0.07058019413541666,NA,NA,NA,NA
L03-073-3,NA,MY2019-20,NA,0.029928076927185167,NA,NA,NA,NA
L03-074-1 (L03B01),NA,MY2019-20,NA,0.14345459281597223,NA,NA,NA,NA
L03-214-2 (L03P18),NA,MY2019-20,NA,0.4154220571388889,NA,NA,NA,NA
L03-316-3 (L03P12),NA,MY2019-20,NA,0.32978081246993285,NA,NA,NA,NA
L05-489-3,NA,MY2019-20,NA,0.6159429267048611,NA,NA,NA,NA
M01-050-4 (M01@CGV),NA,MY2019-20,NA,0.03699420307291667,NA,NA,NA,NA
L01-340-1,NA,MY2020-21,NA,NA,NA,0.012154513888888888,NA,NA
L01-404-1,NA,MY2020-21,NA,NA,NA,0.025203125,NA,NA
L01-760-2,NA,MY2020-21,NA,NA,NA,0.022335069444444446,NA,NA
L02-166-3 (L02P26),NA,MY2020-21,NA,NA,NA,0.04134722222222222,NA,NA
L03-693-1 (L03P11),NA,MY2020-21,NA,NA,NA,0.018729166666666668,NA,NA
L04-266-5,NA,MY2020-21,NA,NA,NA,0.3085347222222222,NA,NA
J01-9224-2 (J01P25),NA,MY2022-23,NA,NA,NA,NA,0.081,NA
K01-12058-1 (K01P08),NA,MY2022-23,NA,NA,NA,NA,0.089,NA
L02-246-1 (L11P01),NA,MY2022-23,NA,NA,NA,NA,0.027,NA
L02-641-2,NA,MY2022-23,NA,NA,NA,NA,0.203,NA
LC03-11515-1,NA,MY2022-23,NA,NA,NA,NA,0.028,NA
J01-10004-1 (J01P01),NA,MY2022-23,NA,NA,NA,NA,NA,0.044
J01-9005-1 (J03P05),NA,MY2022-23,NA,NA,NA,NA,NA,0.009
J01-9007-1 (J02P05),NA,MY2022-23,NA,NA,NA,NA,NA,0.024
J01-9046-1,NA,MY2022-23,NA,NA,NA,NA,NA,0.002
J01-9046-2,NA,MY2022-23,NA,NA,NA,NA,NA,0.002
J01-9066-1 (J01P04),NA,MY2022-23,NA,NA,NA,NA,NA,0.005
J01-9082-2,NA,MY2022-23,NA,NA,NA,NA,NA,0.037
J01-9082-3,NA,MY2022-23,NA,NA,NA,NA,NA,0
J01-9082-4,NA,MY2022-23,NA,NA,NA,NA,NA,0.026
J01-9131-1 (J01P28),NA,MY2022-23,NA,NA,NA,NA,NA,0.015
J01-9144-1 (J01P23),NA,MY2022-23,NA,NA,NA,NA,NA,0.004
J01-9224-1 (J01P24),NA,MY2022-23,NA,NA,NA,NA,NA,0.008
J01-9273-1,NA,MY2022-23,NA,NA,NA,NA,NA,0
J01-9364-3 (J01P21),NA,MY2022-23,NA,NA,NA,NA,NA,0
J01-9377-1,NA,MY2022-23,NA,NA,NA,NA,NA,0.009
J01-9992-1 (J01P27),NA,MY2022-23,NA,NA,NA,NA,NA,0.002
J03-9215-3,NA,MY2022-23,NA,NA,NA,NA,NA,0.029
J03-9221-1 (J03P02),NA,MY2022-23,NA,NA,NA,NA,NA,0.178
J03-9234-6,NA,MY2022-23,NA,NA,NA,NA,NA,0.037
J03-9368-1 (J03TBN1),NA,MY2022-23,NA,NA,NA,NA,NA,0
J03-9368-2 (J03TBN2),NA,MY2022-23,NA,NA,NA,NA,NA,0
J05-9800-2,NA,MY2022-23,NA,NA,NA,NA,NA,0
J06-9079-1 (J06P03),NA,MY2022-23,NA,NA,NA,NA,NA,0.0275
J07-9109-4 (J07P02),NA,MY2022-23,NA,NA,NA,NA,NA,0.004
J07-9110-2,NA,MY2022-23,NA,NA,NA,NA,NA,0.001
J07-9110-3,NA,MY2022-23,NA,NA,NA,NA,NA,0
