Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
J01-9224-1 (J01P24),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,3068.504293817672,3068.504293817672,1.9156030614996795e-7,1.7227183756095816e-4
J01-9224-1 (J01P24),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,184232.00687644104,184232.00687644104,1.150121891990777e-5,8.641404420121476e-4
J01-9224-2 (J01P25),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,31988.268700029792,31988.268700029792,1.9969607204822916e-6,1.7227183756095816e-4
J01-9224-2 (J01P25),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,1920565.3226501578,1920565.3226501578,1.1989687677123933e-4,8.641404420121476e-4
L03-418-8,Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,251888.61272336388,0,0,0
L03-418-8,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,2298480.77152387,0,0,0
K01-12177-1 (K01P07),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,4657608.619114088,0,0,0
J03-9221-1 (J03P02),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,3303913.5360000003,0,0,0
J01-9224-1 (J01P24),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,3068.504293817672,0,0,0
J01-9224-1 (J01P24),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,184232.00687644104,0,0,0
J01-9224-2 (J01P25),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,31988.268700029792,0,0,0
J01-9224-2 (J01P25),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,1920565.3226501578,0,0,0
L01-404-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,607900.6394999999,607900.6394999999,3.794996567089719e-5,0.001016579028622349
L01-340-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,294000.5583070091,294000.5583070091,1.8353840035688276e-5,0.001016579028622349
L01-340-1,Total,"2,4'-DDD",<,1,ng/L,RANCHO SANTA MARGARITA,3611.8316279502988,3611.8316279502988,2.254790954036734e-7,6.314661259334679e-4
L05-489-3,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,11576026.50698835,11576026.50698835,7.226671268300317e-4,0.001016579028622349
L05-049-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,2073409.118979964,2073409.118979964,1.294385953463285e-4,0.001016579028622349
L02-374-1 (L02P50),Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,1549656.2752879742,1549656.2752879742,9.67418005962947e-5,0.001016579028622349
L01-404-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,607900.6394999999,0,0,0
L01-340-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,294000.5583070091,0,0,0
L01-340-1,Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,3611.8316279502988,0,0,0
L05-489-3,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,11576026.50698835,0,0,0
L05-049-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,2073409.118979964,0,0,0
L02-374-1 (L02P50),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,1549656.2752879742,0,0,0
J01-9992-1 (J01P27),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ALISO VIEJO,39297.39287168602,26198.261914457344,1.6355027050285404e-6,1.7227183756095816e-4
J01-9992-1 (J01P27),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,115.26310269575279,76.84206846383519,4.797089640639006e-9,0.001016579028622349
J01-9131-1 (J01P28),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,333862.55999999994,333862.55999999994,2.0842341441224708e-5,1.7227183756095816e-4
J01-9007-1 (J02P05),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ALISO VIEJO,480980.7288160326,320653.81921068835,2.0017747376111616e-5,1.7227183756095816e-4
J01-9007-1 (J02P05),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,8845.065025712363,5896.710017141575,3.681192750608356e-7,0.001016579028622349
J01-9992-1 (J01P27),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,39297.39287168602,0,0,0
J01-9992-1 (J01P27),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,115.26310269575279,0,0,0
J01-9131-1 (J01P28),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,333862.55999999994,0,0,0
J01-9007-1 (J02P05),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,480980.7288160326,0,0,0
J01-9007-1 (J02P05),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,8845.065025712363,0,0,0
J06-9079-1 (J06P03),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,378008.66377610824,378008.66377610824,2.3598290380816462e-5,1.7227183756095816e-4
J06-10011-1 (J06P01),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,655642.1397787175,655642.1397787175,4.093036769538702e-5,1.7227183756095816e-4
J06-10011-1 (J06P01),Total,"2,4'-DDD",<,1,ng/L,LAGUNA HILLS,919610.2814360304,919610.2814360304,5.7409346763981264e-5,5.7409346763981264e-5
J06-10011-1 (J06P01),Total,"2,4'-DDD",<,1,ng/L,LAGUNA WOODS,1683191.956220705,1683191.956220705,1.0507815390463337e-4,1.0789907241736988e-4
J06-10011-1 (J06P01),Total,"2,4'-DDD",<,1,ng/L,LAKE FOREST,1012754.6435336117,1012754.6435336117,6.322415450451633e-5,1.3694471705235316e-4
J01-9082-2,Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,663258.1110407821,663258.1110407821,4.14058168546174e-5,1.7227183756095816e-4
J01-9082-2,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,14591.35464843927,14591.35464843927,9.10907756990699e-7,0.001016579028622349
J06-9079-1 (J06P03),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,378008.66377610824,0,0,0
J06-10011-1 (J06P01),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,655642.1397787175,0,0,0
J06-10011-1 (J06P01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA HILLS,919610.2814360304,0,0,0
J06-10011-1 (J06P01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA WOODS,1683191.956220705,0,0,0
J06-10011-1 (J06P01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAKE FOREST,1012754.6435336117,0,0,0
J01-9082-2,Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,663258.1110407821,0,0,0
J01-9082-2,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,14591.35464843927,0,0,0
L01-726-5,Total,"2,4'-DDD",<,1,ng/L,DANA POINT,298188.3316463654,298188.3316463654,1.8615273967715038e-5,2.74812226325689e-4
L01-726-5,Total,"2,4'-DDD",<,1,ng/L,SAN JUAN CAPISTRANO,19936.46520419904,19936.46520419904,1.2445918311924887e-6,2.661880482168389e-4
L01-728-5 (L01-DP),Total,"2,4'-DDD",<,1,ng/L,DANA POINT,66313.3872384,66313.3872384,4.139806089508468e-6,2.74812226325689e-4
K01-12126-1 (K01S01),Total,"2,4'-DDD",<,1,ng/L,DANA POINT,990998.5304908713,990998.5304908713,6.1865965864045e-5,2.74812226325689e-4
K01-12126-1 (K01S01),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,2656075.0695091286,2656075.0695091286,1.6581321215602588e-4,8.641404420121476e-4
K01-12159-3,Total,"2,4'-DDD",<,1,ng/L,DANA POINT,363571.2,363571.2,2.2696989709165944e-5,2.74812226325689e-4
K01-12159-2,Total,"2,4'-DDD",<,1,ng/L,DANA POINT,2045087.9999999993,2045087.9999999993,1.276705671140584e-4,2.74812226325689e-4
L01-726-5,Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,298188.3316463654,0,0,0
L01-726-5,Dissolved,"2,4'-DDD",NA,0,ng/L,SAN JUAN CAPISTRANO,19936.46520419904,0,0,0
L01-728-5 (L01-DP),Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,66313.3872384,0,0,0
K01-12126-1 (K01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,990998.5304908713,0,0,0
K01-12126-1 (K01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,2656075.0695091286,0,0,0
K01-12159-3,Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,363571.2,0,0,0
K01-12159-2,Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,2045087.9999999993,0,0,0
L05-503-1,Total,"2,4'-DDD",<,1,ng/L,SAN JUAN CAPISTRANO,2562235.46784,2562235.46784,1.5995500206293696e-4,2.661880482168389e-4
L01-724-4 (L01P03),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,414905.243735376,414905.243735376,2.5901666708861474e-5,8.641404420121476e-4
L01-724-4 (L01P03),Total,"2,4'-DDD",<,1,ng/L,SAN JUAN CAPISTRANO,1015360.357551863,1015360.357551863,6.33868237815583e-5,2.661880482168389e-4
L01-724-1 (L01S01),Total,"2,4'-DDD",<,1,ng/L,DANA POINT,637913.7850124988,637913.7850124988,3.982362358119616e-5,2.74812226325689e-4
L01-724-1 (L01S01),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,453025.0942074572,453025.0942074572,2.828140925689545e-5,8.641404420121476e-4
L01-724-1 (L01S01),Total,"2,4'-DDD",<,1,ng/L,SAN JUAN CAPISTRANO,666394.7480090205,666394.7480090205,4.160163054115114e-5,2.661880482168389e-4
L05-503-1,Dissolved,"2,4'-DDD",NA,0,ng/L,SAN JUAN CAPISTRANO,2562235.46784,0,0,0
L01-724-4 (L01P03),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,414905.243735376,0,0,0
L01-724-4 (L01P03),Dissolved,"2,4'-DDD",NA,0,ng/L,SAN JUAN CAPISTRANO,1015360.357551863,0,0,0
L01-724-1 (L01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,DANA POINT,637913.7850124988,0,0,0
L01-724-1 (L01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,453025.0942074572,0,0,0
L01-724-1 (L01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,SAN JUAN CAPISTRANO,666394.7480090205,0,0,0
M01-042-1 (M01S01),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,SAN CLEMENTE,1076085.79450752,717390.52967168,4.47851905470269e-5,0.0011941831358665287
M02-032-1,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,SAN CLEMENTE,4802274.773279999,3201516.5155199994,1.9986398099322016e-4,0.0011941831358665287
M02-085-1 (M02P06),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,882.9940915990373,588.6627277326916,3.6748983069941884e-8,0.001016579028622349
M02-085-1 (M02P06),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,SAN CLEMENTE,1273499.0217904504,848999.3478603002,5.300125384374184e-5,0.0011941831358665287
M02-085-2,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,SAN CLEMENTE,7194886.431264,4796590.954175999,2.994411425492754e-4,0.0011941831358665287
M01-042-1 (M01S01),Dissolved,"2,4'-DDD",NA,0,ng/L,SAN CLEMENTE,1076085.79450752,0,0,0
M02-032-1,Dissolved,"2,4'-DDD",NA,0,ng/L,SAN CLEMENTE,4802274.773279999,0,0,0
M02-085-1 (M02P06),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,882.9940915990373,0,0,0
M02-085-1 (M02P06),Dissolved,"2,4'-DDD",NA,0,ng/L,SAN CLEMENTE,1273499.0217904504,0,0,0
M02-085-2,Dissolved,"2,4'-DDD",NA,0,ng/L,SAN CLEMENTE,7194886.431264,0,0,0
I01-11010-1,Total,"2,4'-DDD",<,1,ng/L,LAGUNA BEACH,1485518.4000000001,1485518.4000000001,9.273780716838041e-5,2.3287558443604482e-4
I00-11437-1,Total,"2,4'-DDD",<,1,ng/L,LAGUNA BEACH,2244793.7149110925,2244793.7149110925,1.401377772676644e-4,2.3287558443604482e-4
I00-11437-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,82096.2659121763,82096.2659121763,5.125098199663825e-6,0.001016579028622349
I01-11010-1,Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA BEACH,1485518.4000000001,0,0,0
I00-11437-1,Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA BEACH,2244793.7149110925,0,0,0
I00-11437-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,82096.2659121763,0,0,0
L02-246-1 (L11P01),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,615615.8297142858,410410.55314285716,2.5621072574550825e-5,6.314661259334679e-4
L02-246-1 (L11P01),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,600136.1279999999,400090.7519999999,2.4976828970161727e-5,6.314661259334679e-4
L02-641-1,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,1013.3313152860796,675.5542101907197,4.2173436610717495e-8,0.001016579028622349
L02-641-1,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,171354.6686261088,114236.44575073919,7.131542414845348e-6,6.314661259334679e-4
L02-641-2,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,2161.9407973799575,1441.2938649199716,8.99769619265019e-8,0.001016579028622349
L02-641-2,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,365584.9210775861,243723.28071839074,1.521513473660586e-5,6.314661259334679e-4
L02-641-2,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,25324.72586215625,16883.150574770832,1.0539797840254473e-6,0.001016579028622349
L02-641-2,Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,4282419.720673211,2854946.480448807,1.7822833845740837e-4,6.314661259334679e-4
L01-731-1 (L08TBN2),Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,28829.92986552969,28829.92986552969,1.7997922318211766e-6,0.001016579028622349
L01-731-1 (L08TBN2),Total,"2,4'-DDD",<,1,ng/L,RANCHO SANTA MARGARITA,462608.04019853176,462608.04019853176,2.8879652535083916e-5,6.314661259334679e-4
L02-166-3 (L02P26),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,4809.278034996831,3206.1853566645536,2.001554469823075e-7,0.001016579028622349
L02-166-3 (L02P26),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,851624.6187073421,567749.7458048947,3.544342934180506e-5,6.314661259334679e-4
L02-246-1 (L11P01),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,615615.8297142858,0,0,0
L02-246-1 (L11P01),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,600136.1279999999,0,0,0
L02-641-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,1013.3313152860796,0,0,0
L02-641-1,Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,171354.6686261088,0,0,0
L02-641-2,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,2161.9407973799575,0,0,0
L02-641-2,Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,365584.9210775861,0,0,0
L02-641-2,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,25324.72586215625,0,0,0
L02-641-2,Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,4282419.720673211,0,0,0
L01-731-1 (L08TBN2),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,28829.92986552969,0,0,0
L01-731-1 (L08TBN2),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,462608.04019853176,0,0,0
L02-166-3 (L02P26),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,4809.278034996831,0,0,0
L02-166-3 (L02P26),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,851624.6187073421,0,0,0
L02-246-1 (L11P01),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,615615.8297142858,410410.55314285716,2.5621072574550825e-5,6.314661259334679e-4
L02-246-1 (L11P01),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,600136.1279999999,400090.7519999999,2.4976828970161727e-5,6.314661259334679e-4
L02-641-1,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,1013.3313152860796,675.5542101907197,4.2173436610717495e-8,0.001016579028622349
L02-641-1,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,171354.6686261088,114236.44575073919,7.131542414845348e-6,6.314661259334679e-4
L02-641-2,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,2161.9407973799575,1441.2938649199716,8.99769619265019e-8,0.001016579028622349
L02-641-2,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,365584.9210775861,243723.28071839074,1.521513473660586e-5,6.314661259334679e-4
L02-641-2,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,25324.72586215625,16883.150574770832,1.0539797840254473e-6,0.001016579028622349
L02-641-2,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,4282419.720673211,2854946.480448807,1.7822833845740837e-4,6.314661259334679e-4
L02-166-3 (L02P26),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,4809.278034996831,3206.1853566645536,2.001554469823075e-7,0.001016579028622349
L02-166-3 (L02P26),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,RANCHO SANTA MARGARITA,851624.6187073421,567749.7458048947,3.544342934180506e-5,6.314661259334679e-4
J01-9992-1 (J01P27),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ALISO VIEJO,39297.39287168602,26198.261914457344,1.6355027050285404e-6,1.7227183756095816e-4
J01-9992-1 (J01P27),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,115.26310269575279,76.84206846383519,4.797089640639006e-9,0.001016579028622349
J01-9007-1 (J02P05),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ALISO VIEJO,480980.7288160326,320653.81921068835,2.0017747376111616e-5,1.7227183756095816e-4
J01-9007-1 (J02P05),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,8845.065025712363,5896.710017141575,3.681192750608356e-7,0.001016579028622349
M02-085-1 (M02P06),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,ORANGE CO,882.9940915990373,588.6627277326916,3.6748983069941884e-8,0.001016579028622349
M02-085-1 (M02P06),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,SAN CLEMENTE,1273499.0217904504,848999.3478603002,5.300125384374184e-5,0.0011941831358665287
M02-085-2,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,SAN CLEMENTE,7194886.431264,4796590.954175999,2.994411425492754e-4,0.0011941831358665287
M02-032-1,Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,SAN CLEMENTE,4802274.773279999,3201516.5155199994,1.9986398099322016e-4,0.0011941831358665287
M01-042-1 (M01S01),Total,"2,4'-DDD",NA,0.6666666666666666,ng/L,SAN CLEMENTE,1076085.79450752,717390.52967168,4.47851905470269e-5,0.0011941831358665287
J01-9377-1,Total,"2,4'-DDE",<,1,ng/L,LAKE FOREST,193643.67839086507,193643.67839086507,1.20887698906913e-5,1.3694471705235316e-4
J01-9377-1,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,3801.919024571975,3801.919024571975,2.3734585406047658e-7,0.0018343573586910632
J01-10004-1 (J01P01),Total,"2,4'-DDE",<,1,ng/L,LAKE FOREST,987247.432440811,987247.432440811,6.163179265714553e-5,1.3694471705235316e-4
J01-9377-1,Dissolved,"2,4'-DDE",NA,0,ng/L,LAKE FOREST,193643.67839086507,0,0,0
J01-9377-1,Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,3801.919024571975,0,0,0
J01-10004-1 (J01P01),Dissolved,"2,4'-DDE",NA,0,ng/L,LAKE FOREST,987247.432440811,0,0,0
L04-266-5,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,6892314.547799999,6892314.547799999,4.30272783883188e-4,0.0018343573586910632
L04-672-1,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,2251802.3628672,2251802.3628672,1.4057531250294964e-4,0.0018343573586910632
I01-11343-2 (I02P18),Total,"2,4'-DDE",<,1,ng/L,LAGUNA WOODS,45186.8173673994,45186.8173673994,2.8209185127365017e-6,1.0789907241736988e-4
L04-672-1,Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,2251802.3628672,0,0,0
L04-266-5,Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,6892314.547799999,0,0,0
I01-11343-2 (I02P18),Dissolved,"2,4'-DDE",NA,0,ng/L,LAGUNA WOODS,45186.8173673994,0,0,0
L03-662-3 (L03P16),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,728306.7412500001,728306.7412500001,4.546666680767739e-5,0.0018343573586910632
L03-214-2 (L03P18),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,9795374.37498252,9795374.37498252,6.115047379616594e-4,0.0018343573586910632
L03-214-2 (L03P18),Total,"2,4'-DDE",<,1,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,466591.0148327202,2.9128301312225902e-5,6.314661259334679e-4
L03-316-3 (L03P12),Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,7413529.826236038,7413529.826236038,4.628111637408963e-4,0.0018343573586910632
L03-662-3 (L03P16),Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,728306.7412500001,0,0,0
L03-316-3 (L03P12),Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,7413529.826236038,0,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDE",NA,0,ng/L,MISSION VIEJO,9795374.37498252,0,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDE",NA,0,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,0,0,0
L03-418-8,Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,251888.61272336388,251888.61272336388,1.5724879338182663e-5,8.641404420121476e-4
L03-418-8,Total,"2,4'-DDE",<,1,ng/L,MISSION VIEJO,2298480.77152387,2298480.77152387,1.4348934794063193e-4,0.0018343573586910632
K01-12177-1 (K01P07),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,4657608.619114088,4657608.619114088,2.9076476601379606e-4,8.641404420121476e-4
J03-9221-1 (J03P02),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,3303913.5360000003,3303913.5360000003,2.0625641284723894e-4,8.641404420121476e-4
J01-9224-1 (J01P24),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,3068.504293817672,3068.504293817672,1.9156030614996795e-7,1.7227183756095816e-4
J01-9224-1 (J01P24),Total,"2,4'-DDE",<,1,ng/L,LAGUNA NIGUEL,184232.00687644104,184232.00687644104,1.150121891990777e-5,8.641404420121476e-4
J01-9224-2 (J01P25),Total,"2,4'-DDE",<,1,ng/L,ALISO VIEJO,31988.268700029792,31988.268700029792,1.9969607204822916e-6,1.7227183756095816e-4
