JURISDICTI,FACILITYID,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
ORANGE CO,L05-049-1,ORANGE CO,2073409.118979964,1,2073409.118979964,NA,NA
ORANGE CO,L02-374-1 (L02P50),ORANGE CO,1958049.4453097146,0.7914285714285715,1549656.2752879742,2672334.681625919,NA
ORANGE CO,L01-340-1,ORANGE CO,332204.020685886,0.885,294000.5583070091,2672334.681625919,NA
ORANGE CO,L01-340-1,RANCHO SANTA MARGARITA,4081.1656812997726,0.885,3611.8316279502988,7819546.773457736,NA
MISSION VIEJO,L03-214-2 (L03P18),MISSION VIEJO,9795374.37498252,1,9795374.37498252,29383610.543684196,NA
MISSION VIEJO,L03-214-2 (L03P18),RANCHO SANTA MARGARITA,466591.0148327202,1,466591.0148327202,7819546.773457736,NA
LAGUNA NIGUEL,K01-12177-1 (K01P07),LAGUNA NIGUEL,5262834.597869026,0.885,4657608.619114088,13842213.504816012,NA
DANA POINT,L01-728-5 (L01-DP),DANA POINT,165783.468096,0.4,66313.3872384,4402073.234388134,NA
LAKE FOREST,J01-10004-1 (J01P01),LAKE FOREST,1016470.9729120318,0.97125,987247.432440811,2638005.22879568,NA
RANCHO SANTA MARGARITA,L02-641-2,ORANGE CO,14884.47653043477,0.9233333333333333,2161.9407973799575,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-641-2,ORANGE CO,14884.47653043477,0.9233333333333333,2161.9407973799575,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-641-2,RANCHO SANTA MARGARITA,2516970.022608735,0.9233333333333333,365584.9210775861,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-641-2,RANCHO SANTA MARGARITA,2516970.022608735,0.9233333333333333,365584.9210775861,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-641-2,ORANGE CO,14884.47653043477,0.9233333333333333,25324.72586215625,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-641-2,ORANGE CO,14884.47653043477,0.9233333333333333,25324.72586215625,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-641-2,RANCHO SANTA MARGARITA,2516970.022608735,0.9233333333333333,4282419.720673211,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-641-2,RANCHO SANTA MARGARITA,2516970.022608735,0.9233333333333333,4282419.720673211,7819546.773457736,NA
ALISO VIEJO,J01-9992-1 (J01P27),ALISO VIEJO,48070.20534762815,0.8175,39297.39287168602,2586106.3692771737,NA
ALISO VIEJO,J01-9992-1 (J01P27),ORANGE CO,140.99462103456,0.8175,115.26310269575279,2672334.681625919,NA
SAN CLEMENTE,M02-085-1 (M02P06),ORANGE CO,882.9940915990373,1,882.9940915990373,NA,NA
SAN CLEMENTE,M02-085-1 (M02P06),SAN CLEMENTE,1273499.0217904504,1,1273499.0217904504,NA,NA
RANCHO SANTA MARGARITA,L02-166-3 (L02P26),ORANGE CO,6245.815629866014,0.77,4809.278034996831,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-166-3 (L02P26),RANCHO SANTA MARGARITA,1106005.9983212235,0.77,851624.6187073421,7819546.773457736,NA
ORANGE CO,L01-404-1,ORANGE CO,789481.35,0.77,607900.6394999999,2672334.681625919,NA
LAGUNA BEACH,I01-11010-1,LAGUNA BEACH,1485518.4000000001,1,1485518.4000000001,4196210.359776854,NA
SAN CLEMENTE,M02-085-2,SAN CLEMENTE,7194886.431264,1,7194886.431264,NA,NA
LAGUNA NIGUEL,J03-9221-1 (J03P02),LAGUNA NIGUEL,4290796.8,0.77,3303913.5360000003,13842213.504816012,NA
MISSION VIEJO,L03-662-3 (L03P16),MISSION VIEJO,1146939.7500000002,0.635,728306.7412500001,29383610.543684196,NA
ALISO VIEJO,J06-10011-1 (J06P01),ALISO VIEJO,1111257.8640317246,0.59,655642.1397787175,2586106.3692771737,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAGUNA HILLS,1558661.4939593736,0.59,919610.2814360304,919610.2814360304,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAGUNA WOODS,2852867.722407975,0.59,1683191.956220705,1728378.7735881044,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAKE FOREST,1716533.2941247656,0.59,1012754.6435336117,2638005.22879568,NA
ALISO VIEJO,J01-9007-1 (J02P05),ALISO VIEJO,568087.4749795661,0.8466666666666667,480980.7288160326,2586106.3692771737,NA
ALISO VIEJO,J01-9007-1 (J02P05),ORANGE CO,10446.927195723265,0.8466666666666667,8845.065025712363,2672334.681625919,NA
ALISO VIEJO,J01-9082-2,ALISO VIEJO,872708.0408431343,0.76,663258.1110407821,2586106.3692771737,NA
ALISO VIEJO,J01-9082-2,ORANGE CO,19199.15085320957,0.76,14591.35464843927,2672334.681625919,NA
LAGUNA BEACH,I00-11437-1,LAGUNA BEACH,2915316.5128715485,0.77,2244793.7149110925,4196210.359776854,NA
LAGUNA BEACH,I00-11437-1,ORANGE CO,106618.5271586705,0.77,82096.2659121763,2672334.681625919,NA
LAGUNA BEACH,I00-11468-1,LAGUNA BEACH,597427.8077452441,0.77,460019.411963838,4196210.359776854,NA
LAGUNA BEACH,I00-11468-1,ORANGE CO,53595.010827294835,0.77,41268.15833701703,2672334.681625919,NA
LAGUNA BEACH,I01-11023-1,LAGUNA BEACH,11757.665803846041,0.5,5878.8329019230205,4196210.359776854,NA
LAGUNA BEACH,I01-11023-1,ORANGE CO,23443.791259092075,0.5,11721.895629546038,2672334.681625919,NA
LAKE FOREST,J01-9031-1,LAKE FOREST,502101.10105129075,0.885,444359.4744303923,2638005.22879568,NA
LAGUNA NIGUEL,J01-9224-1 (J01P24),ALISO VIEJO,3159.3351802498555,0.97125,3068.504293817672,2586106.3692771737,NA
LAGUNA NIGUEL,J01-9224-1 (J01P24),LAGUNA NIGUEL,189685.46396544765,0.97125,184232.00687644104,13842213.504816012,NA
LAGUNA NIGUEL,J01-9224-2 (J01P25),ALISO VIEJO,31988.268700029792,1,31988.268700029792,2586106.3692771737,NA
LAGUNA NIGUEL,J01-9224-2 (J01P25),LAGUNA NIGUEL,1920565.3226501578,1,1920565.3226501578,13842213.504816012,NA
RANCHO SANTA MARGARITA,L01-731-1 (L08TBN2),ORANGE CO,37441.46735783077,0.77,28829.92986552969,2672334.681625919,NA
RANCHO SANTA MARGARITA,L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,600789.6625954958,0.77,462608.04019853176,7819546.773457736,NA
SAN JUAN CAPISTRANO,L01-766-9,SAN JUAN CAPISTRANO,2768112.0506879995,0.77,2131446.2790297596,6395373.317634842,NA
SAN JUAN CAPISTRANO,L05-503-1,SAN JUAN CAPISTRANO,2562235.46784,1,2562235.46784,6395373.317634842,NA
LAGUNA WOODS,J01-9273-1,LAGUNA HILLS,0,0.1925,0,919610.2814360304,NA
LAGUNA WOODS,J01-9273-1,LAGUNA WOODS,0,0.1925,0,1728378.7735881044,NA
LAGUNA WOODS,I01-11343-1,LAGUNA WOODS,0,1,0,1728378.7735881044,NA
SAN CLEMENTE,M02-052-2,ORANGE CO,716047.7572263718,1,716047.7572263718,NA,40026133.00551573
SAN CLEMENTE,M02-052-2,SAN CLEMENTE,11287071.629025336,1,11287071.629025336,NA,28199627.98556452
LAGUNA NIGUEL,J03-9234-8,LAGUNA NIGUEL,7885915.264656001,0.77,6072154.753785121,NA,NA
DANA POINT,L01-727-1 (L01S04),DANA POINT,5352910.787394701,1,5352910.787394701,NA,8353860.061753347
DANA POINT,L01-727-1 (L01S04),LAGUNA NIGUEL,419219.7271605428,1,419219.7271605428,NA,89499620.8045663
SAN JUAN CAPISTRANO,L01-747-2,ORANGE CO,78337.43465496374,0.77,60319.824684322084,NA,40026133.00551573
SAN JUAN CAPISTRANO,L01-747-2,SAN JUAN CAPISTRANO,358189.6569823751,0.77,275806.0358764288,NA,25949197.872955047
LAGUNA NIGUEL,K01-12156-6,LAGUNA NIGUEL,19352380.068288,1,19352380.068288,NA,NA
MISSION VIEJO,L03-074-1 (L03B01),MISSION VIEJO,1935745.4169669002,1,1935745.4169669002,NA,NA
MISSION VIEJO,L03-691-1 (L03P09),MISSION VIEJO,3268559.932465942,0.75,2451419.9493494565,NA,17249370.308589574
MISSION VIEJO,L03-691-1 (L03P09),ORANGE CO,9262.945206275985,0.75,6947.2089047069885,NA,40026133.00551573
DANA POINT,L01-728-7 (L01S03),DANA POINT,50693.41831640707,1,50693.41831640707,NA,NA
DANA POINT,L01-728-7 (L01S03),SAN JUAN CAPISTRANO,877924.0754694742,1,877924.0754694742,NA,NA
LAKE FOREST,J01-9785-1,LAKE FOREST,47520,1,47520,NA,1787360.7929253485
RANCHO SANTA MARGARITA,L01-218-4,RANCHO SANTA MARGARITA,583218.274464,1,583218.274464,NA,34981243.73386218
MISSION VIEJO,J07-9022-1,MISSION VIEJO,83160,0.7566666666666667,62924.4,NA,17249370.308589574
ORANGE CO,L01-414-3,ORANGE CO,3679577.620639577,0.75,2759683.2154796827,NA,40026133.00551573
LAGUNA BEACH,DP04-12015-1,LAGUNA BEACH,124877.25532975102,0,0,NA,2847778.2348011
LAGUNA BEACH,DP04-12015-1,LAGUNA NIGUEL,64269.30061896191,0,0,NA,89499620.8045663
LAGUNA BEACH,DP04-12015-1,ORANGE CO,242.242572160512,0,0,NA,40026133.00551573
RANCHO SANTA MARGARITA,L03-142-1 (L03P24),ORANGE CO,34411.849429446724,0.77,26497.124060673974,NA,40026133.00551573
RANCHO SANTA MARGARITA,L03-142-1 (L03P24),RANCHO SANTA MARGARITA,61.75038887740799,0.77,47.547799435604155,NA,34981243.73386218
RANCHO SANTA MARGARITA,L02-166-2 (L02P25),MISSION VIEJO,303896.65968176257,0.8466666666666667,257299.17186389232,NA,17249370.308589574
RANCHO SANTA MARGARITA,L02-166-2 (L02P25),RANCHO SANTA MARGARITA,603908.1395919936,0.8466666666666667,511308.8915212213,NA,34981243.73386218
ORANGE CO,L05-489-3d,ORANGE CO,17001115.608959995,1,17001115.608959995,NA,40026133.00551573
MISSION VIEJO,L03-172-2,MISSION VIEJO,210766.76409599994,0.385,81145.20417695997,NA,NA
LAGUNA NIGUEL,J01-9144-1 (J01P23),ALISO VIEJO,96422.40000000001,0.885,85333.82400000001,NA,7882184.897115977
SAN JUAN CAPISTRANO,L01-766-7,SAN JUAN CAPISTRANO,13673.108447999995,0,0,NA,25949197.872955047
RANCHO SANTA MARGARITA,L02-622-2 (L02P32),ORANGE CO,107468.40078047829,1,107468.40078047829,NA,40026133.00551573
RANCHO SANTA MARGARITA,L02-622-2 (L02P32),RANCHO SANTA MARGARITA,1215666.8188563664,1,1215666.8188563664,NA,34981243.73386218
RANCHO SANTA MARGARITA,L02-198-1 (L02P29),RANCHO SANTA MARGARITA,260972.73619199992,0.5,130486.36809599996,NA,34981243.73386218
ORANGE CO,L01-303-4,ORANGE CO,298771.19999999995,0.77,230053.82399999996,NA,40026133.00551573
LAGUNA NIGUEL,L03-708-9,LAGUNA NIGUEL,1081669.342392,1,1081669.342392,NA,89499620.8045663
MISSION VIEJO,J07-9110-1,LAKE FOREST,46.541273328,0.77,35.83678046256,NA,1787360.7929253485
MISSION VIEJO,J07-9110-1,MISSION VIEJO,23713.458700536,0.77,18259.36319941272,NA,17249370.308589574
LAGUNA NIGUEL,K01-12058-1 (K01P08),LAGUNA NIGUEL,2097649.051096156,0.97125,2037341.6408771412,NA,89499620.8045663
LAGUNA NIGUEL,K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,47749.346500997955,0.97125,46376.55278909426,NA,25949197.872955047
LAGUNA NIGUEL,L03-708-11 (L03P05),LAGUNA HILLS,1276694.2403137058,1,1276694.2403137058,NA,9902690.13337109
LAGUNA NIGUEL,L03-708-11 (L03P05),LAGUNA NIGUEL,15156.564526825752,1,15156.564526825752,NA,89499620.8045663
LAGUNA BEACH,LC06-11019-1,LAGUNA BEACH,21217.602369824635,1,21217.602369824635,NA,2847778.2348011
LAGUNA BEACH,LC06-11019-1,ORANGE CO,2303.799071190336,1,2303.799071190336,NA,40026133.00551573
ORANGE CO,L01-404-2,ORANGE CO,551577.6,0.885,488146.176,NA,40026133.00551573
LAGUNA BEACH,LC05-11017-2,LAGUNA BEACH,158435.568,0,0,NA,2847778.2348011
LAGUNA NIGUEL,K01-12036-5,LAGUNA NIGUEL,1632445.4814646496,0.5,816222.7407323248,NA,89499620.8045663
RANCHO SANTA MARGARITA,L02-204-1 (L02P45),RANCHO SANTA MARGARITA,45964.8,0.77,35392.896,NA,34981243.73386218
SAN JUAN CAPISTRANO,L01-766-3,SAN JUAN CAPISTRANO,23068.800000000003,1,23068.800000000003,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-502-5,SAN JUAN CAPISTRANO,48211.200000000004,0.5,24105.600000000002,NA,25949197.872955047
SAN CLEMENTE,M01-099-1,SAN CLEMENTE,60629.650848,1,60629.650848,NA,28199627.98556452
SAN CLEMENTE,M02-052-4,SAN CLEMENTE,212227.65417599998,1,212227.65417599998,NA,NA
ORANGE CO,L01-760-1,ORANGE CO,498004.98735959985,0.385,191731.92013344594,NA,40026133.00551573
SAN CLEMENTE,M01-038-6,SAN CLEMENTE,23068.800000000003,0.885,20415.888000000003,NA,28199627.98556452
RANCHO SANTA MARGARITA,L01-218-2,RANCHO SANTA MARGARITA,102905.99424,1,102905.99424,NA,34981243.73386218
LAGUNA NIGUEL,K01-12138-1 (K01TBN1),LAGUNA NIGUEL,1791145.5969956191,0.885,1585163.8533411229,NA,89499620.8045663
ORANGE CO,L01-494-1,ORANGE CO,1245715.2,0.77,959200.7039999999,NA,40026133.00551573
LAGUNA NIGUEL,L03-455-7,LAGUNA NIGUEL,395232.4704615272,1,395232.4704615272,NA,89499620.8045663
LAGUNA NIGUEL,L03-455-7,SAN JUAN CAPISTRANO,64570.277496390234,1,64570.277496390234,NA,25949197.872955047
LAKE FOREST,J01-9046-2,LAKE FOREST,47228.422236335995,0.25666666666666665,12121.961707326238,NA,1787360.7929253485
LAKE FOREST,J01-9046-2,MISSION VIEJO,291.5782830576,0.25666666666666665,74.838425984784,NA,17249370.308589574
ALISO VIEJO,J01-10019-1 (J01P33),ALISO VIEJO,27549.257142857146,0.77,21212.928000000004,NA,7882184.897115977
ORANGE CO,L01-335-1,ORANGE CO,234534.85807565908,0.385,90295.92035912875,NA,40026133.00551573
ORANGE CO,L01-335-1,RANCHO SANTA MARGARITA,59358.78717234089,0.385,22853.133061351244,NA,34981243.73386218
LAGUNA NIGUEL,K01-12058-2 (K01P09),LAGUNA NIGUEL,1721095.3897073145,0.9342857142857143,1607994.835526548,NA,89499620.8045663
LAGUNA NIGUEL,K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,52731.72397596431,0.9342857142857143,49266.49640040094,NA,25949197.872955047
SAN JUAN CAPISTRANO,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,15759777.604895996,1,15759777.604895996,NA,25949197.872955047
MISSION VIEJO,J07-9109-4 (J07P02),LAKE FOREST,1211.8855297823998,0.885,1072.5186938574238,NA,1787360.7929253485
MISSION VIEJO,J07-9109-4 (J07P02),MISSION VIEJO,93828.11452819199,0.885,83037.8813574499,NA,17249370.308589574
MISSION VIEJO,L03-662-1,MISSION VIEJO,142560,1,142560,NA,17249370.308589574
SAN CLEMENTE,M02-052-3,SAN CLEMENTE,1908217.8443039998,1,1908217.8443039998,NA,NA
LAGUNA NIGUEL,J01-9005-3,LAGUNA HILLS,5966.937620639424,0.635,3789.005389106034,NA,9902690.13337109
LAGUNA NIGUEL,J01-9005-3,LAGUNA NIGUEL,424920.66119011084,0.635,269824.6198557204,NA,89499620.8045663
LAGUNA NIGUEL,J03-9234-6,LAGUNA NIGUEL,885463.4222654025,0.59,522423.4191365875,NA,NA
LAGUNA NIGUEL,J03-9234-6,SAN JUAN CAPISTRANO,6443.776031054687,0.59,3801.8278583222655,NA,NA
SAN CLEMENTE,M02-061-4 (SCBS@M02),SAN CLEMENTE,421860.7604159999,0.885,373346.77296815993,NA,28199627.98556452
MISSION VIEJO,L03-316-1,MISSION VIEJO,35640,0.635,22631.399999999998,NA,17249370.308589574
LAGUNA NIGUEL,J03-9215-3,LAGUNA NIGUEL,699062.4000000001,0.8466666666666667,591872.832,NA,89499620.8045663
MISSION VIEJO,L03-316-4,MISSION VIEJO,83160,0.885,73596.59999999999,NA,17249370.308589574
ALISO VIEJO,J01-9082-4,ALISO VIEJO,613254.2989708512,0.77,472205.8102075554,NA,7882184.897115977
ALISO VIEJO,J01-9082-4,ORANGE CO,13491.295194147262,0.77,10388.297299493393,NA,40026133.00551573
LAGUNA NIGUEL,L03-708-13,MISSION VIEJO,1255775.466744,1,1255775.466744,NA,17249370.308589574
ALISO VIEJO,J01-9008-1 (J01P30),ALISO VIEJO,711115.2000000001,1,711115.2000000001,NA,7882184.897115977
LAGUNA NIGUEL,J01-9005-1 (J03P05),LAGUNA NIGUEL,216950.39999999997,0.9233333333333333,200317.536,NA,89499620.8045663
ORANGE CO,L01-760-2,ORANGE CO,948638.083344,1,948638.083344,NA,40026133.00551573
SAN CLEMENTE,SC09-081-2d,SAN CLEMENTE,1340128.070352,1,1340128.070352,NA,28199627.98556452
MISSION VIEJO,L03-241-3,MISSION VIEJO,3189922.5599999996,0.885,2823081.4655999993,NA,17249370.308589574
LAKE FOREST,J01-9349-1,LAKE FOREST,2636.0868885120003,0.77,2029.7869041542401,NA,1787360.7929253485
LAKE FOREST,J01-9349-1,MISSION VIEJO,3.9131046240000007,0.77,3.0130905604800007,NA,17249370.308589574
MISSION VIEJO,L03-316-2,MISSION VIEJO,142560,0.7566666666666667,107870.4,NA,17249370.308589574
SAN JUAN CAPISTRANO,L01-749-3,SAN JUAN CAPISTRANO,69206.4,0.385,26644.464,NA,25949197.872955047
SAN JUAN CAPISTRANO,L02-541-9 (L02P02),SAN JUAN CAPISTRANO,92275.20000000001,0.385,35525.952000000005,NA,25949197.872955047
ORANGE CO,L05-489-7,ORANGE CO,750887.0550305715,0.885,664535.0437020557,NA,NA
ALISO VIEJO,I01-11195-2,ALISO VIEJO,5173569.359999999,0.885,4578608.8836,NA,7882184.897115977
DANA POINT,L01-728-3 (L01S02),DANA POINT,251834.25161716566,1,251834.25161716566,NA,8353860.061753347
DANA POINT,L01-728-3 (L01S02),SAN CLEMENTE,5873.501076135551,1,5873.501076135551,NA,28199627.98556452
DANA POINT,L01-728-3 (L01S02),SAN JUAN CAPISTRANO,2628917.1482519014,1,2628917.1482519014,NA,25949197.872955047
LAGUNA BEACH,LC06-11509-2,LAGUNA BEACH,1383659.5213198469,1,1383659.5213198469,NA,2847778.2348011
LAGUNA BEACH,LC06-11509-2,ORANGE CO,799385.780256779,1,799385.780256779,NA,40026133.00551573
MISSION VIEJO,L03-240-1 (L03P14),MISSION VIEJO,328974.80443027196,1,328974.80443027196,NA,17249370.308589574
MISSION VIEJO,L03-240-1 (L03P14),RANCHO SANTA MARGARITA,3665.1957427007997,1,3665.1957427007997,NA,34981243.73386218
SAN CLEMENTE,M02-061-6,SAN CLEMENTE,142540.96175999995,0.885,126148.75115759997,NA,28199627.98556452
MISSION VIEJO,J07-9109-2,LAKE FOREST,21395.026694981112,0.77,16474.170555135457,NA,1787360.7929253485
MISSION VIEJO,J07-9109-2,MISSION VIEJO,1094604.5736762173,0.77,842845.5217306874,NA,17249370.308589574
SAN CLEMENTE,M01-050-4 (M01@CGV),SAN CLEMENTE,1182001.9204282498,1,1182001.9204282498,NA,28199627.98556452
LAGUNA NIGUEL,L03-418-1,LAGUNA NIGUEL,11478.350962996996,1,11478.350962996996,NA,89499620.8045663
LAGUNA NIGUEL,L03-418-1,MISSION VIEJO,198146.47686344493,1,198146.47686344493,NA,17249370.308589574
MISSION VIEJO,L03-693-1 (L03P11),MISSION VIEJO,617627.4192,1,617627.4192,NA,17249370.308589574
MISSION VIEJO,L03-241-4,MISSION VIEJO,166320,0.885,147193.19999999998,NA,17249370.308589574
RANCHO SANTA MARGARITA,L01-223-1 (L08TBN1),ORANGE CO,17235.03013514352,0.77,13270.973204060509,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,384956.9705526048,0.77,296416.8673255057,NA,34981243.73386218
SAN JUAN CAPISTRANO,L01-766-2 (L01S06),SAN JUAN CAPISTRANO,2435326.548892484,0.885,2155263.9957698486,NA,25949197.872955047
DANA POINT,SC11-026-1 (M00P01),DANA POINT,2186260.343326208,0.635,1388275.3180121423,NA,8353860.061753347
DANA POINT,SC11-026-1 (M00P01),SAN CLEMENTE,1021990.3542554192,0.635,648963.8749521913,NA,28199627.98556452
DANA POINT,SC11-026-1 (M00P01),SAN JUAN CAPISTRANO,51957.95555996994,0.635,32993.301780580914,NA,25949197.872955047
DANA POINT,M01-060-3,DANA POINT,5688.889053333339,0.5133333333333333,2920.296380711114,NA,NA
DANA POINT,M01-060-3,ORANGE CO,1327785.673861053,0.5133333333333333,681596.6459153405,NA,NA
DANA POINT,M01-060-3,SAN CLEMENTE,6573115.745859652,0.5133333333333333,3374199.4162079548,NA,NA
DANA POINT,M01-060-3,SAN JUAN CAPISTRANO,1654184.6801795405,0.5133333333333333,849148.1358254974,NA,NA
LAGUNA NIGUEL,K01-12032-2 (K01P11),LAGUNA NIGUEL,3872306.077308,0.885,3426990.87841758,NA,NA
MISSION VIEJO,J07-9110-2,MISSION VIEJO,23760,0.9233333333333333,21938.4,NA,17249370.308589574
SAN CLEMENTE,M01-124-2,SAN CLEMENTE,105707.931552,1,105707.931552,NA,28199627.98556452
RANCHO SANTA MARGARITA,L01-125-2,ORANGE CO,11937.01123004544,0.885,10564.254938590215,NA,40026133.00551573
RANCHO SANTA MARGARITA,L01-125-2,RANCHO SANTA MARGARITA,11045.38860907776,0.885,9775.168919033817,NA,34981243.73386218
ORANGE CO,L01-517-6,ORANGE CO,161481.59999999998,0.77,124340.832,NA,40026133.00551573
LAGUNA NIGUEL,K01-12155-5,LAGUNA NIGUEL,845893.178568,0.885,748615.46303268,NA,89499620.8045663
ORANGE CO,L01-303-5,ORANGE CO,786850.9568640001,0.5,393425.47843200003,NA,40026133.00551573
ALISO VIEJO,J01-10017-1 (J01TBN4),ALISO VIEJO,290876.088096,0.9233333333333333,268575.58800864004,NA,7882184.897115977
SAN CLEMENTE,M00.1-071-3 (M00S04),SAN CLEMENTE,261486.4541837832,0.9233333333333333,241439.1593630265,NA,NA
LAGUNA NIGUEL,K01-12036-10,LAGUNA NIGUEL,921601.0086642308,0,0,NA,89499620.8045663
ORANGE CO,L01-514-1,ORANGE CO,69206.4,0.5133333333333333,35525.952,NA,40026133.00551573
LAKE FOREST,J01-9033-1,LAKE FOREST,4741.467450642719,0.385,1825.4649684974468,NA,1787360.7929253485
LAKE FOREST,J01-9033-1,ORANGE CO,167626.5385805136,0.385,64536.21735349773,NA,40026133.00551573
RANCHO SANTA MARGARITA,L02-166-1 (L02PXX),MISSION VIEJO,12552.98861287296,0.885,11109.394922392568,NA,17249370.308589574
RANCHO SANTA MARGARITA,L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,217271.0117180736,0.885,192284.8453704951,NA,34981243.73386218
LAGUNA NIGUEL,L03-708-1,LAGUNA HILLS,1354.3368927482877,1,1354.3368927482877,NA,9902690.13337109
LAGUNA NIGUEL,L03-708-1,LAGUNA NIGUEL,432546.45510612085,1,432546.45510612085,NA,89499620.8045663
LAKE FOREST,J01-9046-1,LAKE FOREST,47520,0.59,28036.800000000003,NA,1787360.7929253485
MISSION VIEJO,L04-136-1 (L04P07),MISSION VIEJO,9404628.749999998,0.635,5971939.256249999,NA,17249370.308589574
