Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L01-340-1,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDD",ng/L,NA,0
L05-489-3,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDD",ng/L,NA,0
L05-049-1,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDD",ng/L,NA,0
L02-374-1 (L02P50),06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDD",ng/L,NA,0
J01-9992-1 (J01P27),06/21/2023,Total,6246,2023-06-21,"2,4'-DDD",ng/L,<,1
J01-9131-1 (J01P28),06/21/2023,Total,3672,2023-06-21,"2,4'-DDD",ng/L,<,1
J01-9007-1 (J02P05),06/21/2023,Total,2756,2023-06-21,"2,4'-DDD",ng/L,<,1
J01-9992-1 (J01P27),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
J01-9131-1 (J01P28),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
J01-9007-1 (J02P05),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
J06-9079-1 (J06P03),05/30/2023,Total,2984,2023-05-30,"2,4'-DDD",ng/L,<,1
J06-10011-1 (J06P01),05/30/2023,Total,3226,2023-05-30,"2,4'-DDD",ng/L,<,1
J01-9082-2,05/30/2023,Total,1204,2023-05-30,"2,4'-DDD",ng/L,<,1
J06-9079-1 (J06P03),05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDD",ng/L,NA,0
J06-10011-1 (J06P01),05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDD",ng/L,NA,0
J01-9082-2,05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDD",ng/L,NA,0
L01-726-5,06/21/2023,Total,3896,2023-06-21,"2,4'-DDD",ng/L,<,1
L01-728-5 (L01-DP),06/21/2023,Total,2625,2023-06-21,"2,4'-DDD",ng/L,<,1
K01-12126-1 (K01S01),06/21/2023,Total,5640,2023-06-21,"2,4'-DDD",ng/L,<,1
K01-12159-3,06/21/2023,Total,5133,2023-06-21,"2,4'-DDD",ng/L,<,1
K01-12159-2,06/21/2023,Total,4738,2023-06-21,"2,4'-DDD",ng/L,<,1
L01-726-5,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
L01-728-5 (L01-DP),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
K01-12126-1 (K01S01),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
K01-12159-3,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
K01-12159-2,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDD",ng/L,NA,0
L05-503-1,06/08/2023,Total,4066,2023-06-08,"2,4'-DDD",ng/L,<,1
L01-724-4 (L01P03),06/08/2023,Total,4004,2023-06-08,"2,4'-DDD",ng/L,<,1
L01-724-1 (L01S01),06/08/2023,Total,7415,2023-06-08,"2,4'-DDD",ng/L,<,1
L05-503-1,06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDD",ng/L,NA,0
L01-724-4 (L01P03),06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDD",ng/L,NA,0
L01-724-1 (L01S01),06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDD",ng/L,NA,0
M01-042-1 (M01S01),06/15/2023,Total,27498,2023-06-15,"2,4'-DDD",ng/L,<,1
M02-032-1,06/15/2023,Total,2305,2023-06-15,"2,4'-DDD",ng/L,<,1
SC1-2,06/15/2023,Total,7983,2023-06-15,"2,4'-DDD",ng/L,<,1
M02-085-1 (M02P06),06/15/2023,Total,2726,2023-06-15,"2,4'-DDD",ng/L,<,1
M02-085-2,06/15/2023,Total,3063,2023-06-15,"2,4'-DDD",ng/L,<,1
M01-042-1 (M01S01),06/15/2023,Dissolved,NA,2023-06-15,"2,4'-DDD",ng/L,NA,0
M02-032-1,06/15/2023,Dissolved,NA,2023-06-15,"2,4'-DDD",ng/L,NA,0
SC1-2,06/15/2023,Dissolved,NA,2023-06-15,"2,4'-DDD",ng/L,NA,0
M02-085-1 (M02P06),06/15/2023,Dissolved,NA,2023-06-15,"2,4'-DDD",ng/L,NA,0
M02-085-2,06/15/2023,Dissolved,NA,2023-06-15,"2,4'-DDD",ng/L,NA,0
I01-11010-1,06/07/2023,Total,7262,2023-06-07,"2,4'-DDD",ng/L,<,1
I00-11437-1,06/07/2023,Total,9184,2023-06-07,"2,4'-DDD",ng/L,<,1
I01-11010-1,06/07/2023,Dissolved,NA,2023-06-07,"2,4'-DDD",ng/L,NA,0
I00-11437-1,06/07/2023,Dissolved,NA,2023-06-07,"2,4'-DDD",ng/L,NA,0
L02-246-1 (L11P01),06/22/2023,Total,1698,2023-06-22,"2,4'-DDD",ng/L,<,1
L02-641-1,06/22/2023,Total,1320,2023-06-22,"2,4'-DDD",ng/L,<,1
L02-641-2,06/22/2023,Total,2526,2023-06-22,"2,4'-DDD",ng/L,<,1
L01-731-1 (L08TBN2),06/22/2023,Total,2980,2023-06-22,"2,4'-DDD",ng/L,<,1
L02-166-3 (L02P26),06/22/2023,Total,2292,2023-06-22,"2,4'-DDD",ng/L,<,1
L02-246-1 (L11P01),06/22/2023,Dissolved,NA,2023-06-22,"2,4'-DDD",ng/L,NA,0
L02-641-1,06/22/2023,Dissolved,NA,2023-06-22,"2,4'-DDD",ng/L,NA,0
L02-641-2,06/22/2023,Dissolved,NA,2023-06-22,"2,4'-DDD",ng/L,NA,0
L01-731-1 (L08TBN2),06/22/2023,Dissolved,NA,2023-06-22,"2,4'-DDD",ng/L,NA,0
L02-166-3 (L02P26),06/22/2023,Dissolved,NA,2023-06-22,"2,4'-DDD",ng/L,NA,0
J01-9224-1 (J01P24),08/01/2023,Total,2910,2023-08-01,"2,4'-DDD",ng/L,<,1
J01-10004-1 (J01P01),08/01/2023,Total,2911.75,2023-08-01,"2,4'-DDD",ng/L,<,1
L02-374-1 (L02P50),08/01/2023,Total,2300,2023-08-01,"2,4'-DDD",ng/L,<,1
L04-672-1,08/01/2023,Total,2730.5,2023-08-01,"2,4'-DDD",ng/L,<,1
J01-9224-2 (J01P25),08/01/2023,Total,2690,2023-08-01,"2,4'-DDD",ng/L,<,1
L02-246-1 (L11P01),08/01/2023,Total,1300,2023-08-01,"2,4'-DDD",ng/L,<,1
J01-9224-1 (J01P24),08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
J01-10004-1 (J01P01),08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
L02-374-1 (L02P50),08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
L04-672-1,08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
J01-9224-2 (J01P25),08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
L02-246-1 (L11P01),08/01/2023,Dissolved,NA,2023-08-01,"2,4'-DDD",ng/L,NA,0
L03-662-3 (L03P16),08/02/2023,Total,1949,2023-08-02,"2,4'-DDD",ng/L,<,1
L03-214-2 (L03P18),08/02/2023,Total,3599,2023-08-02,"2,4'-DDD",ng/L,<,1
L03-316-3 (L03P12),08/02/2023,Total,5563,2023-08-02,"2,4'-DDD",ng/L,<,1
L03-662-3 (L03P16),08/02/2023,Dissolved,NA,2023-08-02,"2,4'-DDD",ng/L,NA,0
L03-214-2 (L03P18),08/02/2023,Dissolved,NA,2023-08-02,"2,4'-DDD",ng/L,NA,0
L03-316-3 (L03P12),08/02/2023,Dissolved,NA,2023-08-02,"2,4'-DDD",ng/L,NA,0
L04-266-5,08/03/2023,Total,4935,2023-08-03,"2,4'-DDD",ng/L,<,1
J01-9273-1 (J01ASVM),08/03/2023,Total,6246,2023-08-03,"2,4'-DDD",ng/L,<,1
I01-11343-2 (I02P18),08/03/2023,Total,4578,2023-08-03,"2,4'-DDD",ng/L,<,1
L04-266-5,08/03/2023,Dissolved,NA,2023-08-03,"2,4'-DDD",ng/L,NA,0
J01-9273-1 (J01ASVM),08/03/2023,Dissolved,NA,2023-08-03,"2,4'-DDD",ng/L,NA,0
I01-11343-2 (I02P18),08/03/2023,Dissolved,NA,2023-08-03,"2,4'-DDD",ng/L,NA,0
J03-9221-1 (J03P02),08/08/2023,Total,4290,2023-08-08,"2,4'-DDD",ng/L,<,1
L02-641-2,08/08/2023,Total,1562,2023-08-08,"2,4'-DDD",ng/L,<,1
L02-641-1,08/08/2023,Total,1653,2023-08-08,"2,4'-DDD",ng/L,<,1
J03-9221-1 (J03P02),08/10/2023,Dissolved,NA,2023-08-10,"2,4'-DDD",ng/L,NA,0
L02-641-2,08/08/2023,Dissolved,NA,2023-08-08,"2,4'-DDD",ng/L,NA,0
L02-641-1,08/08/2023,Dissolved,NA,2023-08-08,"2,4'-DDD",ng/L,NA,0
J06-10011-1 (J06P01),08/09/2023,Total,3138.34,2023-08-09,"2,4'-DDD",ng/L,<,1
J06-9079-1 (J06P03),08/09/2023,Total,2108,2023-08-09,"2,4'-DDD",ng/L,<,1
J01-9082-2,08/09/2023,Total,972,2023-08-09,"2,4'-DDD",ng/L,<,1
J06-10011-1 (J06P01),08/09/2023,Dissolved,NA,2023-08-09,"2,4'-DDD",ng/L,NA,0
J06-9079-1 (J06P03),08/09/2023,Dissolved,NA,2023-08-09,"2,4'-DDD",ng/L,NA,0
J01-9082-2,08/09/2023,Dissolved,NA,2023-08-09,"2,4'-DDD",ng/L,NA,0
K01-12177-1 (K01P07),08/10/2023,Total,1804,2023-08-10,"2,4'-DDD",ng/L,<,1
K01-12177-1 (K01P07),08/10/2023,Dissolved,NA,2023-08-10,"2,4'-DDD",ng/L,NA,0
L01-726-5,08/15/2023,Total,3616,2023-08-15,"2,4'-DDD",ng/L,<,1
L01-728-5 (L01-DP),08/15/2023,Total,1951,2023-08-15,"2,4'-DDD",ng/L,<,1
K01-12126-1 (K01S01),08/15/2023,Total,5486,2023-08-15,"2,4'-DDD",ng/L,<,1
K01-12159-2,08/15/2023,Total,5367,2023-08-15,"2,4'-DDD",ng/L,<,1
K01-12159-3,08/15/2023,Total,4997,2023-08-15,"2,4'-DDD",ng/L,<,1
L01-726-5,08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
L01-728-5 (L01-DP),08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
K01-12126-1 (K01S01),08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
K01-12159-2,08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
K01-12159-3,08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
L01-404-1,08/15/2023,Total,1954,2023-08-15,"2,4'-DDD",ng/L,<,1
L01-340-1,08/15/2023,Total,1625.7,2023-08-15,"2,4'-DDD",ng/L,<,1
L01-404-1,08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
L01-340-1,08/15/2023,Dissolved,NA,2023-08-15,"2,4'-DDD",ng/L,NA,0
L05-489-3,08/16/2023,Total,2485,2023-08-16,"2,4'-DDD",ng/L,<,1
L05-049-1,08/16/2023,Total,2264,2023-08-16,"2,4'-DDD",ng/L,<,1
L05-489-3,08/16/2023,Dissolved,NA,2023-08-16,"2,4'-DDD",ng/L,NA,0
L05-049-1,08/16/2023,Dissolved,NA,2023-08-16,"2,4'-DDD",ng/L,NA,0
L05-503-1,08/16/2023,Total,3626,2023-08-16,"2,4'-DDD",ng/L,<,1
L01-724-4 (L01P03),08/16/2023,Total,4152,2023-08-16,"2,4'-DDD",ng/L,<,1
L01-724-1 (L01S01),08/16/2023,Total,5677,2023-08-16,"2,4'-DDD",ng/L,<,1
L05-503-1,08/16/2023,Dissolved,NA,2023-08-16,"2,4'-DDD",ng/L,NA,0
L01-724-4 (L01P03),08/16/2023,Dissolved,NA,2023-08-16,"2,4'-DDD",ng/L,NA,0
L01-724-1 (L01S01),08/16/2023,Dissolved,NA,2023-08-16,"2,4'-DDD",ng/L,NA,0
M01-042-1 (M01S01),08/30/2023,Total,19294,2023-08-30,"2,4'-DDD",ng/L,<,1
M02-032-1,08/30/2023,Total,3027,2023-08-30,"2,4'-DDD",ng/L,<,1
M02-085-1 (M02P06),08/30/2023,Total,5614,2023-08-30,"2,4'-DDD",ng/L,<,1
M02-085-2,08/30/2023,Total,1156,2023-08-30,"2,4'-DDD",ng/L,<,1
M01-042-1 (M01S01),08/30/2023,Dissolved,NA,2023-08-30,"2,4'-DDD",ng/L,NA,0
M02-032-1,08/30/2023,Dissolved,NA,2023-08-30,"2,4'-DDD",ng/L,NA,0
M02-085-1 (M02P06),08/30/2023,Dissolved,NA,2023-08-30,"2,4'-DDD",ng/L,NA,0
M02-085-2,08/30/2023,Dissolved,NA,2023-08-30,"2,4'-DDD",ng/L,NA,0
I01-11010-1,09/06/2023,Total,3751,2023-09-06,"2,4'-DDD",ng/L,<,1
I00-11437-1,09/06/2023,Total,8602,2023-09-06,"2,4'-DDD",ng/L,<,1
I01-11010-1,09/06/2023,Dissolved,NA,2023-09-06,"2,4'-DDD",ng/L,NA,0
I00-11437-1,09/06/2023,Dissolved,NA,2023-09-06,"2,4'-DDD",ng/L,NA,0
J01-9992-1 (J01P27),09/06/2023,Total,4082,2023-09-06,"2,4'-DDD",ng/L,<,1
J01-9007-1 (J02P05),09/06/2023,Total,1528,2023-09-06,"2,4'-DDD",ng/L,<,1
J01-9082-2,09/06/2023,Total,1240,2023-09-06,"2,4'-DDD",ng/L,<,1
J01-9992-1 (J01P27),09/06/2023,Dissolved,NA,2023-09-06,"2,4'-DDD",ng/L,NA,0
J01-9007-1 (J02P05),09/06/2023,Dissolved,NA,2023-09-06,"2,4'-DDD",ng/L,NA,0
J01-9082-2,09/06/2023,Dissolved,NA,2023-09-06,"2,4'-DDD",ng/L,NA,0
L01-731-1 (L08TBN2),09/13/2023,Total,2546,2023-09-13,"2,4'-DDD",ng/L,<,1
L02-166-3 (L02P26),09/13/2023,Total,1970,2023-09-13,"2,4'-DDD",ng/L,<,1
L01-731-1 (L08TBN2),09/13/2023,Dissolved,NA,2023-09-13,"2,4'-DDD",ng/L,NA,0
L02-166-3 (L02P26),09/13/2023,Dissolved,NA,2023-09-13,"2,4'-DDD",ng/L,NA,0
SC1-2,09/14/2023,Total,8975,2023-09-14,"2,4'-DDD",ng/L,<,1
SC1-2,09/14/2023,Dissolved,NA,2023-09-14,"2,4'-DDD",ng/L,NA,0
L02-246-1 (L11P01),09/19/2023,Total,1729,2023-09-19,"2,4'-DDD",ng/L,NA,0
L02-246-1 (L11P01),09/19/2023,Dissolved,NA,2023-09-19,"2,4'-DDD",ng/L,NA,0
SC1-2,09/25/2023,Total,9643,2023-09-25,"2,4'-DDD",ng/L,NA,0
SC1-2,09/25/2023,Dissolved,NA,2023-09-25,"2,4'-DDD",ng/L,NA,0
L02-641-1,09/26/2023,Total,1373,2023-09-26,"2,4'-DDD",ng/L,NA,0
L02-641-2,09/26/2023,Total,1720,2023-09-26,"2,4'-DDD",ng/L,NA,0
L02-641-1,09/26/2023,Dissolved,NA,2023-09-26,"2,4'-DDD",ng/L,NA,0
L02-641-2,09/26/2023,Dissolved,NA,2023-09-26,"2,4'-DDD",ng/L,NA,0
L02-166-3 (L02P26),09/26/2023,Total,2320,2023-09-26,"2,4'-DDD",ng/L,NA,0
L02-166-3 (L02P26),09/26/2023,Dissolved,NA,2023-09-26,"2,4'-DDD",ng/L,NA,0
J01-9992-1 (J01P27),09/27/2023,Total,4015,2023-09-27,"2,4'-DDD",ng/L,NA,0
J01-9007-1 (J02P05),09/27/2023,Total,-99,2023-09-27,"2,4'-DDD",ng/L,NA,0
J01-9992-1 (J01P27),09/27/2023,Dissolved,NA,2023-09-27,"2,4'-DDD",ng/L,NA,0
J01-9007-1 (J02P05),09/27/2023,Dissolved,NA,2023-09-27,"2,4'-DDD",ng/L,NA,0
J01-9131-1 (J01P28),09/27/2023,Total,2177,2023-09-27,"2,4'-DDD",ng/L,<,1
L03-418-8,09/27/2023,Total,2996,2023-09-27,"2,4'-DDD",ng/L,<,1
J01-9131-1 (J01P28),09/27/2023,Dissolved,NA,2023-09-27,"2,4'-DDD",ng/L,NA,0
L03-418-8,09/27/2023,Dissolved,NA,2023-09-27,"2,4'-DDD",ng/L,NA,0
M02-085-1 (M02P06),09/28/2023,Total,7501,2023-09-28,"2,4'-DDD",ng/L,NA,0
M02-085-2,09/28/2023,Total,2290,2023-09-28,"2,4'-DDD",ng/L,NA,0
M02-032-1,09/28/2023,Total,3237,2023-09-28,"2,4'-DDD",ng/L,NA,0
M01-042-1 (M01S01),09/28/2023,Total,21254,2023-09-28,"2,4'-DDD",ng/L,NA,0
M02-085-1 (M02P06),09/28/2023,Dissolved,NA,2023-09-28,"2,4'-DDD",ng/L,NA,0
M02-085-2,09/28/2023,Dissolved,NA,2023-09-28,"2,4'-DDD",ng/L,NA,0
M02-032-1,09/28/2023,Dissolved,NA,2023-09-28,"2,4'-DDD",ng/L,NA,0
M01-042-1 (M01S01),09/28/2023,Dissolved,NA,2023-09-28,"2,4'-DDD",ng/L,NA,0
J01-9377-1,05/16/2023,Total,540,2023-05-16,"2,4'-DDE",ng/L,<,1
J01-10004-1 (J01P01),05/16/2023,Total,1966,2023-05-16,"2,4'-DDE",ng/L,<,1
J01-9377-1,05/16/2023,Dissolved,NA,2023-05-16,"2,4'-DDE",ng/L,NA,0
J01-10004-1 (J01P01),05/16/2023,Dissolved,NA,2023-05-16,"2,4'-DDE",ng/L,NA,0
L04-266-5,05/18/2023,Total,5239,2023-05-18,"2,4'-DDE",ng/L,<,1
L04-672-1,05/18/2023,Total,5722,2023-05-18,"2,4'-DDE",ng/L,<,1
I01-11343-2 (I02P18),05/18/2023,Total,7917,2023-05-18,"2,4'-DDE",ng/L,<,1
L04-672-1,05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
L04-266-5,05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
I01-11343-2 (I02P18),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
L03-662-3 (L03P16),05/18/2023,Total,3405,2023-05-18,"2,4'-DDE",ng/L,<,1
L03-214-2 (L03P18),05/18/2023,Total,4786,2023-05-18,"2,4'-DDE",ng/L,<,1
L03-316-3 (L03P12),05/18/2023,Total,6941,2023-05-18,"2,4'-DDE",ng/L,<,1
L03-662-3 (L03P16),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
L03-316-3 (L03P12),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
L03-214-2 (L03P18),05/18/2023,Dissolved,NA,2023-05-18,"2,4'-DDE",ng/L,NA,0
L03-418-8,05/23/2023,Total,2225,2023-05-23,"2,4'-DDE",ng/L,<,1
K01-12177-1 (K01P07),05/23/2023,Total,2584,2023-05-23,"2,4'-DDE",ng/L,<,1
K01-12156-4 (SCNK01),05/23/2023,Total,5134,2023-05-23,"2,4'-DDE",ng/L,NA,0
J03-9221-1 (J03P02),05/23/2023,Total,6748,2023-05-23,"2,4'-DDE",ng/L,<,1
J01-9224-1 (J01P24),05/23/2023,Total,2908,2023-05-23,"2,4'-DDE",ng/L,<,1
J01-9224-2 (J01P25),05/23/2023,Total,3293,2023-05-23,"2,4'-DDE",ng/L,<,1
L03-418-8,05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDE",ng/L,NA,0
K01-12177-1 (K01P07),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDE",ng/L,NA,0
J03-9221-1 (J03P02),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDE",ng/L,NA,0
J01-9224-1 (J01P24),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDE",ng/L,NA,0
J01-9224-2 (J01P25),05/23/2023,Dissolved,NA,2023-05-23,"2,4'-DDE",ng/L,NA,0
L01-404-1,06/27/2023,Total,2917,2023-06-27,"2,4'-DDE",ng/L,<,1
L01-340-1,06/27/2023,Total,2569,2023-06-27,"2,4'-DDE",ng/L,<,1
L05-489-3,06/27/2023,Total,2738,2023-06-27,"2,4'-DDE",ng/L,<,1
L05-049-1,06/27/2023,Total,2429,2023-06-27,"2,4'-DDE",ng/L,<,1
L02-374-1 (L02P50),06/27/2023,Total,2913,2023-06-27,"2,4'-DDE",ng/L,<,1
L01-404-1,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDE",ng/L,NA,0
L01-340-1,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDE",ng/L,NA,0
L05-489-3,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDE",ng/L,NA,0
L05-049-1,06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDE",ng/L,NA,0
L02-374-1 (L02P50),06/27/2023,Dissolved,NA,2023-06-27,"2,4'-DDE",ng/L,NA,0
J01-9992-1 (J01P27),06/21/2023,Total,6246,2023-06-21,"2,4'-DDE",ng/L,<,1
J01-9131-1 (J01P28),06/21/2023,Total,3672,2023-06-21,"2,4'-DDE",ng/L,<,1
J01-9007-1 (J02P05),06/21/2023,Total,2756,2023-06-21,"2,4'-DDE",ng/L,<,1
J01-9992-1 (J01P27),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
J01-9131-1 (J01P28),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
J01-9007-1 (J02P05),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
J06-9079-1 (J06P03),05/30/2023,Total,2984,2023-05-30,"2,4'-DDE",ng/L,<,1
J06-10011-1 (J06P01),05/30/2023,Total,3226,2023-05-30,"2,4'-DDE",ng/L,<,1
J01-9082-2,05/30/2023,Total,1204,2023-05-30,"2,4'-DDE",ng/L,<,1
J06-9079-1 (J06P03),05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDE",ng/L,NA,0
J06-10011-1 (J06P01),05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDE",ng/L,NA,0
J01-9082-2,05/30/2023,Dissolved,NA,2023-05-30,"2,4'-DDE",ng/L,NA,0
L01-726-5,06/21/2023,Total,3896,2023-06-21,"2,4'-DDE",ng/L,<,1
L01-728-5 (L01-DP),06/21/2023,Total,2625,2023-06-21,"2,4'-DDE",ng/L,<,1
K01-12126-1 (K01S01),06/21/2023,Total,5640,2023-06-21,"2,4'-DDE",ng/L,<,1
K01-12159-3,06/21/2023,Total,5133,2023-06-21,"2,4'-DDE",ng/L,<,1
K01-12159-2,06/21/2023,Total,4738,2023-06-21,"2,4'-DDE",ng/L,<,1
L01-726-5,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
L01-728-5 (L01-DP),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
K01-12126-1 (K01S01),06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
K01-12159-3,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
K01-12159-2,06/21/2023,Dissolved,NA,2023-06-21,"2,4'-DDE",ng/L,NA,0
L05-503-1,06/08/2023,Total,4066,2023-06-08,"2,4'-DDE",ng/L,<,1
L01-724-4 (L01P03),06/08/2023,Total,4004,2023-06-08,"2,4'-DDE",ng/L,<,1
L01-724-1 (L01S01),06/08/2023,Total,7415,2023-06-08,"2,4'-DDE",ng/L,<,1
L05-503-1,06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDE",ng/L,NA,0
L01-724-4 (L01P03),06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDE",ng/L,NA,0
L01-724-1 (L01S01),06/08/2023,Dissolved,NA,2023-06-08,"2,4'-DDE",ng/L,NA,0
M01-042-1 (M01S01),06/15/2023,Total,27498,2023-06-15,"2,4'-DDE",ng/L,<,1
M02-032-1,06/15/2023,Total,2305,2023-06-15,"2,4'-DDE",ng/L,<,1
