FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,avgCnx,PERSISTENTFLOW,MonitoringYear,rain_gage,dry_days,Qadj_Qall
K01-12159-2,DANA POINT,0.078,0.149132,0.09,0.10290107999999998,0.09,7775.999999999998,NA,NA,NA,NA,NA,7775.999999999998,DANA POINT,100,NA,NA,7775.999999999997,7775.999999999997,1,Yes,MY2022-23,DANAPOINT,263,2045087.9999999993
L03-691-1 (L03P09),MISSION VIEJO,0.097,0.31644,0.0833381,0.21834359999999997,0.0833381,7200.41184,NA,0.19257291666666668,NA,16638.300000000003,11919.355920000002,11919.355920000002,MISSION VIEJO,99.71740555,505.0272419,503.6005082,11885.672481694335,11885.672481694335,0.75,Yes,MY2022-23,ELTORO,275,2451419.9493494565
L03-691-1 (L03P09),MISSION VIEJO,0.097,0.31644,0.0833381,0.21834359999999997,0.0833381,7200.41184,NA,0.19257291666666668,NA,16638.300000000003,11919.355920000002,11919.355920000002,ORANGE CO,0.28259444,505.0272419,1.42718017,33.683437113730854,33.683437113730854,0.75,Yes,MY2022-23,ELTORO,275,6947.2089047069885
K01-12159-3,DANA POINT,0.0115,0.02149,0.016,0.014828099999999999,0.016,1382.3999999999999,NA,NA,NA,NA,NA,1382.3999999999999,DANA POINT,100,NA,NA,1382.4,1382.4,1,Yes,MY2022-23,DANAPOINT,263,363571.2
L01-728-7 (L01S03),DANA POINT,0.018,0.147308,0.05157749999999999,0.10164251999999999,0.05157749999999999,4456.295999999999,NA,0.030155486100694445,NA,2605.4339990999997,3530.8649995499995,3530.8649995499995,DANA POINT,5.459020382,185.67562068,10.13607894,192.75063998633868,192.75063998633868,1,Yes,MY2022-23,DANAPOINT,263,50693.41831640707
L01-728-7 (L01S03),DANA POINT,0.018,0.147308,0.05157749999999999,0.10164251999999999,0.05157749999999999,4456.295999999999,NA,0.030155486100694445,NA,2605.4339990999997,3530.8649995499995,3530.8649995499995,SAN JUAN CAPISTRANO,94.5409795,185.67562068,175.5397057,3338.11435539724,3338.11435539724,1,Yes,MY2022-23,DANAPOINT,263,877924.0754694742
J01-9785-1,LAKE FOREST,0.002,0.005869,0.002,0.0040496099999999995,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998,LAKE FOREST,100,21.25657462,21.25659341,172.8,172.8,1,Yes,MY2022-23,ELTORO,275,47520
L01-218-4,RANCHO SANTA MARGARITA,0.007333333333333333,0.026115,0.025376734999999997,0.018019349999999996,0.025376734999999997,2192.549904,NA,NA,NA,NA,NA,2192.549904,RANCHO SANTA MARGARITA,100,37.33151421,37.33154721,2192.549904,2192.549904,1,Yes,MY2022-23,TRABUCO,266,583218.274464
L02-641-1,RANCHO SANTA MARGARITA,0.0075,0.050143,0.0075,0.03459867,0.0075,647.9999999999999,NA,NA,NA,NA,NA,647.9999999999999,ORANGE CO,0.587888306,926.34500026,5.44587874,3.809516222879999,3.809516222879999,1,Yes,MY2022-23,TRABUCO,266,1013.3313152860796
L02-641-1,RANCHO SANTA MARGARITA,0.0075,0.050143,0.0075,0.03459867,0.0075,647.9999999999999,NA,NA,NA,NA,NA,647.9999999999999,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402,644.1904835567999,644.1904835567999,1,Yes,MY2022-23,TRABUCO,266,171354.6686261088
J06-9079-1 (J06P03),ALISO VIEJO,0.0283,0.140085,0.036333333333333336,0.09665864999999998,0.036333333333333336,3139.2000000000003,0.0275,NA,2376,NA,NA,2376,ALISO VIEJO,98.05519597,365.7871229,358.6735973,2329.7914562472,2329.7914562472,0.59,Yes,MY2022-23,ELTORO,275,378008.66377610824
L04-266-5,MISSION VIEJO,0.143,0.458897,0.27162643499999994,0.31663893,0.27162643499999994,23468.523983999996,NA,0.3085347222222222,NA,26657.399999999998,25062.961991999997,25062.961991999997,MISSION VIEJO,100,577.85257612,577.853087,25062.961991999997,25062.961991999997,1,Yes,MY2022-23,ELTORO,275,6892314.547799999
J07-9022-1,MISSION VIEJO,0.0035,0.004493,0.0035,0.0031001699999999993,0.0035,302.4,NA,NA,NA,NA,NA,302.4,MISSION VIEJO,100,82.52382766,82.52390061,302.4,302.4,0.7566666666666667,Yes,MY2022-23,ELTORO,275,62924.4
L01-414-3,ORANGE CO,NA,0.232035,NA,0.16010414999999997,0.16010414999999997,13832.998559999998,NA,NA,NA,NA,NA,13832.998559999998,ORANGE CO,100.0000001,86.8482772,86.84835409,13832.998573832996,13832.998573832996,0.75,Yes,MY2022-23,TRABUCO,266,2759683.2154796827
DP04-12015-1,LAGUNA BEACH,0.008,0.010065,0.008,0.006944849999999999,0.008,691.1999999999999,NA,NA,NA,NA,NA,691.1999999999999,LAGUNA BEACH,65.93698008,178.90214373,117.9627752,455.75640631295994,455.75640631295994,0,Yes,MY2022-23,LAGUNABEACH,274,0
DP04-12015-1,LAGUNA BEACH,0.008,0.010065,0.008,0.006944849999999999,0.008,691.1999999999999,NA,NA,NA,NA,NA,691.1999999999999,LAGUNA NIGUEL,33.93511159,178.90214373,60.71069578,234.55949131007998,234.55949131007998,0,Yes,MY2022-23,LAGUNABEACH,274,0
DP04-12015-1,LAGUNA BEACH,0.008,0.010065,0.008,0.006944849999999999,0.008,691.1999999999999,NA,NA,NA,NA,NA,691.1999999999999,ORANGE CO,0.127907549,178.90214373,0.22882955,0.884096978688,0.884096978688,0,Yes,MY2022-23,LAGUNABEACH,274,0
J01-9377-1,LAKE FOREST,0,0.001816,8.100599999999999e-4,0.0012530399999999998,8.100599999999999e-4,69.989184,0.009,NA,777.5999999999999,NA,NA,777.5999999999999,LAKE FOREST,98.07444602,34.4468196,33.78355736,762.6268922515198,762.6268922515198,0.9233333333333333,Unknown,MY2022-23,ELTORO,275,193643.67839086507
J01-9377-1,LAKE FOREST,0,0.001816,8.100599999999999e-4,0.0012530399999999998,8.100599999999999e-4,69.989184,0.009,NA,777.5999999999999,NA,NA,777.5999999999999,MISSION VIEJO,1.925552671,34.4468196,0.663292241,14.973097569695996,14.973097569695996,0.9233333333333333,Unknown,MY2022-23,ELTORO,275,3801.919024571975
L01-726-5,DANA POINT,0.01075,0.015596,0.014,0.01076124,0.014,1209.6,NA,NA,NA,NA,NA,1209.6,DANA POINT,93.73312978,68.90709888,64.58883753,1133.7959378188798,1133.7959378188798,1,Yes,MY2022-23,DANAPOINT,263,298188.3316463654
L01-726-5,DANA POINT,0.01075,0.015596,0.014,0.01076124,0.014,1209.6,NA,NA,NA,NA,NA,1209.6,SAN JUAN CAPISTRANO,6.26686923,68.90709888,4.318321595,75.80405020608,75.80405020608,1,Yes,MY2022-23,DANAPOINT,263,19936.46520419904
I01-11343-2 (I02P18),LAGUNA WOODS,0.0016666666666666668,0.007131,0.0025,0.00492039,0.0025,216,NA,NA,NA,NA,NA,216,LAGUNA WOODS,98.79491313,46.81104081,46.24696799,213.3970123608,213.3970123608,0.77,Yes,MY2022-23,ELTORO,275,45186.8173673994
L03-142-1 (L03P24),RANCHO SANTA MARGARITA,0.0015,0.018174,NA,0.012540059999999999,0.0015,129.6,NA,NA,NA,NA,NA,129.6,ORANGE CO,99.82087577,255.6287671,255.1710996,129.36785499792,129.36785499792,0.77,Unknown,MY2022-23,TRABUCO,266,26497.124060673974
L03-142-1 (L03P24),RANCHO SANTA MARGARITA,0.0015,0.018174,NA,0.012540059999999999,0.0015,129.6,NA,NA,NA,NA,NA,129.6,RANCHO SANTA MARGARITA,0.179123703,255.6287671,0.457892119,0.23214431908799998,0.23214431908799998,0.77,Unknown,MY2022-23,TRABUCO,266,47.547799435604155
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,0.048,0.241467,0.0395,0.16661222999999997,0.0395,3412.8,NA,NA,NA,NA,NA,3412.8,MISSION VIEJO,33.47599172,363.95293383,121.8369617,1142.46864542016,1142.46864542016,0.8466666666666667,Unknown,MY2022-23,TRABUCO,266,257299.17186389232
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,0.048,0.241467,0.0395,0.16661222999999997,0.0395,3412.8,NA,NA,NA,NA,NA,3412.8,RANCHO SANTA MARGARITA,66.5240082,363.95293383,242.1162936,2270.3313518496,2270.3313518496,0.8466666666666667,Unknown,MY2022-23,TRABUCO,266,511308.8915212213
L05-489-3d,ORANGE CO,1.115,1.889189,0.7052765999999999,1.3035404099999999,0.7052765999999999,60935.898239999995,NA,NA,NA,NA,NA,60935.898239999995,ORANGE CO,100,1930.33211516,1930.332115,60935.89823999999,60935.89823999999,1,Yes,MY2022-23,SULPHURCREEK,279,17001115.608959995
M01-042-1 (M01S01),SAN CLEMENTE,0.0015,0.013196,0.0021198700000000003,0.009105239999999999,0.0021198700000000003,183.156768,NA,0.09892013888888888,NA,8546.699999999999,4364.928384,4364.928384,SAN CLEMENTE,100,195.65162657,195.6517995,4364.928384,4364.928384,0.9233333333333333,Yes,MY2022-23,PALISADES,267,1076085.79450752
M01-047-1,SAN CLEMENTE,0.141,0.325881,0.19469999999999998,0.22485788999999998,0.19469999999999998,16822.079999999998,NA,NA,NA,NA,NA,16822.079999999998,SAN CLEMENTE,100,719.38131871,719.3819547,16822.079999999998,16822.079999999998,1,Yes,MY2022-23,PALISADES,267,4491495.359999999
L03-418-8,LAGUNA NIGUEL,0.083,0.142936,0.166735,0.09862583999999999,0.166735,14405.903999999999,NA,0.04486474409235848,NA,3876.313889579773,9141.108944789885,9141.108944789885,LAGUNA NIGUEL,9.876554085,210.54842175,20.79494713,902.8265689009459,902.8265689009459,1,Yes,MY2022-23,SULPHURCREEK,279,251888.61272336388
L03-418-8,LAGUNA NIGUEL,0.083,0.142936,0.166735,0.09862583999999999,0.166735,14405.903999999999,NA,0.04486474409235848,NA,3876.313889579773,9141.108944789885,9141.108944789885,MISSION VIEJO,90.12344547,210.54842175,189.7536598,8238.282335211004,8238.282335211004,1,Yes,MY2022-23,SULPHURCREEK,279,2298480.77152387
L03-172-2,MISSION VIEJO,NA,0.013291,NA,0.00917079,0.00917079,792.3562559999999,NA,NA,NA,NA,NA,792.3562559999999,MISSION VIEJO,100,46.50852925,46.50857036,792.3562559999998,792.3562559999998,0.385,Yes,MY2022-23,TRABUCO,266,81145.20417695997
L04-672-1,MISSION VIEJO,0.0902,0.213365,0.11614316999999999,0.14722185,0.11614316999999999,10034.769887999999,NA,NA,NA,NA,NA,10034.769887999999,MISSION VIEJO,100,NA,NA,10034.769887999999,10034.769887999999,0.8160000000000001,Yes,MY2022-23,ELTORO,275,2251802.3628672
L05-489-3,ORANGE CO,0.34450000000000003,0.807645,0.34450000000000003,0.5572750499999999,0.34450000000000003,29764.800000000003,NA,0.6159429267048611,NA,53217.4688673,41491.134433650004,41491.134433650004,ORANGE CO,100,1832.47249969,1832.47412,41491.134433650004,41491.134433650004,1,Yes,MY2022-23,SULPHURCREEK,279,11576026.50698835
J01-9144-1 (J01P23),LAGUNA NIGUEL,0.0026666666666666666,0.018688,0.003,0.012894719999999998,0.003,259.2,0.004,NA,345.59999999999997,NA,NA,345.59999999999997,ALISO VIEJO,100,175.4581519,175.458307,345.6,345.6,0.885,Yes,MY2022-23,SULPHURCREEK,279,85333.82400000001
L01-766-7,SAN JUAN CAPISTRANO,NA,8.59e-4,NA,5.927099999999999e-4,5.927099999999999e-4,51.210143999999985,NA,NA,NA,NA,NA,51.210143999999985,SAN JUAN CAPISTRANO,100,56.73310957,56.73315973,51.210143999999985,51.210143999999985,0,Unknown,MY2022-23,PALISADES,267,0
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,0.036500000000000005,0.100282,0.035,0.06919457999999999,0.035,3024,NA,0.08014334614430532,NA,6924.38510686798,4974.19255343399,4974.19255343399,ORANGE CO,8.122253812,571.54189287,46.42212422,404.0165442875124,404.0165442875124,1,Yes,MY2022-23,TRABUCO,266,107468.40078047829
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,0.036500000000000005,0.100282,0.035,0.06919457999999999,0.035,3024,NA,0.08014334614430532,NA,6924.38510686798,4974.19255343399,4974.19255343399,RANCHO SANTA MARGARITA,91.87774622,571.54189287,525.1202741,4570.17601073822,4570.17601073822,1,Yes,MY2022-23,TRABUCO,266,1215666.8188563664
L03-316-3 (L03P12),MISSION VIEJO,0.06375,0.2691,0.294253685,0.18567899999999998,0.294253685,25423.518383999995,NA,0.32978081246993285,NA,28493.0621974022,26958.290290701098,26958.290290701098,MISSION VIEJO,99.99999995,361.42380014,361.4241195,26958.290277221953,26958.290277221953,1,Yes,MY2022-23,ELTORO,275,7413529.826236038
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.001,0.009971,0.011355329999999999,0.00687999,0.011355329999999999,981.1005119999998,NA,NA,NA,NA,NA,981.1005119999998,RANCHO SANTA MARGARITA,100,NA,NA,981.1005119999998,981.1005119999998,0.5,Yes,MY2022-23,TRABUCO,266,130486.36809599996
L01-303-4,ORANGE CO,0.013,0.020775,NA,0.014334749999999999,0.013,1123.1999999999998,NA,NA,NA,NA,NA,1123.1999999999998,ORANGE CO,100,NA,NA,1123.1999999999998,1123.1999999999998,0.77,Unknown,MY2022-23,TRABUCO,266,230053.82399999996
J01-9131-1 (J01P28),ALISO VIEJO,0.01225,0.070401,0.03336666666666666,0.04857669,0.03336666666666666,2882.8799999999997,0.015,NA,1295.9999999999998,NA,NA,1295.9999999999998,ALISO VIEJO,100,286.38606854,286.3863217,1295.9999999999998,1295.9999999999998,0.9233333333333333,Yes,MY2022-23,SULPHURCREEK,279,333862.55999999994
L03-708-9,LAGUNA NIGUEL,0.005,0.048275,0.048709514999999995,0.03330975,0.048709514999999995,4208.502096,NA,0.04103472222222222,NA,3545.3999999999996,3876.951048,3876.951048,LAGUNA NIGUEL,100,NA,NA,3876.951048,3876.951048,1,Yes,MY2022-23,SULPHURCREEK,279,1081669.342392
J07-9110-1,MISSION VIEJO,0.001,0.004715,NA,0.0032533499999999995,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,LAKE FOREST,0.19588078,102.11849185,0.200030675,0.16924099392,0.16924099392,0.77,Yes,MY2022-23,ELTORO,275,35.83678046256
J07-9110-1,MISSION VIEJO,0.001,0.004715,NA,0.0032533499999999995,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,MISSION VIEJO,99.80411911,102.11849185,101.9185513,86.23075891104,86.23075891104,0.77,Yes,MY2022-23,ELTORO,275,18259.36319941272
K01-12126-1 (K01S01),DANA POINT,0.122,0.455348,0.1605,0.31419011999999996,0.1605,13867.2,NA,NA,NA,NA,NA,13867.2,DANA POINT,27.17243026,885.25252888,240.5448387,3768.0552490147197,3768.0552490147197,1,Yes,MY2022-23,DANAPOINT,263,990998.5304908713
K01-12126-1 (K01S01),DANA POINT,0.122,0.455348,0.1605,0.31419011999999996,0.1605,13867.2,NA,NA,NA,NA,NA,13867.2,LAGUNA NIGUEL,72.82756974,885.25252888,644.7084728,10099.14475098528,10099.14475098528,1,Yes,MY2022-23,DANAPOINT,263,2656075.0695091286
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,0.093346,0.113951085,0.06440873999999999,0.113951085,9845.373743999999,NA,0.04072199895845022,NA,3518.380710010099,6681.877227005049,6681.877227005049,DANA POINT,36.30009378,283.40904032,102.8778384,2425.527699667296,2425.527699667296,1,Yes,MY2022-23,DANAPOINT,263,637913.7850124988
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,0.093346,0.113951085,0.06440873999999999,0.113951085,9845.373743999999,NA,0.04072199895845022,NA,3518.380710010099,6681.877227005049,6681.877227005049,LAGUNA NIGUEL,25.77911591,283.40904032,73.0604096,1722.5288753135255,1722.5288753135255,1,Yes,MY2022-23,DANAPOINT,263,453025.0942074572
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,0.093346,0.113951085,0.06440873999999999,0.113951085,9845.373743999999,NA,0.04072199895845022,NA,3518.380710010099,6681.877227005049,6681.877227005049,SAN JUAN CAPISTRANO,37.92078556,283.40904032,107.4710295,2533.8203346350588,2533.8203346350588,1,Yes,MY2022-23,DANAPOINT,263,666394.7480090205
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.027,0.166967,0.04487461166666666,0.11520723,0.04487461166666666,3877.166448,0.089,NA,7689.5999999999995,NA,NA,7689.5999999999995,LAGUNA NIGUEL,97.77433651,329.52135056,322.187599,7518.45538027296,7518.45538027296,0.97125,Yes,MY2022-23,SULPHURCREEK,279,2037341.6408771412
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.027,0.166967,0.04487461166666666,0.11520723,0.04487461166666666,3877.166448,0.089,NA,7689.5999999999995,NA,NA,7689.5999999999995,SAN JUAN CAPISTRANO,2.225663378,329.52135056,7.334042507,171.14461111468802,171.14461111468802,0.97125,Yes,MY2022-23,SULPHURCREEK,279,46376.55278909426
L03-708-11 (L03P05),LAGUNA NIGUEL,0.0332,0.133895,0.08651596333333332,0.09238754999999998,0.08651596333333332,7474.979231999999,NA,0.020666666666666667,NA,1785.6000000000001,4630.289615999999,4630.289615999999,LAGUNA HILLS,98.82675596,171.70778799,169.6933866,4575.96501904554,4575.96501904554,1,Yes,MY2022-23,SULPHURCREEK,279,1276694.2403137058
L03-708-11 (L03P05),LAGUNA NIGUEL,0.0332,0.133895,0.08651596333333332,0.09238754999999998,0.08651596333333332,7474.979231999999,NA,0.020666666666666667,NA,1785.6000000000001,4630.289615999999,4630.289615999999,LAGUNA NIGUEL,1.173244193,171.70778799,2.014553432,54.32460403880198,54.32460403880198,1,Yes,MY2022-23,SULPHURCREEK,279,15156.564526825752
LC06-11019-1,LAGUNA BEACH,0.001,0.028496,0.001,0.019662239999999997,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,LAGUNA BEACH,89.62558449,60.81426308,54.50518693,77.43650499935998,77.43650499935998,1,Yes,MY2022-23,LAGUNABEACH,274,21217.602369824635
LC06-11019-1,LAGUNA BEACH,0.001,0.028496,0.001,0.019662239999999997,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,ORANGE CO,9.731511351,60.81426308,5.918152147,8.408025807264,8.408025807264,1,Yes,MY2022-23,LAGUNABEACH,274,2303.799071190336
L01-404-2,ORANGE CO,0.025500000000000002,0.056201,0.024,0.03877869,0.024,2073.6,NA,NA,NA,NA,NA,2073.6,ORANGE CO,100,NA,NA,2073.6,2073.6,0.885,Yes,MY2022-23,TRABUCO,266,488146.176
LC05-11017-2,LAGUNA BEACH,0.002,0.029091,0.0066925,0.020072789999999997,0.0066925,578.232,NA,NA,NA,NA,NA,578.232,LAGUNA BEACH,100,NA,NA,578.232,578.232,0,Yes,MY2022-23,LAGUNABEACH,274,0
M02-032-1,SAN CLEMENTE,NA,0.245958,0.20817184999999996,0.16971102,0.20817184999999996,17986.04784,NA,NA,NA,NA,NA,17986.04784,SAN CLEMENTE,100,130.87560514,130.8757208,17986.04784,17986.04784,1,Yes,MY2022-23,PALISADES,267,4802274.773279999
K01-12036-5,LAGUNA NIGUEL,0.007,0.054304,0.06816095999999999,0.03746976,0.06816095999999999,5889.106943999999,NA,0.06728022225347222,NA,5813.011202699999,5851.059073349999,5851.059073349999,LAGUNA NIGUEL,100,28.07626103,28.07628585,5851.0590733499985,5851.0590733499985,0.5,Yes,MY2022-23,SULPHURCREEK,279,816222.7407323248
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,0.0036,0.021742,0.002,0.01500198,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998,RANCHO SANTA MARGARITA,100,53.98208335,53.98213107,172.8,172.8,0.77,Unknown,MY2022-23,TRABUCO,266,35392.896
L01-766-3,SAN JUAN CAPISTRANO,0.0035,0.00798,0.001,0.005506199999999999,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,SAN JUAN CAPISTRANO,100,369.98019559,369.9805227,86.4,86.4,1,Yes,MY2022-23,PALISADES,267,23068.800000000003
L02-502-5,SAN JUAN CAPISTRANO,0.004,0,0.002,0,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998,SAN JUAN CAPISTRANO,100,NA,NA,172.8,172.8,0.5,Unknown,MY2022-23,SULPHURCREEK,279,24105.600000000002
L05-049-1,ORANGE CO,0.11275,0.996847,0.11353333333333333,0.6878244299999999,0.11353333333333333,9809.28,NA,0.05849384035078685,NA,5053.867806307983,7431.573903153992,7431.573903153992,ORANGE CO,100,478.27356101,478.2739839,7431.573903153992,7431.573903153992,1,Yes,MY2022-23,SULPHURCREEK,279,2073409.118979964
M01-099-1,SAN CLEMENTE,0.0055,0.028528,0.0026282099999999997,0.019684319999999998,0.0026282099999999997,227.07734399999998,NA,NA,NA,NA,NA,227.07734399999998,SAN CLEMENTE,100,NA,NA,227.07734399999998,227.07734399999998,1,Yes,MY2022-23,PALISADES,267,60629.650848
M02-052-4,SAN CLEMENTE,0.004333333333333333,0.041791,0.00919977,0.02883579,0.00919977,794.860128,NA,NA,NA,NA,NA,794.860128,SAN CLEMENTE,100,118.71835525,118.7184602,794.8601279999999,794.8601279999999,1,Yes,MY2022-23,PALISADES,267,212227.65417599998
L01-760-1,ORANGE CO,0.004,0.019203,0.023685664999999995,0.01325007,0.023685664999999995,2046.4414559999993,NA,0.019652279458333335,NA,1697.9569452,1872.1992005999996,1872.1992005999996,ORANGE CO,100,33.51045004,33.51047967,1872.1992005999994,1872.1992005999994,0.385,Yes,MY2022-23,TRABUCO,266,191731.92013344594
L02-374-1 (L02P50),ORANGE CO,0.06166666666666667,0.197378,0.09232750857142857,0.13619082,0.09232750857142857,7977.096740571429,NA,0.07012847222222222,NA,6059.1,7018.098370285715,7018.098370285715,ORANGE CO,100,456.48197184000003,456.4823754,7018.098370285716,7018.098370285716,0.7914285714285715,Yes,MY2022-23,SULPHURCREEK,279,1549656.2752879742
M01-038-6,SAN CLEMENTE,0.0015,0.013791,0.001,0.00951579,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999,SAN CLEMENTE,100,NA,NA,86.4,86.4,0.885,Unknown,MY2022-23,PALISADES,267,20415.888000000003
L01-218-2,RANCHO SANTA MARGARITA,0.0015,0.020075,0.0044776,0.013851749999999998,0.0044776,386.86464,NA,NA,NA,NA,NA,386.86464,RANCHO SANTA MARGARITA,100,32.56312287,32.56315165,386.86464,386.86464,1,Yes,MY2022-23,TRABUCO,266,102905.99424
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,0.0025,0.063607,0.14465504999999998,0.04388883,0.14465504999999998,12498.19632,NA,0.003953206753253942,NA,341.55706348114063,6419.87669174057,6419.87669174057,LAGUNA NIGUEL,100,90.83218137,90.83226167,6419.87669174057,6419.87669174057,0.885,Yes,MY2022-23,SULPHURCREEK,279,1585163.8533411229
