"","Jurisdiction","Inspected","ObsWeather","FacilityID","AvgDischarge","ObsRecordDate","FlowContribution","FlowCondition","PersistentFlow","FlowConnectivity","IDIC","Priority","PrioritizationScore2022","Conductivity","FloatDischargeCFS","VolumeDischargeCFS","LastDischargeTrend","ScourWaterCondition","DissWaterCondition","Comments","TrashCondition","TrashLocation","SampleDry","SampleWet","OCFSLocation","MaintenanceIssue","PointY","PointX"
"29","Dana Point","Verified",1,"L01-727-3",0.007959,2023-05-15,"Small Fraction (<10%)","Flowing","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,1024,,,"Below Average Discharge","Not present","Not present","Difficult to calc cfs","Sparse (<10 Items)","In flow path of outfall",,,,,33.47155114,-117.68013751
"30","Mission Viejo","Verified",1,"L03-172-2",0.013291,2023-07-17,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Overgrown (trees covering outfall access)","Not Present (0 Items)",,,,,"Overgrown",33.65145815,-117.63884529
"31","Mission Viejo","Verified",1,"L03-172-2",0.013291,2023-08-28,,"Flowing","Yes","Undetermined","None","Not A Priority",,842,,,"Below Average Discharge","Not present","Not present","Access to outfall is slightly blocked by tree branches.","Not Present (0 Items)",,,,,"None",33.65145815,-117.63884529
"32","San Juan Capistrano","Verified",1,"L01-749-3",0,2023-06-05,,"Flowing","Unknown",,,"Not A Priority",,,,0.003,"Equal","Not present","Not present","Visual flow inspection- estimating about 1.5 gal/min, could not actually reach flow stream. Flow was consistent with sink faucet flow. Can not reach pipe to collect flow or depth due to large tree fallen on top and many unstable branches covering outfall","Moderate (11-50 Items)","In flow path of outfall",,,,"Overgrown",33.50819651,-117.6389212
"33","San Juan Capistrano","Verified",1,"L01-749-3",0,2023-08-09,"Minor Fraction (10 - 50%)","Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry","Trash","Not A Priority",,,,,"Equal","Not present","Not present","Visual flow inspection- trickle flow; could not actually reach flow stream due to collapsed retaining fence / fallen tree trunk / thick woody debris blocking outfall. Pipe is in good structural condition but is inaccessible due to unstable branches and collapsed tree trunks.","Moderate (11-50 Items)","Within area surrounding outfall",,,,"Damaged",33.50819651,-117.6389212
"34","Orange Co","Verified",1,"L01-340-1",0.051357,2023-06-27,,"Flowing","Yes","Unsafe to Access","None","Priority",39,2569,0.026406,,"Below Average Discharge","Yellow tint",,"Inspection and measurements taken ab 50ft from outfall due to human waste","Sparse (<10 Items)","Within area surrounding outfall","Yes",,1,"Graffiti",33.58696205,-117.59544022
"35","Orange Co","Verified",1,"L01-340-1",0.051357,2023-08-15,"Major Fraction (>50%)","Flowing","Yes","Direct Connection","None","Priority",39,1626,0.048,0.016,"Below Average Discharge","Yellow tint","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall","Yes",,1,"Graffiti",33.58696205,-117.59544022
"36","Dana Point","Verified",1,"DP01-12022-2",0,2023-09-12,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None",,,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"None",33.466503,-117.716091
"37","Dana Point","Verified",1,"DP01-12022-2",0,2023-06-15,,"Dry","Unknown",,,,,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,,33.466503,-117.716091
"38","San Clemente","Verified",1,"M02-015-1",0.020964,2023-05-24,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Brown ""tea"" tint","Brown ""tea"" tint","None","Sparse (<10 Items)","In flow path of outfall",,,,"Graffiti",33.47815722,-117.58324573
"39","San Clemente","Verified",1,"M02-015-1",0.020964,2023-09-01,"Small Fraction (<10%)","Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Brown ""tea"" tint","Not present","A little graffiti inside pipe","Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.47815722,-117.58324573
"40","Laguna Beach","Verified",1,"I01-11077-1",0,2023-07-07,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"Graffiti",33.56321823,-117.76799437
"41","Laguna Beach","Verified",1,"I01-11077-1",0,2023-09-20,,"Dry","Unknown",,"None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"Graffiti",33.56321823,-117.76799437
"42","Mission Viejo","Verified",1,"J07-9022-6",0.001776,2023-08-28,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,,33.628759,-117.66624
"43","Mission Viejo","Verified",1,"J07-9022-6",0.001776,2023-07-27,,"Dry","Unknown",,,,,,,,"Below Average Discharge","Not present","Not present","Something moving in palms","Not Present (0 Items)",,,,,,33.628759,-117.66624
"44","Orange Co","Verified",1,"L01-733-4",0,2023-05-31,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.62235401,-117.57672575
"45","Orange Co","Verified",1,"L01-733-4",0,2023-08-15,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.62235401,-117.57672575
"46","Laguna Beach","Verified",1,"I01-11023-1",0.002155,2023-09-06,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection","None","Priority",43,,,,"Below Average Discharge","Not present","Not present","Insufficient flow for sampling","Not Present (0 Items)",,"Yes",,,,33.54963669,-117.78032617
"47","Laguna Beach","Verified",1,"I01-11023-1",0.002155,2023-06-07,"Small Fraction (<10%)","Other - See Comments","Unknown","Partial - Significant Distance","None","Priority",43,,,,"Below Average Discharge","Not present","Not present","Insuffient flow for sampling, could not reach outfall due to construction, inspection from up top","Not Present (0 Items)",,"Yes",,,"Other - See Comments",33.54963669,-117.78032617
"48","Laguna Beach","Verified",1,"I01-11023-1",0.002155,2023-07-07,"Small Fraction (<10%)","Other - See Comments","Unknown","Partial - Significant Distance",,"Priority",43,,,,"Below Average Discharge","Not present","Not present","damp; evidence of recent flows connected to RW","Not Present (0 Items)",,"Yes",,,"Sediment",33.54963669,-117.78032617
"49","San Clemente","Removed From Inventory",1,"M02-142-1",0,2023-09-01,,,"Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present","Pipe cemented in","Not Present (0 Items)",,,,,,33.43629495,-117.62411754
"50","San Clemente","Removed From Inventory",1,"M02-142-1",0,2023-05-24,,,"Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","No outfall","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.43629495,-117.62411754
"51","Laguna Niguel","Verified",1,"K01-12155-1",0.00044,2023-08-30,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.49919589,-117.72022028
"52","Laguna Niguel","Verified",2,"K01-12155-1",0.00044,2023-06-28,"Small Fraction (<10%)","Flowing","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,822,,,"Below Average Discharge","Not present","Not present","Sparse leaves/ flow trickling -could not float leaf","Not Present (0 Items)",,,,,"Other - See Comments",33.49919589,-117.72022028
"53","San Juan Capistrano","Verified",1,"L03-455-3 (L03P37)",0,2023-08-31,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.53870259,-117.67558208
"54","San Juan Capistrano","Verified",1,"L03-455-3 (L03P37)",0,2023-06-29,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Not Present (0 Items)",,,,,"None",33.53870259,-117.67558208
"55","Mission Viejo","Verified",1,"L03-693-1 (L03P11)",0.114855,2023-05-18,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",55,4180,0.532895,0.032,"Below Average Discharge","Not present","Not present","Tree impeding fencing above outfall","Sparse (<10 Items)","In flow path of outfall",,,1,"Graffiti",33.59775734,-117.65573521
"56","Mission Viejo","Verified",1,"L03-693-1 (L03P11)",0.114855,2023-08-02,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",55,3890,0.112,0.038,"Below Average Discharge","Brown ""tea"" tint","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,1,,33.59775734,-117.65573521
"57","Mission Viejo","Verified",1,"L03-693-1 (L03P11)",0.114855,2022-11-21,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",55,2957,0.043158,,"Below Average Discharge","Not present","Not present","Clear water","Sparse (<10 Items)","In flow path of outfall",,,1,"Graffiti",33.59775734,-117.65573521
"58","Lake Forest","Verified",1,"J01-9259-3",0.00601,2023-09-25,,"Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.62434247,-117.68995504
"59","Lake Forest","Verified",1,"J01-9259-3",0.00601,2023-07-17,"Major Fraction (>50%)","Pooled or Ponded","Yes","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,1630,,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"None",33.62434247,-117.68995504
"60","San Clemente","Verified",1,"SC09-081-2d",0.075564,2023-09-14,,"Flowing","Unknown","Direct Connection",,,,11000,0.1008,0.031,"20% Or More Above Average Discharge","Not present","Not present","1.75 l in 2sec","Not Present (0 Items)",,,,,,33.43542826,-117.63778634
"61","San Clemente","Verified",1,"SC09-081-2d",0.075564,2023-09-07,"Small Fraction (<10%)","Flowing","Unknown","Direct Connection","None",,,9121,0.123457,,"20% Or More Above Average Discharge","Not present","Not present","Receiving water is the ocean. Flow was hard to calculate due to high tide and rocks","Not Present (0 Items)",,,,,"None",33.43542826,-117.63778634
"62","Orange Co","Verified",1,"L02-344-2",0.408144,2023-08-17,,"Pooled or Ponded","Yes",,,,,,,,"Below Average Discharge","Odor","Not present","Duckweed. Deer. Running water back in pipe.  Stagnant at discharge point.",,,,,,,33.59189214,-117.62860278
"63","Orange Co","Verified",1,"L02-344-2",0.408144,2023-06-01,,"Pooled or Ponded","Yes","Unsafe to Access","None",,,,,,"Below Average Discharge","Not present","Not present","vegetation is overgrown. can hear water in the pipe but outfall is ponded. foul smell, greenish gummy water. bird activity","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.59189214,-117.62860278
"64","San Clemente","Verified",1,"M02-052-3",0.100222,2023-06-15,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",48,6171,0.028889,,"Below Average Discharge","Green tint","Green tint",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"Graffiti",33.45125039,-117.60979324
"65","Laguna Niguel","Verified",1,"K01-12032-2 (K01P11)",0.095233,2023-06-28,,"Flowing","Yes","Undetermined","None","Priority",58,1920,0.412639,,"Below Average Discharge","Clear","Clear","Flow meter:  2.15ft/s","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.51685546,-117.71775833
"66","Laguna Niguel","Verified",1,"K01-12032-2 (K01P11)",0.095233,2023-08-30,,"Flowing","Yes","Direct Connection","None","Priority",58,2140,0.053154,,"Below Average Discharge","Not present","Not present","time=2.01 sec; conductivity in uS/cm; temp= 23.6 degrees C","Sparse (<10 Items)","In flow path of outfall",,,,"None",33.51685546,-117.71775833
"67","Laguna Niguel","Verified",1,"K01-12032-2 (K01P11)",0.095233,2023-06-28,"Minor Fraction (10 - 50%)","Flowing","Yes","Undetermined","None","Priority",58,2006,0.260204,,"Below Average Discharge","Odor","Clear",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.51685546,-117.71775833
"68","Orange Co","Verified",1,"L01-517-6",0.02934,2023-08-14,,"Other - See Comments","Unknown",,,,,,,,"Below Average Discharge","Not present","Not present","wildlife sanctuary; inaccessible due to large overgrown vegetation and barbed wire surrounding wildlife sanctuary - also a chain link fence from other side restricts access to outfall; cannot see outfall from road but can see chain link fence surrounding outfall.",,,,,,,33.52411358,-117.61898895
"69","Orange Co","Verified",1,"L01-517-6",0.02934,2023-05-30,,,"Unknown","Undetermined",,,,,,,"Below Average Discharge","Not present","Not present","outfall inaccessible due to a barbed wire fence and another chain link fence on the other side of that. cannot see outfall from road",,,,,,"Overgrown",33.52411358,-117.61898895
"70","San Juan Capistrano","Verified",1,"L01-517-2",0,2023-08-09,"Small Fraction (<10%)","Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"Sediment",33.51860298,-117.62572076
"71","San Juan Capistrano","Verified",1,"L01-517-2",0,2023-06-05,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Moderate (11-50 Items)","In flow path of outfall",,,,,33.51860298,-117.62572076
"72","Laguna Hills","Verified",1,"J05-9255-1 (J05P01)",0,2023-09-27,,,"Yes",,,"Not A Priority",,,,,"Equal","Not present","Not present","Veg overgrown so cannot access and view",,,,,,"Overgrown",33.584603,-117.706386
"73","Laguna Hills","Verified",1,"J05-9255-1 (J05P01)",0,2023-07-27,,,"Yes",,,"Not A Priority",,,,,"Equal","Not present","Not present","Gate locked.  No access.",,,,,,"Overgrown",33.584603,-117.706386
"74","Laguna Hills","Verified",1,"J05-9255-1 (J05P01)",0,2023-08-17,,,"Yes","Undetermined",,"Not A Priority",,,,,"Equal","Not present","Not present","Met with Public Works supervisor and put DA1 lock on gate",,,,,,"Overgrown",33.584603,-117.706386
"75","Mission Viejo","Verified",1,"J07-9110-2",0.012035,2023-08-28,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",45,,,,"20% Or More Above Average Discharge","Not present","Not present","Floating leaf and volumetric not possible due to weak flow",,,,,,,33.6360887,-117.66225214
"76","Mission Viejo","Verified",1,"J07-9110-2",0.012035,2023-07-17,"Small Fraction (<10%)","Pooled or Ponded","Yes","Direct Connection","None","Priority",45,1417,,0,"20% Or More Above Average Discharge","Green tint","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,"None",33.6360887,-117.66225214
"77","Mission Viejo","Verified",1,"J07-9110-2",0.012035,2023-04-26,,"Flowing","Yes",,,"Priority",45,,0.125,,"20% Or More Above Average Discharge","Not present","Not present",,,,,,,,33.6360887,-117.66225214
"78","Aliso Viejo","Verified",1,"J01-9992-1 (J01P27)",0.165159,2023-06-21,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",66,6246,0.046151,0.015,"Below Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","In flow path of outfall","Yes","Yes",1,"Graffiti",33.57325594,-117.71661229
"79","Aliso Viejo","Verified",1,"J01-9992-1 (J01P27)",0.165159,2023-04-26,,"Flowing","Yes",,,"Priority",66,,0.197321,0.023,"Below Average Discharge","Not present","Not present",,,,"Yes","Yes",1,,33.57325594,-117.71661229
"80","Aliso Viejo","Verified",2,"J01-9992-1 (J01P27)",0.165159,2022-11-08,,"Flowing","Yes","Direct Connection","None","Priority",66,425,,,"Below Average Discharge","Not present","Not present","Turbidity: 28.3","Moderate (11-50 Items)","In flow path of outfall","Yes","Yes",1,"None",33.57325594,-117.71661229
"81","Aliso Viejo","Verified",1,"J01-9992-1 (J01P27)",0.165159,2022-11-03,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",66,3731,0.0416,,"Below Average Discharge","Not present","Not present","Flow meter install","Abundant (>50 Items)","In flow path of outfall","Yes","Yes",1,"Graffiti",33.57325594,-117.71661229
"82","Aliso Viejo","Verified",2,"J01-9992-1 (J01P27)",0.165159,2022-11-08,,"Flowing","Yes","Direct Connection",,"Priority",66,1161,0.39,,"Below Average Discharge","Not present","Not present","Turb 13.8 NTU","Sparse (<10 Items)","In flow path of outfall","Yes","Yes",1,,33.57325594,-117.71661229
"83","Aliso Viejo","Verified",2,"J01-9992-1 (J01P27)",0.165159,2022-11-09,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",66,2739,0.066991,,"Below Average Discharge","Not present","Not present","Sampling equipment pickup","Abundant (>50 Items)","Within area surrounding outfall","Yes","Yes",1,"Graffiti",33.57325594,-117.71661229
"84","Aliso Viejo","Verified",1,"J01-9992-1 (J01P27)",0.165159,2023-09-06,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",66,4082,0.087591,,"Below Average Discharge","Green tint","Green tint",,"Moderate (11-50 Items)","In flow path of outfall","Yes","Yes",1,"Graffiti",33.57325594,-117.71661229
"85","Aliso Viejo","Verified",1,"J01-9992-1 (J01P27)",0.165159,2023-09-27,,"Flowing","Yes","Partial - Significant Distance","Other - see comments","Priority",66,4015,,,"Below Average Discharge","Not present","Not present","Cloudy flow and sheen.  City of AV contacted","Abundant (>50 Items)","In flow path of outfall","Yes","Yes",1,,33.57325594,-117.71661229
"86","Dana Point","Verified",1,"SC11-130-2",0.013885,2023-08-03,,"Dry","Unknown",,,,,,,,"Below Average Discharge","Not present","Not present","Outfall completely buried with sand. Signage nearby stating “warning submerged storm drain pipe on beach”",,,,,,,33.455718,-117.669171
"87","Dana Point","Verified",1,"SC11-130-2",0.013885,2023-05-25,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,,33.455718,-117.669171
"88","Rancho Santa Margarita","Verified",1,"L01-125-2",0.021,2023-06-13,,"Flowing","Yes","Direct Connection",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Too overgrown to safely access","Sparse (<10 Items)","Within area surrounding outfall",,,,"Overgrown",33.65543421,-117.55926841
"89","Rancho Santa Margarita","Verified",1,"L01-125-2",0.021,2023-08-10,,"Flowing","Yes","Unsafe to Access",,"Not A Priority",,,,,"Below Average Discharge",,,"Visualized outfall from above to confirm flowing conditions. Unable to access inside of outfall due severely overgrown thick vegetation + collapsed trees + unstable ground",,,,,,"Overgrown",33.65543421,-117.55926841
"90","Laguna Niguel","Verified",1,"K01-12062-1",0.122807,2023-08-31,"Small Fraction (<10%)","Pooled or Ponded","Yes","Direct Connection","Oil sheen","Not A Priority",,,,,"Equal","Not present","Not present",,"Abundant (>50 Items)","In flow path of outfall",,,,"None",33.50914725,-117.69068155
"91","Laguna Niguel","Verified",1,"K01-12062-1",0.122807,2023-06-30,,"Pooled or Ponded","Yes",,,"Not A Priority",,,,,"Equal","Not present","Surface scum","Need key A112","Not Present (0 Items)",,,,,,33.50914725,-117.69068155
