Facility Identifier,Accessibility,GlobalID,Area (Acres),LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
I01-11015-2,Easily accessible,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},245.3779599,Left pipe,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11015,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7815571,33.54790609,Unknown,I01-11015-2,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11015-3,Easily accessible,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},NA,Right pipe,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11015,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7815464,33.54793033,Unknown,I01-11015-3,NA,1,12,0.010879,20% Or More Above Average Discharge,0.0275,8.33E-04,0.15166666,9.06E-04,0.010879,0,NA,NA,NA,NA,NA,NA
I01-11023-1,Easily accessible,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},4.24010907,NA,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11023,I01,1,0,LAGUNA BEACH,SOUTH,2,NA,NA,NA,NA,-117.7803262,33.54963669,Unknown,I01-11023-1,NA,1,8,3.00E-05,Below Average Discharge,0.43125,0.007,11.625,0.002155,0.007917,0,43,NA,NA,1,NA,NA
I01-11023-2,Easily accessible,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},16.81555601,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11023,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7795866,33.55023025,Unknown,I01-11023-2,NA,1,10,0,Below Average Discharge,0.025,0.001,0.732,2.04E-04,0.002049,0,NA,NA,NA,NA,NA,NA
I01-11023-3,Easily accessible,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},36.18156164,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11023,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7789163,33.55073178,Unknown,I01-11023-3,NA,1,12,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11023-4,Easily accessible,{4299039A-0613-47FF-B808-7CF8CD065E00},6.44034236,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11023,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7782698,33.55119472,Unknown,I01-11023-4,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11023-5,Easily accessible,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},12.44670623,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11023,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7782669,33.55124303,Unknown,I01-11023-5,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11059-1,Easily accessible,{C71E52F8-AC08-4469-BA89-8E02697C744D},282.4436509,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11059,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7755089,33.55357149,Unknown,I01-11059-1,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11059-2,Easily accessible,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},9.28778099,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11059,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7754408,33.5535769,Unknown,I01-11059-2,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11059-3,Easily accessible,{DB859266-5BF1-4E9B-91AB-9674CD92B469},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11059,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7753481,33.55369586,Unknown,I01-11059-3,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11065-1,Easily accessible,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11065,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7731408,33.55771802,Unknown,I01-11065-1,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11077-1,Easily accessible,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},118.0541139,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,96,36,11077,I01,1,1,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7679944,33.56321823,Unknown,I01-11077-1,NA,1,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11077-2,Easily accessible,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},NA,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11077,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7678685,33.56314232,Unknown,I01-11077-2,NA,1,12,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11093-1,Easily accessible,{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},87.63278849,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11093,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7725813,33.5586741,Unknown,I01-11093-1,NA,1,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11093-2,Easily accessible,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},296.7809007,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11093,I01,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7697325,33.56267164,Unknown,I01-11093-2,NA,1,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11195-2,Difficult accessibility,{86E3548C-66A9-4F7B-BC80-1C6D6520BA51},NA,NA,NA,2022-10-04T23:20:41Z,OCENVRESUSER,NA,NA,11195,I01,1,2,ALISO VIEJO,SOUTH,2,NA,NA,NA,NA,-117.7515792,33.58990998,Yes,I01-11195-2,NA,2,4,0.347712,Above Average Discharge,1.85,0.106675,3.7825,0.325428,0.5175,0.18,55,NA,NA,NA,NA,NA
I01-11216-1 (I02P13),Easily accessible,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},231.3139001,I02P13,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11216,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7472414,33.59874987,Yes,I01-11216-1 (I02P13),NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-2 (I02P12),Easily accessible,{3E6152B4-AA12-4483-A315-F2A09982301C},NA,I02P12,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11216,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7472017,33.59875002,Yes,I01-11216-2 (I02P12),NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-3,Easily accessible,{DB80E054-4D2C-4D53-8065-26F13D35FE95},4.87418855,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11216,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7470641,33.59871601,Yes,I01-11216-3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-4 (I02P14),Easily accessible,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},66.5562155,I02P14,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11216,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7462112,33.59823241,Yes,I01-11216-4 (I02P14),NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11217-1,Easily accessible,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},35.66443538,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11217,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7462887,33.59737837,Unknown,I01-11217-1,NA,1,9,0,Below Average Discharge,0.17777777,0.005,6.33333333,0.001777,0.009,0,NA,NA,NA,NA,NA,NA
I01-11343-1,Difficult accessibility,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},33.3408069,Laguna Coast Wilderness Park below Bahia Blanca,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11343,I01,1,0,LAGUNA WOODS,SOUTH,1,NA,NA,NA,NA,-117.7552383,33.61120531,Yes,I01-11343-1,NA,2,2,0,Equal,0,0,0,0,0,0,NA,NA,NA,1,NA,NA
I01-11343-2 (I02P18),Difficult accessibility,{9A50D575-FFD5-41A9-B523-61D9221779CD},46.81104081,I02P18 Bahia Blanca ,48,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11343,I01,1,0,LAGUNA WOODS,SOUTH,1,NA,NA,NA,NA,-117.7539721,33.61211013,Yes,I01-11343-2 (I02P18),NA,2,13,0.006,Below Average Discharge,0.59076923,0.02423076,22.12307692,0.007131,0.04,3.57E-04,NA,NA,NA,1,NA,NA
I01-11487-1,Easily accessible,{5950041F-4A9F-49ED-994B-C50CD46C105C},5606.221578,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,12,62,11487,I01,1,1,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7852577,33.54221573,Unknown,I01-11487-1,NA,1,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11487-2,Easily accessible,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},134.7247304,NA,48,2022-10-04T00:12:00Z,OCENVRESUSER,NA,NA,11487,I01,1,0,LAGUNA BEACH,SOUTH,1,3,NA,NA,NA,-117.7835203,33.54099301,Yes,I01-11487-2,NA,1,9,0,Below Average Discharge,0.11666666,0.00444444,1.05555555,0.008375,0.072,0,NA,NA,NA,NA,NA,NA
I01-11502-1,Easily accessible,{C081E89B-5CDA-439B-97FB-CCA6D19E46F4},25.92502892,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11502,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7484889,33.59564552,Unknown,I01-11502-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11503-3,Easily accessible,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},90.98036764,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11503,I01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7493187,33.5934822,Yes,I01-11503-3,NA,1,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
I01-11503-5,Easily accessible,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},NA,ds of Bells Vireo,36,2022-10-04T23:20:34Z,OCENVRESUSER,NA,NA,NA,NA,1,0,ALISO VIEJO,SOUTH,NA,NA,NA,NA,NA,-117.7495222,33.59354235,Yes,I01-11503-5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J01-10004-1 (J01P01),Easily accessible,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},479.8877595,Munger - Trabuco Rd and El Toro Rd,96,2022-10-05T20:57:52Z,OCENVRESUSER,5.5,9,10004,J01,1,1,LAKE FOREST,SOUTH,2,3,2016-07-19T07:00:00Z,2016-08-02T07:00:00Z,NA,-117.6769005,33.63341124,Yes,J01-10004-1 (J01P01),NA,1,22,0.155063,Below Average Discharge,3.67772727,0.36272727,27.4240909,0.317684,1.766091,0.113333,85,NA,NA,1,NA,NA
J01-10004-2,Easily accessible,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},11.76218814,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10004,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6746996,33.63406841,Unknown,J01-10004-2,NA,1,7,0.00128,20% Or More Above Average Discharge,0.14857142,0.00714285,18,7.54E-04,0.004,0,NA,NA,NA,NA,NA,NA
J01-10006-1,Easily accessible,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},23.20308578,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10006,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6836706,33.62836754,Yes,J01-10006-1,NA,1,2,0,Equal,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
J01-10012-3,Easily accessible,{0E023D41-5A3C-41F1-98C3-7CA73337F6D9},31.14614857,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10012,J01,1,0,MISSION VIEJO,SOUTH,1,NA,NA,NA,NA,-117.6269624,33.66921793,Unknown,J01-10012-3,NA,1,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
J01-10017-1 (J01TBN4),Easily accessible,{3A09A49C-9DAA-4A66-898F-7D6115463F96},17.42256719,J01TBN4,48,2022-10-04T00:13:38Z,OCENVRESUSER,NA,NA,10017,J01,1,0,ALISO VIEJO,SOUTH,2,NA,NA,NA,NA,-117.7170737,33.57090835,Yes,J01-10017-1 (J01TBN4),NA,1,16,0.046667,20% Or More Above Average Discharge,1.109375,0.05306875,26.933125,0.016909,0.046667,0.005143,43,NA,NA,NA,NA,NA
J01-10019-1 (J01P33),Difficult accessibility,{65AB7468-482A-4869-8212-F73F5CC03224},72.93906351,J01P33,42,2022-10-04T00:13:45Z,OCENVRESUSER,NA,NA,10019,J01,1,0,ALISO VIEJO,SOUTH,2,NA,NA,NA,NA,-117.7184508,33.56456651,Yes,J01-10019-1 (J01P33),NA,2,14,0.0096,20% Or More Above Average Discharge,0.38042857,0.02074285,11.58214285,0.007265,0.025714,6.00E-04,27,NA,NA,NA,NA,NA
J01-10041-2 (J03P13),Easily accessible,{30268716-5276-44DF-9485-87949570FB12},374.6943268,J03P13,NA,2022-10-04T00:13:51Z,OCENVRESUSER,72,72,10041,J01,1,1,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.7088295,33.55263878,Yes,J01-10041-2 (J03P13),NA,1,2,4.8,20% Or More Above Average Discharge,6.25,0.415,7.5,2.4525,4.8,0.105,53,NA,NA,NA,NA,NA
J01-9005-1 (J03P05),Easily accessible,{BEADF14B-536C-491F-AF1C-E6C6959F66BD},127.7904415,J03P05,54,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9005,J01,1,0,LAGUNA NIGUEL,SOUTH,2,3,2016-07-12T07:00:00Z,2016-07-26T07:00:00Z,NA,-117.7041702,33.53991146,Yes,J01-9005-1 (J03P05),NA,1,18,0.04,Above Average Discharge,1.01366666,0.08721761,6.29055555,0.034405,0.09,0.0129,57,NA,NA,NA,NA,1
J01-9005-3,Easily accessible,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},201.8906379,Connection to Niguel Lake via 3 CMPs,NA,2022-10-04T00:14:00Z,OCENVRESUSER,72,72,9005,J01,1,1,LAGUNA NIGUEL,SOUTH,2,NA,NA,NA,NA,-117.7030442,33.5461744,Yes,J01-9005-3,NA,1,6,0.613233,20% Or More Above Average Discharge,3.14666666,0.28333333,31.54,0.303774,0.64,0.07125,52,NA,NA,NA,NA,NA
J01-9007-1 (J02P05),Easily accessible,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},145.6125777,J02P05.  Border of Aliso and Wood Canyons Park and Crimson Cyn,66,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9007,J01,1,0,ALISO VIEJO,SOUTH,2,3,2016-06-09T07:00:00Z,2016-06-24T07:00:00Z,NA,-117.7378266,33.55864514,Yes,J01-9007-1 (J02P05),NA,1,23,0.097959,Below Average Discharge,0.87847826,0.05046739,3.21565217,0.101998,0.237944,0.012925,49,NA,NA,1,NA,1
J01-9008-1 (J01P30),Easily accessible,{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},211.5720904,J01P30,84,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9008,J01,1,0,ALISO VIEJO,SOUTH,2,3,2016-09-27T07:00:00Z,2016-11-16T08:00:00Z,NA,-117.7133093,33.57677172,Yes,J01-9008-1 (J01P30),NA,1,20,0.082143,20% Or More Above Average Discharge,1.92725,0.101,22.3725,0.05744,0.131461,0.008506,62,NA,NA,NA,NA,1
J01-9031-1,Difficult accessibility,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},298.9594232,Daylight of Glass Creek,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9031,J01,1,0,LAKE FOREST,SOUTH,2,NA,NA,NA,NA,-117.6388505,33.67284809,Unknown,J01-9031-1,NA,2,3,0.048,20% Or More Above Average Discharge,0.66666666,0.03333333,5,0.037166,0.056,0.0075,50,NA,NA,1,NA,NA
J01-9033-1,Easily accessible,{82959DB9-0482-452E-8715-E1BA44BC8E44},41.10421176,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9033,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6262793,33.67101354,Yes,J01-9033-1,NA,1,8,0.025,20% Or More Above Average Discharge,0.4875,0.013125,7.965,0.007282,0.025,0,NA,NA,NA,NA,NA,NA
J01-9040-1,Easily accessible,{7E5CB88D-6665-452A-804A-655CBEAB830F},146.1265793,NA,66,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9040,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.623537,33.678031,Yes,J01-9040-1,NA,1,4,0.061875,Below Average Discharge,3.7875,2.9625,325.51,0.352755,0.867895,0,NA,NA,NA,NA,NA,NA
J01-9046-1,Easily accessible,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},65.72077069,"Normandale - 30"" drain",24,2022-10-04T23:29:24Z,OCENVRESUSER,NA,NA,9046,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.6597977,33.65453345,Unknown,J01-9046-1,NA,1,12,0.00383,Below Average Discharge,0.30916666,0.01105033,5.39166666,0.004585,0.0246,0,NA,NA,NA,NA,NA,NA
J01-9046-2,Easily accessible,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},46.36377902,J01-Normandale,42,2022-10-05T21:17:43Z,OCENVRESUSER,NA,NA,9046,J01,1,0,LAKE FOREST,SOUTH,1,3,2016-12-12T00:00:00Z,2017-01-26T00:00:00Z,NA,-117.6596867,33.65446074,Unknown,J01-9046-2,NA,1,14,0,Below Average Discharge,0.4725,0.03347171,7.32571428,0.099449,1.227273,0,NA,NA,NA,NA,1,NA
J01-9046-3,Easily accessible,{C52723D5-88DF-4B27-A94D-AEE8BFE85FDF},15.52791748,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9046,J01,1,0,LAKE FOREST,SOUTH,1,NA,NA,NA,NA,-117.659418,33.65614256,Yes,J01-9046-3,NA,1,10,0.024,20% Or More Above Average Discharge,0.287,0.01,5.1,0.004993,0.024,0,NA,NA,NA,NA,NA,NA
J01-9066-1 (J01P04),Easily accessible,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},82.12170635,NA,36,2022-10-04T00:14:35Z,OCENVRESUSER,NA,NA,9066,J01,1,0,MISSION VIEJO,SOUTH,2,NA,NA,NA,NA,-117.6928876,33.6093405,Yes,J01-9066-1 (J01P04),NA,1,15,0.007749,Below Average Discharge,0.79466666,0.02812886,12.714,0.015405,0.052,1.95E-04,41,NA,NA,NA,NA,NA
J01-9066-2 (J01P03),Easily accessible,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},420.3493093,J01P03,81,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9066,J01,1,0,MISSION VIEJO,SOUTH,2,3,2016-07-27T07:00:00Z,2016-08-11T07:00:00Z,NA,-117.6927683,33.61059435,Yes,J01-9066-2 (J01P03),NA,1,25,0.019033,Below Average Discharge,1.0658,0.05233732,4.5408,0.083379,0.365414,0.014375,64,NA,NA,NA,NA,1
J01-9082-2,Easily accessible,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},124.6607607,Wood Canyon Wetland - Canyonview Park,72,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9082,J01,1,0,ALISO VIEJO,SOUTH,2,3,2016-06-09T07:00:00Z,2016-06-24T07:00:00Z,NA,-117.7457601,33.5815891,Yes,J01-9082-2,NA,1,26,0.153191,Below Average Discharge,1.36838461,0.12585269,7.30230769,0.170103,0.872354,0.0132,57,NA,NA,1,NA,1
J01-9082-3,Easily accessible,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},124.6607607,NA,48,2022-10-03T23:32:14Z,OCENVRESUSER,NA,NA,9082,J01,1,0,ALISO VIEJO,SOUTH,1,NA,NA,NA,NA,-117.7457369,33.58158523,Unknown,J01-9082-3,NA,1,17,0,Below Average Discharge,0.0617647,0.00264705,0.19411764,0.005053,0.085909,0,NA,NA,NA,NA,NA,NA
