Time,L04_672_1,L04_672_1
5/3/2023 4:55,0.02,0.023
5/3/2023 5:00,0.021,0.025
5/3/2023 5:05,0.019,0.022
5/3/2023 5:10,0.019,0.02
5/3/2023 5:15,0.013,0.01
5/3/2023 5:20,0.017,0.017
5/3/2023 5:25,0.017,0.016
5/3/2023 5:30,0.017,0.016
5/3/2023 5:35,0.02,0.023
5/3/2023 5:40,0.015,0.013
5/3/2023 5:45,0.018,0.019
5/3/2023 5:50,0.017,0.017
5/3/2023 5:55,0.022,0.029
5/3/2023 6:00,0.022,0.028
5/3/2023 6:05,0.019,0.021
5/3/2023 6:10,0.018,0.019
5/3/2023 6:15,0.018,0.018
5/3/2023 6:20,0.016,0.014
5/3/2023 6:25,0.017,0.016
5/3/2023 6:30,0.014,0.01
5/3/2023 6:35,0.016,0.014
5/3/2023 6:40,0.019,0.02
5/3/2023 6:45,0.019,0.022
5/3/2023 6:50,0.016,0.014
5/3/2023 6:55,0.017,0.016
5/3/2023 7:00,0.021,0.025
5/3/2023 7:05,0.025,0.037
5/3/2023 7:10,0.021,0.026
5/3/2023 7:15,0.021,0.025
5/3/2023 7:20,0.021,0.027
5/3/2023 7:25,0.022,0.029
5/3/2023 7:30,0.022,0.029
5/3/2023 7:35,0.023,0.03
5/3/2023 7:40,0.027,0.044
5/3/2023 7:45,0.023,0.032
5/3/2023 7:50,0.023,0.033
5/3/2023 7:55,0.023,0.03
5/3/2023 8:00,0.029,0.052
5/3/2023 8:05,0.023,0.03
5/3/2023 8:10,0.034,0.075
5/3/2023 8:15,0.029,0.051
5/3/2023 8:20,0.033,0.069
5/3/2023 8:25,0.041,0.108
5/3/2023 8:30,0.048,0.154
5/3/2023 8:35,0.049,0.164
5/3/2023 8:40,0.039,0.1
5/3/2023 8:45,0.027,0.045
5/3/2023 8:50,0.033,0.068
5/3/2023 8:55,0.043,0.121
5/3/2023 9:00,0.046,0.143
5/3/2023 9:05,0.046,0.143
5/3/2023 9:10,0.024,0.036
5/3/2023 9:15,0.026,0.042
5/3/2023 9:20,0.03,0.054
5/3/2023 9:25,0.025,0.038
5/3/2023 9:30,0.034,0.074
5/3/2023 9:35,0.037,0.088
5/3/2023 9:40,0.039,0.098
5/3/2023 9:45,0.03,0.054
5/3/2023 9:50,0.035,0.081
5/3/2023 9:55,0.031,0.061
5/3/2023 10:00,0.035,0.077
5/3/2023 10:05,0.037,0.091
5/3/2023 10:10,0.035,0.078
5/3/2023 10:15,0.036,0.084
5/3/2023 10:20,0.034,0.073
5/3/2023 10:25,0.036,0.082
5/3/2023 10:30,0.042,0.118
5/3/2023 10:35,0.037,0.086
5/3/2023 10:40,0.04,0.103
5/3/2023 10:45,0.046,0.145
5/3/2023 10:50,0.034,0.075
5/3/2023 10:55,0.039,0.101
5/3/2023 11:00,0.039,0.101
5/3/2023 11:05,0.035,0.078
5/3/2023 11:10,0.038,0.095
5/3/2023 11:15,0.044,0.126
5/3/2023 11:20,0.042,0.114
5/3/2023 11:25,0.04,0.103
5/3/2023 11:30,0.042,0.118
5/3/2023 11:35,0.046,0.141
5/3/2023 11:40,0.044,0.126
5/3/2023 11:45,0.034,0.075
5/3/2023 11:50,0.038,0.092
5/3/2023 11:55,0.037,0.086
5/3/2023 12:00,0.039,0.1
5/3/2023 12:05,0.031,0.059
5/3/2023 12:10,0.033,0.068
5/3/2023 12:15,0.035,0.079
5/3/2023 12:20,0.037,0.091
5/3/2023 12:25,0.038,0.092
5/3/2023 12:30,0.04,0.106
5/3/2023 12:35,0.036,0.084
5/3/2023 12:40,0.037,0.088
5/3/2023 12:45,0.042,0.116
5/3/2023 12:50,0.038,0.092
5/3/2023 12:55,0.032,0.063
5/3/2023 13:00,0.035,0.079
5/3/2023 13:05,0.036,0.085
5/3/2023 13:10,0.042,0.116
5/3/2023 13:15,0.041,0.113
5/3/2023 13:20,0.032,0.065
5/3/2023 13:25,0.042,0.118
5/3/2023 13:30,0.037,0.089
5/3/2023 13:35,0.041,0.111
5/3/2023 13:40,0.03,0.058
5/3/2023 13:45,0.041,0.109
5/3/2023 13:50,0.041,0.113
5/3/2023 13:55,0.051,0.175
5/3/2023 14:00,0.046,0.143
5/3/2023 14:05,0.033,0.069
5/3/2023 14:10,0.045,0.132
5/3/2023 14:15,0.035,0.078
5/3/2023 14:20,0.041,0.109
5/3/2023 14:25,0.037,0.088
5/3/2023 14:30,0.037,0.086
5/3/2023 14:35,0.038,0.094
5/3/2023 14:40,0.045,0.134
5/3/2023 14:45,0.037,0.089
5/3/2023 14:50,0.039,0.098
5/3/2023 14:55,0.036,0.085
5/3/2023 15:00,0.036,0.082
5/3/2023 15:05,0.034,0.073
5/3/2023 15:10,0.033,0.069
5/3/2023 15:15,0.04,0.103
5/3/2023 15:20,0.033,0.069
5/3/2023 15:25,0.028,0.049
5/3/2023 15:30,0.028,0.049
5/3/2023 15:35,0.027,0.046
5/3/2023 15:40,0.032,0.063
5/3/2023 15:45,0.031,0.059
5/3/2023 15:50,0.028,0.05
5/3/2023 15:55,0.034,0.075
5/3/2023 16:00,0.027,0.046
5/3/2023 16:05,0.035,0.079
5/3/2023 16:10,0.027,0.045
5/3/2023 16:15,0.032,0.064
5/3/2023 16:20,0.024,0.036
5/3/2023 16:25,0.032,0.066
5/3/2023 16:30,0.028,0.049
5/3/2023 16:35,0.027,0.046
5/3/2023 16:40,0.035,0.079
5/3/2023 16:45,0.034,0.073
5/3/2023 16:50,0.035,0.077
5/3/2023 16:55,0.035,0.079
5/3/2023 17:00,0.032,0.065
5/3/2023 17:05,0.024,0.036
5/3/2023 17:10,0.028,0.047
5/3/2023 17:15,0.028,0.049
5/3/2023 17:20,0.031,0.059
5/3/2023 17:25,0.026,0.041
5/3/2023 17:30,0.029,0.052
5/3/2023 17:35,0.022,0.028
5/3/2023 17:40,0.029,0.051
5/3/2023 17:45,0.025,0.038
5/3/2023 17:50,0.017,0.017
5/3/2023 17:55,0.023,0.032
5/3/2023 18:00,0.023,0.033
5/3/2023 18:05,0.024,0.036
5/3/2023 18:10,0.019,0.021
5/3/2023 18:15,0.024,0.034
5/3/2023 18:20,0.022,0.029
5/3/2023 18:25,0.019,0.02
5/3/2023 18:30,0.021,0.025
5/3/2023 18:35,0.024,0.034
5/3/2023 18:40,0.015,0.012
5/3/2023 18:45,0.016,0.014
5/3/2023 18:50,0.017,0.017
5/3/2023 18:55,0.019,0.021
5/3/2023 19:00,0.028,0.048
5/3/2023 19:05,0.022,0.028
5/3/2023 19:10,0.025,0.038
5/3/2023 19:15,0.04,0.103
5/3/2023 19:20,0.025,0.039
5/3/2023 19:25,0.021,0.026
5/3/2023 19:30,0.018,0.019
5/3/2023 19:35,0.021,0.025
5/3/2023 19:40,0.019,0.021
5/3/2023 19:45,0.021,0.025
5/3/2023 19:50,0.023,0.03
5/3/2023 19:55,0.019,0.021
5/3/2023 20:00,0.015,0.013
5/3/2023 20:05,0.013,0.009
5/3/2023 20:10,0.02,0.023
5/3/2023 20:15,0.022,0.028
5/3/2023 20:20,0.02,0.023
5/3/2023 20:25,0.024,0.034
5/3/2023 20:30,0.023,0.031
5/3/2023 20:35,0.019,0.02
5/3/2023 20:40,0.021,0.027
5/3/2023 20:45,0.02,0.023
5/3/2023 20:50,0.023,0.03
5/3/2023 20:55,0.022,0.029
5/3/2023 21:00,0.02,0.024
5/3/2023 21:05,0.019,0.02
5/3/2023 21:10,0.022,0.029
5/3/2023 21:15,0.018,0.018
5/3/2023 21:20,0.027,0.046
5/3/2023 21:25,0.027,0.046
5/3/2023 21:30,0.028,0.047
5/3/2023 21:35,0.025,0.039
5/3/2023 21:40,0.029,0.052
5/3/2023 21:45,0.023,0.033
5/3/2023 21:50,0.026,0.04
5/3/2023 21:55,0.03,0.058
5/3/2023 22:00,0.043,0.119
5/3/2023 22:05,0.053,0.19
5/3/2023 22:10,0.062,0.272
5/3/2023 22:15,0.076,0.42
5/3/2023 22:20,0.055,0.21
5/3/2023 22:25,0.045,0.134
5/3/2023 22:30,0.043,0.119
5/3/2023 22:35,0.04,0.105
5/3/2023 22:40,0.036,0.082
5/3/2023 22:45,0.037,0.088
5/3/2023 22:50,0.034,0.074
5/3/2023 22:55,0.029,0.053
5/3/2023 23:00,0.027,0.044
5/3/2023 23:05,0.027,0.045
5/3/2023 23:10,0.022,0.029
5/3/2023 23:15,0.021,0.027
5/3/2023 23:20,0.022,0.028
5/3/2023 23:25,0.018,0.019
5/3/2023 23:30,0.021,0.025
5/3/2023 23:35,0.018,0.018
5/3/2023 23:40,0.031,0.06
5/3/2023 23:45,0.016,0.015
5/3/2023 23:50,0.016,0.014
5/3/2023 23:55,0.016,0.015
5/4/2023 0:00,0.016,0.014
5/4/2023 0:05,0.016,0.015
5/4/2023 0:10,0.017,0.016
5/4/2023 0:15,0.023,0.032
5/4/2023 0:20,0.023,0.032
5/4/2023 0:25,0.021,0.027
5/4/2023 0:30,0.015,0.012
5/4/2023 0:35,0.014,0.011
5/4/2023 0:40,0.017,0.016
5/4/2023 0:45,0.015,0.013
5/4/2023 0:50,0.014,0.011
5/4/2023 0:55,0.013,0.009
5/4/2023 1:00,0.014,0.011
5/4/2023 1:05,0.016,0.014
5/4/2023 1:10,0.017,0.016
5/4/2023 1:15,0.015,0.013
5/4/2023 1:20,0.013,0.009
5/4/2023 1:25,0.018,0.018
5/4/2023 1:30,0.021,0.025
5/4/2023 1:35,0.017,0.017
5/4/2023 1:40,0.017,0.016
5/4/2023 1:45,0.021,0.025
5/4/2023 1:50,0.022,0.029
5/4/2023 1:55,0.025,0.039
5/4/2023 2:00,0.016,0.014
5/4/2023 2:05,0.017,0.016
5/4/2023 2:10,0.018,0.019
5/4/2023 2:15,0.02,0.023
5/4/2023 2:20,0.008,0.004
5/4/2023 2:25,0.015,0.013
5/4/2023 2:30,0.016,0.014
5/4/2023 2:35,0.018,0.018
5/4/2023 2:40,0.056,0.219
5/4/2023 2:45,0.16,2.07
5/4/2023 2:50,0.4,14.8
5/4/2023 2:55,0.416,16.1
5/4/2023 3:00,0.347,10.9
5/4/2023 3:05,0.384,13.6
5/4/2023 3:10,0.398,14.6
5/4/2023 3:15,0.473,21.1
5/4/2023 3:20,0.493,23.1
5/4/2023 3:25,0.507,24.5
5/4/2023 3:30,0.675,44.7
5/4/2023 3:35,0.592,34
5/4/2023 3:40,0.434,17.6
5/4/2023 3:45,0.356,11.5
5/4/2023 3:50,0.306,8.39
5/4/2023 3:55,0.267,6.25
5/4/2023 4:00,0.222,4.22
5/4/2023 4:05,0.183,2.79
5/4/2023 4:10,0.176,2.55
5/4/2023 4:15,0.138,1.51
5/4/2023 4:20,0.131,1.34
5/4/2023 4:25,0.117,1.06
5/4/2023 4:30,0.113,0.981
5/4/2023 4:35,0.096,0.686
5/4/2023 4:40,0.089,0.59
5/4/2023 4:45,0.097,0.708
5/4/2023 4:50,0.123,1.19
5/4/2023 4:55,0.139,1.55
5/4/2023 5:00,0.149,1.78
5/4/2023 5:05,0.161,2.12
5/4/2023 5:10,0.143,1.64
5/4/2023 5:15,0.155,1.96
5/4/2023 5:20,0.121,1.14
5/4/2023 5:25,0.11,0.934
5/4/2023 5:30,0.122,1.16
5/4/2023 5:35,0.321,9.26
5/4/2023 5:40,1.03,108
5/4/2023 5:45,1.68,286
5/4/2023 5:50,1.79,325
5/4/2023 5:55,1.51,233
5/4/2023 6:00,1.22,150
5/4/2023 6:05,0.85,72.3
5/4/2023 6:10,0.641,40
5/4/2023 6:15,0.518,25.6
5/4/2023 6:20,0.461,20
5/4/2023 6:25,0.499,23.6
5/4/2023 6:30,0.797,63.2
5/4/2023 6:35,0.769,58.7
5/4/2023 6:40,0.684,45.9
5/4/2023 6:45,0.541,28.1
5/4/2023 6:50,0.473,21.1
5/4/2023 6:55,0.427,17
5/4/2023 7:00,0.381,13.3
5/4/2023 7:05,0.302,8.12
5/4/2023 7:10,0.261,5.96
5/4/2023 7:15,0.235,4.76
5/4/2023 7:20,0.191,3.04
5/4/2023 7:25,0.179,2.65
5/4/2023 7:30,0.179,2.66
5/4/2023 7:35,0.158,2.04
5/4/2023 7:40,0.149,1.78
5/4/2023 7:45,0.141,1.59
5/4/2023 7:50,0.115,1.02
5/4/2023 7:55,0.121,1.14
5/4/2023 8:00,0.109,0.913
5/4/2023 8:05,0.107,0.873
5/4/2023 8:10,0.098,0.717
5/4/2023 8:15,0.101,0.777
5/4/2023 8:20,0.101,0.767
5/4/2023 8:25,0.089,0.582
5/4/2023 8:30,0.089,0.594
5/4/2023 8:35,0.085,0.539
5/4/2023 8:40,0.101,0.772
5/4/2023 8:45,0.098,0.717
5/4/2023 8:50,0.102,0.795
5/4/2023 8:55,0.09,0.602
5/4/2023 9:00,0.09,0.606
5/4/2023 9:05,0.151,1.84
5/4/2023 9:10,0.078,0.44
5/4/2023 9:15,0.078,0.44
5/4/2023 9:20,0.067,0.317
5/4/2023 9:25,0.076,0.417
5/4/2023 9:30,0.082,0.497
5/4/2023 9:35,0.082,0.494
5/4/2023 9:40,0.079,0.461
5/4/2023 9:45,0.08,0.472
5/4/2023 9:50,0.066,0.311
5/4/2023 9:55,0.06,0.254
5/4/2023 10:00,0.062,0.267
5/4/2023 10:05,0.061,0.264
5/4/2023 10:10,0.059,0.244
5/4/2023 10:15,0.052,0.185
5/4/2023 10:20,0.054,0.201
5/4/2023 10:25,0.058,0.234
5/4/2023 10:30,0.052,0.185
5/4/2023 10:35,0.058,0.236
5/4/2023 10:40,0.049,0.164
5/4/2023 10:45,0.05,0.166
5/4/2023 10:50,0.051,0.175
5/4/2023 10:55,0.043,0.119
5/4/2023 11:00,0.049,0.162
5/4/2023 11:05,0.043,0.123
5/4/2023 11:10,0.043,0.121
5/4/2023 11:15,0.049,0.16
5/4/2023 11:20,0.047,0.149
5/4/2023 11:25,0.048,0.154
5/4/2023 11:30,0.049,0.16
5/4/2023 11:35,0.045,0.132
5/4/2023 11:40,0.048,0.158
5/4/2023 11:45,0.041,0.113
5/4/2023 11:50,0.044,0.13
5/4/2023 11:55,0.038,0.095
5/4/2023 12:00,0.044,0.128
5/4/2023 12:05,0.044,0.128
5/4/2023 12:10,0.042,0.118
5/4/2023 12:15,0.046,0.139
5/4/2023 12:20,0.037,0.089
5/4/2023 12:25,0.044,0.126
5/4/2023 12:30,0.032,0.066
5/4/2023 12:35,0.048,0.152
5/4/2023 12:40,0.058,0.232
5/4/2023 12:45,0.051,0.179
5/4/2023 12:50,0.044,0.13
5/4/2023 12:55,0.041,0.109
5/4/2023 13:00,0.048,0.156
5/4/2023 13:05,0.045,0.134
5/4/2023 13:10,0.04,0.103
5/4/2023 13:15,0.045,0.135
5/4/2023 13:20,0.05,0.173
5/4/2023 13:25,0.044,0.128
5/4/2023 13:30,0.048,0.158
5/4/2023 13:35,0.05,0.171
5/4/2023 13:40,0.043,0.125
5/4/2023 13:45,0.043,0.123
5/4/2023 13:50,0.043,0.121
5/4/2023 13:55,0.052,0.185
5/4/2023 14:00,0.052,0.183
5/4/2023 14:05,0.045,0.137
5/4/2023 14:10,0.044,0.126
5/4/2023 14:15,0.037,0.089
5/4/2023 14:20,0.041,0.111
5/4/2023 14:25,0.033,0.07
5/4/2023 14:30,0.033,0.068
5/4/2023 14:35,0.035,0.081
5/4/2023 14:40,0.032,0.064
5/4/2023 14:45,0.036,0.085
5/4/2023 14:50,0.031,0.059
5/4/2023 14:55,0.035,0.079
5/4/2023 15:00,0.038,0.094
5/4/2023 15:05,0.038,0.094
5/4/2023 15:10,0.041,0.108
5/4/2023 15:15,0.034,0.075
5/4/2023 15:20,0.031,0.061
5/4/2023 15:25,0.035,0.081
5/4/2023 15:30,0.045,0.132
5/4/2023 15:35,0.044,0.128
5/4/2023 15:40,0.045,0.132
5/4/2023 15:45,0.037,0.091
5/4/2023 15:50,0.031,0.06
5/4/2023 15:55,0.032,0.065
5/4/2023 16:00,0.037,0.086
5/4/2023 16:05,0.034,0.074
5/4/2023 16:10,0.039,0.1
5/4/2023 16:15,0.036,0.085
5/4/2023 16:20,0.037,0.086
5/4/2023 16:25,0.033,0.069
5/4/2023 16:30,0.035,0.077
5/4/2023 16:35,0.037,0.086
5/4/2023 16:40,0.036,0.085
5/4/2023 16:45,0.038,0.092
5/4/2023 16:50,0.038,0.095
5/4/2023 16:55,0.039,0.101
5/4/2023 17:00,0.034,0.075
5/4/2023 17:05,0.038,0.092
5/4/2023 17:10,0.035,0.079
5/4/2023 17:15,0.037,0.091
5/4/2023 17:20,0.035,0.077
5/4/2023 17:25,0.034,0.073
5/4/2023 17:30,0.041,0.109
5/4/2023 17:35,0.037,0.086
5/4/2023 17:40,0.025,0.039
5/4/2023 17:45,0.029,0.051
5/4/2023 17:50,0.031,0.06
5/4/2023 17:55,0.029,0.052
5/4/2023 18:00,0.031,0.061
5/4/2023 18:05,0.038,0.095
5/4/2023 18:10,0.036,0.085
5/4/2023 18:15,0.035,0.078
5/4/2023 18:20,0.034,0.073
5/4/2023 18:25,0.028,0.048
5/4/2023 18:30,0.025,0.039
5/4/2023 18:35,0.029,0.052
5/4/2023 18:40,0.025,0.037
5/4/2023 18:45,0.031,0.061
5/4/2023 18:50,0.03,0.057
5/4/2023 18:55,0.028,0.048
5/4/2023 19:00,0.032,0.063
5/4/2023 19:05,0.027,0.045
5/4/2023 19:10,0.026,0.042
5/4/2023 19:15,0.028,0.048
5/4/2023 19:20,0.025,0.038
5/4/2023 19:25,0.026,0.04
5/4/2023 19:30,0.027,0.045
5/4/2023 19:35,0.021,0.027
5/4/2023 19:40,0.027,0.045
5/4/2023 19:45,0.026,0.041
5/4/2023 19:50,0.024,0.034
5/4/2023 19:55,0.021,0.025
5/4/2023 20:00,0.027,0.045
5/4/2023 20:05,0.026,0.04
5/4/2023 20:10,0.025,0.039
5/4/2023 20:15,0.023,0.031
5/4/2023 20:20,0.024,0.036
5/4/2023 20:25,0.025,0.037
5/4/2023 20:30,0.023,0.032
5/4/2023 20:35,0.023,0.031
5/4/2023 20:40,0.029,0.053
5/4/2023 20:45,0.03,0.058
5/4/2023 20:50,0.025,0.038
5/4/2023 20:55,0.024,0.034
5/4/2023 21:00,0.023,0.032
5/4/2023 21:05,0.022,0.029
5/4/2023 21:10,0.018,0.019
5/4/2023 21:15,0.027,0.045
5/4/2023 21:20,0.025,0.039
5/4/2023 21:25,0.025,0.038
5/4/2023 21:30,0.024,0.036
5/4/2023 21:35,0.022,0.029
5/4/2023 21:40,0.021,0.027
5/4/2023 21:45,0.02,0.023
5/4/2023 21:50,0.023,0.031
5/4/2023 21:55,0.021,0.025
5/4/2023 22:00,0.021,0.025
5/4/2023 22:05,0.027,0.046
5/4/2023 22:10,0.025,0.038
5/4/2023 22:15,0.024,0.035
5/4/2023 22:20,0.026,0.041
5/4/2023 22:25,0.026,0.043
5/4/2023 22:30,0.024,0.034
5/4/2023 22:35,0.022,0.029
5/4/2023 22:40,0.021,0.025
5/4/2023 22:45,0.019,0.02
5/4/2023 22:50,0.021,0.026
5/4/2023 22:55,0.02,0.023
5/4/2023 23:00,0.021,0.026
5/4/2023 23:05,0.022,0.029
5/4/2023 23:10,0.019,0.022
5/4/2023 23:15,0.028,0.047
5/4/2023 23:20,0.035,0.078
5/4/2023 23:25,0.029,0.053
5/4/2023 23:30,0.03,0.058
5/4/2023 23:35,0.028,0.047
5/4/2023 23:40,0.021,0.025
5/4/2023 23:45,0.026,0.041
5/4/2023 23:50,0.026,0.042
5/4/2023 23:55,0.021,0.025
