"","OBJECTID.x","Location.Description","Size.1","Last.Update.Date","Last.Editor","Size.2","Size.3","CatchID","DrainID","Inspection.Status","Facility.Type","Jurisdiction","Watershed.Management.Area","GlobalID","PRIORITY","Flow.Monitoring.Status","Flow.Monitoring.Deploy.Date","Flow.Monitoring.Return.Date","Next.Inspection.Date","POINT_X","POINT_Y","Persistent.Flow","Facility.Identifier.x","Survey.Link","Outfall.Capture.Feasibility.Study","Dry.Weather.Samples","Accessibility","Flow.Measurement.Count","Last.Discharge.Observation","Last.Discharge.Measurement.Trend","AVGFLOWWIDTH","AVGFLOWDEPTH","AVGFLOWVEL","AVGDISCHARGE","MAXDISCHARGE","MINDISCHARGE","GlobalID.y","Created.User","Created.Date","Last.Edited.User","Last.Edited.Date","OBJECTID.y","Area..Acres.","Facility.Identifier.y","Shape.STArea..","Shape.STLength.."
"11",11,"J01P27; Woodfield Park",90,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9992,"J01","Verified","Outfall","Aliso Viejo","South","{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","Priority","","2018-03-13 16:36:46","",NA,-117.7166123,33.57325594,"Yes","J01-9992-1 (J01P27)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}&field:Station=J01-9992-1","Yes","Yes","Easily accessible",22,0.135,"Below Average Discharge",1.56681818,0.1318,6.83272727,0.215506,2.113636,0.037385,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1167,553.8410757,"J01-9992-1",24125242.08,32526.2039
"12",12,"J01P28 - Treatment system ",96,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9131,"J01","Verified","Outfall","Aliso Viejo","South","{3F8450D4-0881-4A9D-829A-4B4707912F53}","Priority","Deployed","2016-05-26 7:00:00","",NA,-117.715865,33.57471343,"Yes","J01-9131-1 (J01P28)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={3F8450D4-0881-4A9D-829A-4B4707912F53}&field:Station=J01-9131-1","Yes","Yes","Difficult accessibility",10,0.336,"Above Average Discharge",1.022,0.052,4.343,0.099129,0.336,0.0255,"{C6DA0359-D9F5-4B33-A3D5-1D08DB636FA9}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1144,286.3860685,"J01-9131-1",12474938.28,17724.61881
"13",13,"J01P33",42,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,10019,"J01","Verified","Outfall","Aliso Viejo","South","{65AB7468-482A-4869-8212-F73F5CC03224}","Priority","","","",NA,-117.7184508,33.56456651,"Yes","J01-10019-1 (J01P33)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={65AB7468-482A-4869-8212-F73F5CC03224}&field:Station=J01-10019-1 (J01P33)","No","No","Difficult accessibility",12,0.008,"Above Average Discharge",0.38466666,0.02211666,12.83333333,0.007443,0.025714,6e-04,"{548A2F6C-54AB-4305-B727-9C9533B65AB2}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1121,72.93906351,"J01-10019-1 (J01P33)",3177215.705,9434.420141
"14",14,"L11P01",66,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,640,"L02","Verified","Outfall","Rancho Santa Margarita","South","{47F2CB46-F01F-4454-981E-098E7CCE32F4}","Priority","Complete","2016-06-16 7:00:00","2016-06-30 7:00:00",NA,-117.6166004,33.6104653,"Yes","L02-246-1 (L11P01)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={47F2CB46-F01F-4454-981E-098E7CCE32F4}&field:Station=L02-246-1 (L11P01)","No","Yes","Easily accessible",11,0.034125,"Below Average Discharge",1.09545454,0.0590909,9.29454545,0.042928,0.08775,0.018,"{CE6408C7-669B-4D53-8783-2A2CE81A318C}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1314,228.0301028,"L02-246-1 (L11P01)",9932960.327,15443.38814
"15",15,"L11P02",90,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,640,"L02","Verified","Outfall","Rancho Santa Margarita","South","{8E259E70-CE94-4F00-A10B-A23719A46C04}","Not A Priority","Complete","2016-09-01 0:00:00","2016-10-04 22:49:33",NA,-117.6092377,33.61878658,"Yes","L02-640-1 (L11P02)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={8E259E70-CE94-4F00-A10B-A23719A46C04}&field:Station=L02-640-1 (L11P02)","No","No","Difficult accessibility",5,0.06,"Below Average Discharge",1.48,0.108,5,0.196,0.54,0.056,"{253C7D2F-94CC-45D1-AB0B-55473CA10B03}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1340,508.8455639,"L02-640-1 (L11P02)",22165243.69,24822.4576
"16",16,"Avenida la Pata and Avenida Pico",120,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,32,"M02","Verified","Outfall","San Clemente","South","{2B10F0C1-0E21-4FE4-B6F6-8806D0E7CC45}","Priority","","","",NA,-117.6008317,33.45754739,"Yes","M02-032-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2B10F0C1-0E21-4FE4-B6F6-8806D0E7CC45}&field:Station=M02-032-1","No","Yes","Easily accessible",12,0.27,"Above Average Discharge",1.8375,0.07083333,3.41166666,0.240604,0.54,0.075,"{D3D19828-80FC-48DB-A867-44476678DCDE}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1429,130.8756051,"M02-032-1",5700923.591,14454.51719
"17",17,"K01P02",84,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,12159,"K01","Not-Found","Outfall","Dana Point","South","{AC155FA3-6D39-4C35-9CD7-023EE0F33BB8}","Not A Priority","","","",NA,-117.7152907,33.48078094,"Unknown","K01-12159-1 (K01P02)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={AC155FA3-6D39-4C35-9CD7-023EE0F33BB8}&field:Station=K01-12159-1 (K01P02)","No","No","Unaccessible",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"L01-DP",60,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,728,"L01","Verified","Outfall","Dana Point","South","{239C7351-6675-4B26-B959-1D8B4D6371A5}","Priority","Complete","2016-12-12 0:00:00","2017-01-26 0:00:00",NA,-117.6822234,33.46822415,"Yes","L01-728-5 (L01-DP)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={239C7351-6675-4B26-B959-1D8B4D6371A5}&field:Station=L01-728-5 (L01-DP)","No","Yes","Easily accessible",15,0.006,"Below Average Discharge",0.66066666,0.025,14.62333333,0.012165,0.087273,0.00159,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1286,24.72372499,"L01-728-5 (L01-DP)",1076962.104,8018.87004
"19",19,"",30,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,728,"L01","Verified","Outfall","Dana Point","South","{87F2F346-2A95-465B-9529-A030D3DAEC5F}","Not A Priority","","","",NA,-117.6825898,33.46675048,"Unknown","L01-728-4 ","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={87F2F346-2A95-465B-9529-A030D3DAEC5F}&field:Station=L01-728-4 (L01-DP)","No","No","Easily accessible",NA,NA,"",NA,NA,NA,NA,NA,NA,"{AF542CFA-277C-4AB4-A140-17792DF43DA5}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1285,79.2189438,"L01-728-4 (L01-DP)",3450766.44,10980.5409
"20",20,"M00P01",NA,"2021-07-16 18:12:34","OCENVRESUSER",4,6,26,"SC11","Verified","Box","Dana Point","South","{7BC19F3E-F96A-4680-97D9-CFCD38CE4F28}","Not A Priority","","","",NA,-117.6664841,33.45392453,"Yes","SC11-026-1 (M00P01)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7BC19F3E-F96A-4680-97D9-CFCD38CE4F28}&field:Station=SC11-026-1 (M00P01)","No","No","Easily accessible",8,0.0525,"Below Average Discharge",2.30625,0.03142857,5.75,0.072391,0.18,0.03,"{E4094279-C412-483C-84E5-93C4FAB7A292}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1457,305.3881188,"SC11-026-1 (M00P01)",13302665.01,22150.68289
"21",21,"LB2",24,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,11019,"LC06","Verified","Outfall","Laguna Beach","South","{4234D10E-D9CC-4748-92EA-FECEEAEBE008}","Priority","","","",NA,-117.7894605,33.54303857,"Yes","LC06-11019-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={4234D10E-D9CC-4748-92EA-FECEEAEBE008}&field:Station=LC06-11019-1","No","Yes","Easily accessible",7,0.02,"Above Average Discharge",0.51428571,0.04285714,8.62857142,0.019117,0.035,0.002,"{054A30A1-0D2B-441B-BCFE-61552A320EF8}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1402,60.81426308,"LC06-11019-1",2649061.047,8780.839532
"22",22,"Divers cove",60,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,11508,"LC02","Verified","Outfall","Laguna Beach","South","{7A79C33A-1E84-41B0-AAFC-7A7C54A33C8A}","Not A Priority","","","",NA,-117.7946238,33.54503213,"Unknown","LC02-11508-3","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7A79C33A-1E84-41B0-AAFC-7A7C54A33C8A}&field:Station=LC02-11508-3","No","No","Easily accessible",NA,NA,"",NA,NA,NA,NA,NA,NA,"{7168D373-492A-4D76-A9BC-E3BBD0470627}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1399,319.6547613,"LC02-11508-3",13924118,23972.89517
"23",23,"",66,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9040,"J01","Verified","Outfall","Lake Forest","South","{7E5CB88D-6665-452A-804A-655CBEAB830F}","Not A Priority","","","",NA,-117.623537,33.678031,"Yes","J01-9040-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7E5CB88D-6665-452A-804A-655CBEAB830F}&field:Station=J01-9040-1","No","No","Easily accessible",NA,NA,"",NA,NA,NA,NA,NA,NA,"{B3BAF91B-EE73-4FE9-82DB-393521B9378E}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1130,146.1265793,"J01-9040-1",6365253.963,11599.55361
"24",24,"Daylight of Glass Creek",54,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9031,"J01","Verified","Outfall","Lake Forest","South","{845D0596-F79C-47AB-8A96-2BF5F46A5F2D}","Not A Priority","","","",NA,-117.6388505,33.67284809,"Yes","J01-9031-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={845D0596-F79C-47AB-8A96-2BF5F46A5F2D}&field:Station=J01-9031-1","No","No","Difficult accessibility",3,0.0075,"Below Average Discharge",0.66666666,0.03333333,5,0.037166,0.056,0.0075,"{9E5FC4A3-A91F-4A17-AABF-159149EA54AC}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1128,298.9594232,"J01-9031-1",13022631.89,19923.8187
"25",25,"Daylight of Glass Creek",72,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9264,"J01","Verified","Outfall","Lake Forest","South","{86AB9BCD-9766-418C-889A-A078524BE271}","Not A Priority","","","",NA,-117.6540685,33.66346514,"Yes","J01-9264-1 (J01P06)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={86AB9BCD-9766-418C-889A-A078524BE271}&field:Station=J01-9264-1","No","No","Easily accessible",NA,NA,"",NA,NA,NA,NA,NA,NA,"{ABE6B00F-F425-4EF2-9EB9-D56A390D33C9}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1152,680.9305951,"J01-9264-1",29661244.3,37204.87153
"26",26,"J01TBN8",48,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9377,"J01","Verified","Outfall","Lake Forest","South","{0F35296A-ECE2-4C19-BD75-E6442A50F57C}","Not A Priority","","","",NA,-117.653411,33.66001815,"Unknown","J01-9377-2 (J01TBN8)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={0F35296A-ECE2-4C19-BD75-E6442A50F57C}&field:Station=J01-9377-2 (J01TBN8)","No","No","Easily accessible",1,0.000429,"",0.3,0.01,42,0.000429,0.000429,0.000429,"{8B6CE493-4933-4A21-86D1-863F47D7ADB8}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1164,98.41839547,"J01-9377-2 (J01TBN8)",4287091.951,12499.61534
"27",27,"",36,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9377,"J01","Verified","Outfall","Lake Forest","South","{3B4E9F27-523C-4F6B-A986-26E060B631EF}","Priority","","","",NA,-117.6577684,33.65809197,"Yes","J01-9377-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={3B4E9F27-523C-4F6B-A986-26E060B631EF}&field:Station=J01-9377-1","No","No","Easily accessible",5,3e-05,"Below Average Discharge",0.292,0.015,73.2,0.003326,0.012,3e-05,"{4031398F-28DD-4B2E-8B88-5C927C80543B}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1163,34.4468196,"J01-9377-1",1500498.788,6237.893866
"28",28,"",30,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9048,"J01","Verified","Outfall","Lake Forest","South","{19DDAD1C-5EA4-48A5-A6BA-E9E51C3D07EA}","Not A Priority","","","",NA,-117.6659647,33.64470606,"","J01-9048-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={19DDAD1C-5EA4-48A5-A6BA-E9E51C3D07EA}&field:Station=J01-9048-1","No","No","",NA,NA,"",NA,NA,NA,NA,NA,NA,"{DB01C61F-4B2E-4773-A291-811A0B209D88}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1134,29.95727899,"J01-9048-1",1304935.01,5299.026286
"29",29,"El Toro Rd and Raintree",36,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9349,"J01","Verified","Outfall","Lake Forest","South","{0C4B2C1F-221A-4822-9ED8-4F1AF591803F}","Priority","","","",NA,-117.6658163,33.64412251,"Yes","J01-9349-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={0C4B2C1F-221A-4822-9ED8-4F1AF591803F}&field:Station=J01-9349-1","No","Yes","Easily accessible",4,0.01,"Above Average Discharge",0.35,0.015,12.25,0.009226,0.024,0.000333,"{99F86577-4989-413B-93CE-F52A9D060538}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1158,69.7067491,"J01-9349-1",3036416.53,7585.022952
"30",30,"J01-Normandale",42,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9046,"J01","Verified","Outfall","Lake Forest","South","{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","Priority","Complete","2016-12-12 0:00:00","2017-01-26 0:00:00",NA,-117.6596867,33.65446074,"Yes","J01-9046-2","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}&field:Station=J01-9046-2","No","Yes","Easily accessible",7,0.003333,"Below Average Discharge",0.61071428,0.05442857,13.31428571,0.179168,1.227273,9.9e-05,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1132,46.36377902,"J01-9046-2",2019599.92,6209.148432
"31",31,"Normandale - 30"" drain",24,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9046,"J01","Verified","Outfall","Lake Forest","South","{7B37BD5E-90A3-4DC7-8721-402EFF48BB71}","Priority","","","",NA,-117.6597977,33.65453345,"Yes","J01-9046-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7B37BD5E-90A3-4DC7-8721-402EFF48BB71}&field:Station=J01-9046-1","No","Yes","Easily accessible",6,0.0246,"Above Average Discharge",0.41666666,0.01666666,9,0.007166,0.0246,0.0012,"{0D1B655B-7CE9-4D1F-9758-D0A85CE72830}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1131,65.72077069,"J01-9046-1",2862787.854,6852.460127
"32",32,"",36,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9046,"J01","Verified","Outfall","Lake Forest","South","{C52723D5-88DF-4B27-A94D-AEE8BFE85FDF}","Not A Priority","","","",NA,-117.659418,33.65614256,"Yes","J01-9046-3","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={C52723D5-88DF-4B27-A94D-AEE8BFE85FDF}&field:Station=J01-9046-3","No","No","Easily accessible",7,0.0016,"Below Average Discharge",0.35285714,0.01142857,7,0.003704,0.005333,0.0016,"{21285B3B-CA56-4A42-9970-4F3C0B2C9FFE}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1133,15.52791748,"J01-9046-3",676393.9766,3276.744342
