jurisdicti,EMC_Group,RC,EMC_Group_Area,Area_Rainfall,Juris_LU_Volume
LAKE FOREST,single family,0.405,763.0034724954239,28.29,728.5061779952247
LAKE FOREST,surface street,0.471,471.33898790216574,28.29,523.3665637342765
MISSION VIEJO,agriculture,0.222,1.0056725477006214,28.29,0.5263338129273357
MISSION VIEJO,business,0.414,131.66885329269357,28.29,128.50945915793537
MISSION VIEJO,business,0.422,541.2776372046723,28.29,538.4981765376263
MISSION VIEJO,business,0.486,967.7263810671973,28.29,1108.7676624758358
MISSION VIEJO,developed open space,0.217,2358.4073845349944,28.29,1206.508153761951
MISSION VIEJO,highway/arterial,0.45,527.0756977309144,28.29,559.1614308302837
MISSION VIEJO,multi-family,0.485,591.6165993004826,28.29,676.4470244326805
MISSION VIEJO,open space,0.078,458.209331553236,28.29,84.2578229326668
MISSION VIEJO,single family,0.405,4019.2983846991287,28.29,3837.57585648092
MISSION VIEJO,surface street,0.471,1778.868533688389,28.29,1975.2244896082475
MISSION VIEJO,water,0.797,150.82622611333196,28.29,283.3915439655575
NEWPORT BEACH,agriculture,0.222,1.055195248223045,28.29,0.5522522610862538
NEWPORT BEACH,developed open space,0.217,11.67269924215562,28.29,5.971490296553866
NEWPORT BEACH,highway/arterial,0.45,5.109659281899179,28.29,5.420709790684792
NEWPORT BEACH,multi-family,0.485,10.641947756832296,28.29,12.167870040815087
NEWPORT BEACH,open space,0.078,100.74877595609962,28.29,18.52618866668738
NEWPORT BEACH,surface street,0.471,0.7810119678393895,28.29,0.8672220213794208
ORANGE CO,agriculture,0.222,1020.3162614579069,28.29,533.9978201779174
ORANGE CO,business,0.414,353.11185864083166,28.29,344.63893959274486
ORANGE CO,business,0.422,154.31672747791563,28.29,153.52431108231653
ORANGE CO,business,0.486,817.736260007596,28.29,936.9172312224031
ORANGE CO,developed open space,0.217,5639.918138865754,28.29,2885.255221685595
ORANGE CO,highway/arterial,0.45,167.96733726491033,28.29,178.19234892091174
ORANGE CO,multi-family,0.485,428.56775754560744,28.29,490.0190168806782
ORANGE CO,open space,0.078,79657.55021431607,28.29,14647.82862115951
ORANGE CO,single family,0.405,4675.315001722693,28.29,4463.932322207305
ORANGE CO,surface street,0.471,1765.6561276712425,28.29,1960.5536651839134
ORANGE CO,water,0.797,81.08743711510509,28.29,152.3574155000916
RANCHO SANTA MARGARITA,agriculture,0.222,21.80230699764532,28.29,11.410564401822644
RANCHO SANTA MARGARITA,business,0.414,106.57065756257336,28.29,104.01349463435942
RANCHO SANTA MARGARITA,business,0.422,108.94411167686872,28.29,108.38468366340798
RANCHO SANTA MARGARITA,business,0.486,429.12782234486394,28.29,491.6710568125161
RANCHO SANTA MARGARITA,developed open space,0.217,1571.6413066083799,28.29,804.0163305314484
RANCHO SANTA MARGARITA,highway/arterial,0.45,362.9351177645791,28.29,385.0287930584979
RANCHO SANTA MARGARITA,multi-family,0.485,452.88425128267505,28.29,517.8221918634696
RANCHO SANTA MARGARITA,open space,0.078,3180.22245527831,28.29,584.795206188852
RANCHO SANTA MARGARITA,single family,0.405,1166.1175684021223,28.29,1113.3944778407415
RANCHO SANTA MARGARITA,surface street,0.471,812.8400055457195,28.29,902.5633174578697
RANCHO SANTA MARGARITA,water,0.797,67.15788907267634,28.29,126.18480462060108
SAN CLEMENTE,agriculture,0.222,5.993887585146538,28.29,3.1369909760002184
SAN CLEMENTE,business,0.414,255.28235121673973,28.29,249.15685119929404
SAN CLEMENTE,business,0.422,164.9993025705095,28.29,164.15203115180992
SAN CLEMENTE,business,0.486,507.8940615064909,28.29,581.9170815007544
SAN CLEMENTE,developed open space,0.217,3064.993591100268,28.29,1567.9817588510973
SAN CLEMENTE,highway/arterial,0.45,237.6955458490501,28.29,252.16526220261102
SAN CLEMENTE,multi-family,0.485,678.1089996038748,28.29,775.3413537845754
SAN CLEMENTE,open space,0.078,2127.193350077535,28.29,391.1589491790075
SAN CLEMENTE,single family,0.405,3158.4572880766495,28.29,3015.655537939484
SAN CLEMENTE,surface street,0.471,1537.6196005231125,28.29,1707.3458960778548
SAN CLEMENTE,water,0.797,0.8250273241319684,28.29,1.5501665275629692
SAN JUAN CAPISTRANO,agriculture,0.222,410.85833035715393,28.29,215.02887006737188
SAN JUAN CAPISTRANO,business,0.414,539.6326124538084,28.29,526.6841279179793
SAN JUAN CAPISTRANO,business,0.422,201.77457956709435,28.29,200.7384671010173
SAN JUAN CAPISTRANO,business,0.486,760.5164174726307,28.29,871.3578827371791
SAN JUAN CAPISTRANO,developed open space,0.217,1386.4426412857074,28.29,709.272860322339
SAN JUAN CAPISTRANO,highway/arterial,0.45,228.47695998404564,28.29,242.38549492307442
SAN JUAN CAPISTRANO,multi-family,0.485,429.40463662254126,28.29,490.97589395625585
SAN JUAN CAPISTRANO,open space,0.078,1913.4187885481401,28.29,351.8490139321747
SAN JUAN CAPISTRANO,single family,0.405,2527.578285161291,28.29,2413.3001519434365
SAN JUAN CAPISTRANO,surface street,0.471,822.243247403035,28.29,913.0045126595004
