FACILITYID,Constituent,Fraction,Units,EMC_CF
J01-9992-1 (J01P27),"Lead, Total",Total,mg/L,0.28011622610953546
J01-9992-1 (J01P27),TN,Total,mg/L,2.087379907359103
J01-9992-1 (J01P27),TP,Total,mg/L,1.5480923290286637
J01-9992-1 (J01P27),TSS,Total,mg/L,0.442517689070951
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,mg/L,0.7927469962769421
J01-9992-1 (J01P27),"Zinc, Total",Total,mg/L,0.6073321198296808
J03-9216-2,"Copper, Total",Dissolved,mg/L,0.7172300886574479
J03-9216-2,"Copper, Total",Total,mg/L,0.7178629268920288
J03-9216-2,Fecal coliforms,Total,CFU/100 mL,1.5536233089214426
J03-9216-2,"Lead, Total",Total,mg/L,0.6119821764993483
J03-9216-2,TN,Total,mg/L,0.666737945233317
J03-9216-2,TP,Total,mg/L,1.528347219588488
J03-9216-2,TSS,Total,mg/L,0.4025246999833167
J03-9216-2,"Zinc, Total",Dissolved,mg/L,0.4448666218279256
J03-9216-2,"Zinc, Total",Total,mg/L,0.5905539722050644
J07-9109-4 (J07P02),"Copper, Total",Dissolved,mg/L,0.8059656877240378
J07-9109-4 (J07P02),"Copper, Total",Total,mg/L,0.589889789486213
J07-9109-4 (J07P02),Fecal coliforms,Total,CFU/100 mL,0.6088036977077826
J07-9109-4 (J07P02),"Lead, Total",Total,mg/L,0.32666594790884157
J07-9109-4 (J07P02),TN,Total,mg/L,0.7703875634520162
J07-9109-4 (J07P02),TP,Total,mg/L,0.8699879870290574
J07-9109-4 (J07P02),TSS,Total,mg/L,0.2645173302581908
J07-9109-4 (J07P02),"Zinc, Total",Dissolved,mg/L,0.9415123273685748
J07-9109-4 (J07P02),"Zinc, Total",Total,mg/L,0.759457356409405
K01-12156-4,"Copper, Total",Dissolved,mg/L,0.3763908749403821
K01-12156-4,"Copper, Total",Total,mg/L,0.5867901906277464
K01-12156-4,Fecal coliforms,Total,CFU/100 mL,1.0099163886116485
K01-12156-4,"Lead, Total",Total,mg/L,0.6786170901513787
K01-12156-4,TN,Total,mg/L,0.6384806962143158
K01-12156-4,TP,Total,mg/L,1.2696487078642382
K01-12156-4,TSS,Total,mg/L,1.1573380697381475
K01-12156-4,"Zinc, Total",Dissolved,mg/L,0.21624621691984247
K01-12156-4,"Zinc, Total",Total,mg/L,0.5082676400703822
L01-724-4 (L01P03),"Copper, Total",Dissolved,mg/L,0.49669579568307703
L01-724-4 (L01P03),"Copper, Total",Total,mg/L,0.3844175305156236
L01-724-4 (L01P03),Fecal coliforms,Total,CFU/100 mL,0.3460942473618719
L01-724-4 (L01P03),"Lead, Total",Total,mg/L,0.6836343512782771
L01-724-4 (L01P03),TN,Total,mg/L,0.447560639300931
L01-724-4 (L01P03),TP,Total,mg/L,1.0685439410796156
L01-724-4 (L01P03),TSS,Total,mg/L,0.641585755869414
L01-724-4 (L01P03),"Zinc, Total",Dissolved,mg/L,0.3518040359876153
L01-724-4 (L01P03),"Zinc, Total",Total,mg/L,0.4587412619175032
L01-728-5 (L01-DP),"Copper, Total",Dissolved,mg/L,0.777924184648313
L01-728-5 (L01-DP),"Copper, Total",Total,mg/L,0.4957258151864372
L01-728-5 (L01-DP),Fecal coliforms,Total,CFU/100 mL,0.2532379617933283
L01-728-5 (L01-DP),"Lead, Total",Total,mg/L,0.34885518901634954
L01-728-5 (L01-DP),TN,Total,mg/L,1.2887992709856706
L01-728-5 (L01-DP),TP,Total,mg/L,0.9866214371265231
L01-728-5 (L01-DP),TSS,Total,mg/L,0.09698556710560753
L01-728-5 (L01-DP),"Zinc, Total",Dissolved,mg/L,0.36385376537562425
L01-728-5 (L01-DP),"Zinc, Total",Total,mg/L,0.29649330282798275
L02-166-2 (L02P25),"Copper, Total",Dissolved,mg/L,0.48191607158732924
L02-166-2 (L02P25),"Copper, Total",Total,mg/L,0.2771434095786832
L02-166-2 (L02P25),Fecal coliforms,Total,CFU/100 mL,1.301674234728799
L02-166-2 (L02P25),"Lead, Total",Total,mg/L,0.09239730312616566
L02-166-2 (L02P25),TN,Total,mg/L,0.6948890869003331
L02-166-2 (L02P25),TP,Total,mg/L,1.0156601813363837
L02-166-2 (L02P25),TSS,Total,mg/L,0.04331986575269523
L02-166-2 (L02P25),"Zinc, Total",Dissolved,mg/L,0.343598600168422
L02-166-2 (L02P25),"Zinc, Total",Total,mg/L,0.22880988123755644
L03-708-11 (L03P05),"Copper, Total",Dissolved,mg/L,0.7379739828850802
L03-708-11 (L03P05),"Copper, Total",Total,mg/L,1.0208464742580057
L03-708-11 (L03P05),Fecal coliforms,Total,CFU/100 mL,0.5838400022506178
L03-708-11 (L03P05),"Lead, Total",Total,mg/L,0.9114443778493598
L03-708-11 (L03P05),TN,Total,mg/L,0.7705035288291152
L03-708-11 (L03P05),TP,Total,mg/L,0.9531588313360643
L03-708-11 (L03P05),TSS,Total,mg/L,0.7501343466241435
L03-708-11 (L03P05),"Zinc, Total",Dissolved,mg/L,0.45904404274438143
L03-708-11 (L03P05),"Zinc, Total",Total,mg/L,0.7750281542588927
L05-049-1,"Copper, Total",Dissolved,mg/L,0.7130220938549251
L05-049-1,"Copper, Total",Total,mg/L,0.5965060151627627
L05-049-1,Fecal coliforms,Total,CFU/100 mL,2.1097807455119266
L05-049-1,"Lead, Total",Total,mg/L,0.26177040464523466
L05-049-1,TN,Total,mg/L,1.0864639340965627
L05-049-1,TP,Total,mg/L,3.125181401977988
L05-049-1,TSS,Total,mg/L,0.40933495701111083
L05-049-1,"Zinc, Total",Dissolved,mg/L,0.4796306419368326
L05-049-1,"Zinc, Total",Total,mg/L,0.5109112949199304
M01-088-1,"Copper, Total",Dissolved,mg/L,0.6674755522924462
M01-088-1,"Copper, Total",Total,mg/L,0.6162198022898943
M01-088-1,Fecal coliforms,Total,CFU/100 mL,3.034989459429302
M01-088-1,"Lead, Total",Total,mg/L,0.6420130809145432
M01-088-1,TN,Total,mg/L,1.0407140060646982
M01-088-1,TP,Total,mg/L,1.0992277567324846
M01-088-1,TSS,Total,NA,NA
M01-088-1,"Zinc, Total",Dissolved,mg/L,0.4836095879722606
M01-088-1,"Zinc, Total",Total,mg/L,0.7082316152414784
